W1,W2,F
pm,modi,177
prime,minister,139
namo,app,137
via,namo,130
narendra,modi,111
modi,ji,109
pm,ji,97
hon,pm,78
modi,govt,76
modi,government,76
shri,ji,52
middle,class,50
ji,ji,50
upper,castes,47
economically,weaker,45
general,category,44
our,matter,44
happy,year,43
triple,talaq,41
our,pm,40
people,india,39
modi,jee,39
reservation,economically,38
reject,nota,38
transformation,our,36
our,hon,36
months,transformation,36
amit,shah,35
jee,our,34
lok,elections,34
work,done,33
historic,day,33
last,years,33
jai,hind,31
live,updates,31
pm,shri,31
thank,ji,31
pm,narendra,30
general,elections,29
good,work,27
our,country,26
congratulations,pm,26
india,needs,26
muslim,women,26
let,us,25
voters,reject,25
ahead,polls,25
supreme,court,25
upper,caste,24
madhya,pradesh,24
ind,voters,24
lok,passes,24
constitution,amendment,24
vote,modi,24
pledge,support,23
win,elections,23
ram,mandir,23
minister,shri,21
next,years,21
manifesto,committee,21
pm,india,21
corrupt,ahind,21
support,ji,20
must,watch,20
weaker,sections,20
common,man,19
shri,narendra,19
rs,crore,19
contest,seats,18
want,country,18
women,empowerment,18
ahead,elections,18
our,nation,18
economically,weak,18
seats,ljp,18
nota,defeat,18
worth,rs,17
chief,minister,17
upcoming,elections,17
projects,worth,17
ji,pm,17
lok,polls,16
people,want,16
track,live,16
corruptionfree,fraudfree,16
scamfree,corruptionfree,16
vote,thank,16
pm,modis,16
fraudfree,vote,16
country,scamfree,16
pradhan,mantri,16
amendment,constitution,15
general,election,15
loan,waiver,15
minister,narendra,15
sh,ji,15
political,parties,15
day,india,15
approves,economically,15
state,elections,15
historic,step,15
arun,jaitley,15
nota,corrupt,15
game,changer,15
year,resolution,14
citizens,india,14
win,election,14
poll,results,14
rafale,deal,14
mr,modi,14
president,amit,14
upper,class,14
quota,economically,14
seats,seats,14
antihindu,corrupt,13
always,gives,13
passed,passes,13
constitution,passed,13
defence,minister,13
commie,sp,13
economicaly,upper,13
sp,jds,13
per,cent,13
shiv,sena,13
passes,ayes,13
live,ndtv,13
modi,sarkar,13
great,odia,13
strong,gvt,13
weaker,section,13
dont,know,13
empowerment,shri,13
india,amendment,13
congi,commie,13
jds,ncp,13
odia,culture,13
opposition,parties,13
modi,wave,13
gives,topmost,13
historic,descision,13
parties,antihindu,13
inclusive,progress,13
importance,women,13
progress,reject,13
culture,always,13
good,governance,13
approved,union,13
topmost,importance,13
watch,live,13
passes,constitution,12
reservation,general,12
weaker,upper,12
jai,ho,12
defeat,congi,12
decisively,pass,12
ji,nominate,12
jd(u,contest,12
dont,want,12
ayes,noes,12
union,minister,12
heartiest,congratulations,12
day,decisively,12
dont,dont,12
descision,modi,12
historic,passed,12
gender,equality,12
pm,via,12
government,led,11
pass,congratulating,11
political,party,11
nominate,friends,11
meenakshi,lekhi,11
fake,news,11
common,people,11
congratulating,government,11
come,power,11
watch,interview,11
govt💪,economicaly,11
vote,pm,11
constitutional,amendment,11
rakesh,jhunjhunwala,11
people,country,11
congratulations,ji,11
taken,modi,11
class,approved,11
modi,govt💪,11
india,pm,11
social,media,11
head,manifesto,10
transformation.our,hon,10
grand,alliance,10
want,good,10
led,prime,10
step,taken,10
good,news,10
citizenship,amendment,10
minister,india,10
modi,"jee🙏🇮🇳💪😇""for",10
eagerly,waiting,10
ahead,lok,10
government,citizens,10
"jee🙏🇮🇳💪😇""for",our,10
election,campaign,10
lok,election,10
win,seats,10
tight,slap,10
ji,prime,10
thank,much,10
mp,rajasthan,10
har,har,10
amendment,passed,10
work,hard,10
mp,cg,10
year,india,10
election,results,10
india,modi,10
modi,pm,10
pm,candidate,10
want,win,9
reservation,upper,9
next,months,9
cash,handout,9
needs,modi,9
modi,done,9
modi,should,9
ji,team,9
income,tax,9
fight,seats,9
people,should,9
move,modi,9
ruling,party,9
ground,level,9
ls,polls,9
vote,share,9
ls,elections,9
piyush,goyal,9
ensuring,equality,9
pm,sir,9
vote,ji,9
successfully,passing,9
great,step,9
rajasthan,chhattisgarh,9
fastest,growing,9
lost,states,9
tamil,nadu,9
wish,happy,9
educational,institutions,9
great,work,9
tax,payers,9
message,time,8
gave,triple,8
finance,minister,8
ji,eagerly,8
saath,vikas,8
rajnath,singh,8
think,think,8
passing,historic,8
ji,taking,8
master,stroke,8
triple,talaaq,8
class,india,8
govt,centre,8
vote,modiji,8
economically,upper,8
passed,lok,8
congratulations,shri,8
castes,government,8
our,prime,8
full,majority,8
ji,step,8
inc,inc,8
modi,modi,8
should,work,8
janata,party,8
next,election,8
sections,society,8
pappu,pm,8
india,great,8
upcoming,movie,8
thanks,ji,8
modi,india,8
uttar,pradesh,8
equality,dignity,8
deputy,pm,8
leadership,pm,8
early,leads,8
passing,triple,8
home,minister,8
years,modi,8
hindi,heartland,8
india,vote,8
asks,vote,8
national,security,8
noes,congratulations,8
fight,alone,8
taking,historic,8
us,pm,8
dynamic,leadership,8
modi,come,8
avoid,religious,7
section,society,7
among,upper,7
ahead,general,7
elections,narendra,7
upset,voters,7
case,congie,7
ji,passes,7
voters,gave,7
india,should,7
head,hindu,7
pm,morons,7
good,move,7
getting,stinging,7
pappu,piddis,7
nitin,gadkari,7
false,promises,7
today,passed,7
facts,win,7
worthy,pappu,7
gvt,center,7
religious,topic,7
life,our,7
started,campaign,7
committee,arun,7
nation,needs,7
farmers,ahead,7
results,money,7
our,support,7
admit,facts,7
committee,prepare,7
elections,head,7
much,needed,7
year,gift,7
great,news,7
think,vote,7
think,year,7
wont,stop,7
year,tell,7
dmk,rjd,7
watch,video,7
lies,imagine,7
canards,worthy,7
congratulations,hon,7
manifesto,upcoming,7
congie,spreading,7
center,inclusive,7
landmark,moment,7
weak,upper,7
ji,million,7
movie,life,7
tell,party,7
hindu,want,7
poll,campaign,7
education,economically,7
corrupt,looters,7
rjd,parties,7
party,avoid,7
must,read,7
sath,vikas,7
votes,polls,7
time,voters,7
sir,wish,7
economic,growth,7
narendra,modis,7
last,day,7
imagine,pappu,7
general,class,7
prepare,manifesto,7
rafale,case,7
ppl,strong,7
talk,election,7
want,political,7
rs,wil,7
indian,economy,7
shameless,telling,7
topic,elections,7
hind,jai,7
morons,vote,7
stinging,slap,7
handout,farmers,7
ncp,dmk,7
smt,ji,7
catch,action,7
incharges,states,7
court,rafale,7
piddis,shameless,7
election,incharge,7
ram,temple,7
seatsharing,arrangement,7
political,matters,7
president,manifesto,7
next,year,7
people,must,7
har,modi,7
look,upcoming,7
present,house,7
spreading,canards,7
secular,parties,7
white,lies,7
gift,invite,7
good,luck,7
slap,supreme,7
hard,work,7
matters,talk,7
india,via,7
upcoming,polls,7
nda,govt,7
win,india,7
ji,done,7
telling,white,7
coming,together,7
card,asks,6
dont,follow,6
towards,ensuring,6
people,vote,6
parity,dignity,6
pls,strong,6
parliamentary,elections,6
reduced,rs,6
ji,thank,6
soumitra,khan,6
ncp,secular,6
singh,head,6
namo,namo,6
sir,please,6
report,card,6
elections,president,6
last,year,6
step,modi,6
jan,passed,6
nirmala,sitharaman,6
give,vote,6
should,immediately,6
nadu,puducherry,6
great,going,6
states,election,6
upcoming,election,6
ji,vision,6
rs,cr,6
arrangement,elections,6
ji,ensuring,6
pm,interacts,6
govt,india,6
fool,people,6
spreading,lies,6
sleepless,nights,6
individuals,targeted,6
transform,india,6
wishing,happy,6
time,our,6
tremendous,work,6
ppl,pls,6
modi,jis,6
modi,already,6
government,india,6
ensuring,gender,6
ji,should,6
people,understand,6
modi,rahul,6
think,people,6
lets,join,6
defeat,corrupt,6
dear,pm,6
development,ram,6
people,think,6
indias,growth,6
govt,extends,6
chhattisgarh,madhya,6
making,us,6
community,targeted,6
electoral,experience,6
thanks,pm,6
sure,everyone,6
ji,govt,6
support,modi,6
india,india,6
nation,today,6
sr,leaders,6
people,voted,6
ek,modi,6
course,correction,6
government,committed,6
dont,think,6
retail,inflation,6
slap,face,6
pm,sh,6
form,govt,6
puducherry,election,6
modi,via,6
wil,proposed,6
provide,reservation,6
lost,elections,6
lakh,people,6
lets,hope,6
last,months,6
equality,gender,6
proposed,quota,6
gvt,inclusive,6
ji,request,6
should,learn,6
minister,modi,6
election,promotion,6
elections,gift,6
ji,ahead,6
interview,pm,6
wedding,card,6
us,proud,6
historic,endeavour,6
appoints,committee,6
appointed,tamil,6
ji,proud,6
president,wednesday,6
hats,modi,6
endeavour,towards,6
want,vote,6
india,votes,6
ahead,wil,6
urjit,patel,6
acche,din,6
longest,railcumroad,6
support,campaign,6
govt,successfully,6
congratulate,pm,6
work,towards,6
passes,triple,6
economy,world,6
steps,taken,6
gender,parity,6
could,help,6
invite,viral,6
ji,entire,6
visit,today,6
congratulations,passing,6
people,getting,6
seat,sharing,5
seals,seatsharing,5
our,roots,5
donated,towards,5
modi,indian,5
stand,maturity,5
keep,good,5
people,following,5
vs,italian,5
italian,mafia,5
congratulations,prime,5
modi,govts,5
ji,our,5
per,year,5
time,election,5
need,india,5
dial,india,5
forming,government,5
lpg,connections,5
please,vote,5
winning,seats,5
pm,modi’s,5
went,wrong,5
wakeup,call,5
time,show,5
should,continue,5
elections,may,5
thnx,lot,5
state,election,5
dont,need,5
welcome,pm,5
losing,states,5
must,rethink,5
stupidity,overpower,5
calling,illusion,5
