W1,W2,F
rahul,gandhi,486
congress,party,154
congress,president,150
prime,minister,101
general,secretary,101
live,updates,95
priyanka,gandhi,89
madhya,pradesh,86
chief,minister,86
pm,modi,71
uttar,pradesh,68
congress,leader,68
track,live,66
president,rahul,59
narendra,modi,57
defence,minister,56
lok,elections,55
contest,seats,51
gandhi,family,46
sonia,gandhi,45
congress,leaders,44
live,ndtv,43
watch,live,42
lok,polls,40
rahul,gautam,38
ashok,gehlot,37
rafale,deal,37
congress,general,36
seat,sharing,36
sachin,pilot,36
congress,chief,33
our,country,32
pm,candidate,32
voted,power,31
special,coverage,31
active,politics,30
rahul,gandhis,30
ji,ji,30
modi,ji,30
tamil,nadu,29
election,rahul,28
congress,mp,28
mahatma,gandhi,27
mata,ki,27
give,chance,27
ki,jai,27
congress,team,27
vote,congress,26
gandhi,vadra,26
paper,planes,26
catch,action,26
sir,please,25
fight,election,25
name,rahul,25
last,years,24
himachal,pradesh,24
appointed,congress,24
chance,fight,24
please,give,24
indira,gandhi,24
jai,name,23
pm,ji,23
ji,mata,23
im,himachal,23
jai,congress,23
pradesh,sir,23
pranam,ji,23
gautam,im,23
pradesh,congress,23
kamal,nath,23
aicc,general,23
congress,workers,22
comes,power,22
modi,govt,22
gandhi,ji,22
shri,ji,21
triple,talaq,21
parliament,today,21
secretary,east,21
opposition,parties,21
nirmala,sitharaman,21
coverage,live,21
general,elections,21
updates,watch,21
seats,congress,21
adjourned,till,20
audio,tape,20
arun,jaitley,20
minimum,income,19
india,congress,19
political,party,19
jai,rahul,19
upcoming,elections,19
congress,contest,19
win,elections,19
track,updates,19
andhra,pradesh,18
middle,class,18
press,conference,18
people,india,18
our,special,18
dont,know,18
muslim,women,18
ad,dynasty,18
entry,politics,18
national,security,17
sir,trust,17
gandhi,sir,17
follow,our,17
congress,alliance,17
our,pm,17
follow,live,17
loan,waiver,17
party,contest,17
lok,seats,17
party,workers,17
general,secretaries,17
congress,win,17
rs,lakh,16
dont,want,16
form,government,16
congress,ad,16
congress,hq,16
namo,app,16
action,follow,16
our,leader,16
congress,should,16
supreme,court,16
alliance,congress,16
ls,polls,16
social,media,16
lok,election,16
political,parties,16
trust,prove,16
via,namo,16
pradesh,east,15
ka,naam,15
today,reverts,15
upcoming,polls,15
priyanka,gandhis,15
rajiv,gandhi,15
union,minister,15
coverage,ndtv,15
senior,congress,15
enters,politics,15
want,our,15
gandhi,congress,15
pm,india,15
duplicate,pandit,14
reverts,lies,14
people,vote,14
contest,upcoming,14
chor,hai,14
question,anil,14
pandit,rahul,14
finance,minister,14
secretary,ahead,14
newly,elected,14
trinamool,congress,14
upcoming,lok,14
nancy,pelosi,14
next,years,14
ram,ji,14
elections,congress,14
pandit,real,14
let,us,14
congress,committee,13
our,nation,13
seats,seats,13
election,coverage,13
rajasthan,chief,13
dont,worry,13
congress,leads,13
jet,deal,13
dont,need,13
rs,crore,13
insisting,parliament,13
contest,polls,13
congress,may,13
manmohan,singh,13
congress,office,13
appointed,aicc,13
hard,work,13
minister,india,13
mr,gandhi,13
privilege,motion,13
trump,card,13
real,pandit,13
fake,gandhi,13
jai,shiri,13
farm,loan,13
shiri,ram,13
gautam,jai,13
pm,narendra,12
mallikarjun,kharge,12
read,track,12
early,trends,12
party,jai,12
akhilesh,yadav,12
income,guarantee,12
political,plunge,12
lakh,crore,12
reason,vote,12
national,congress,12
prove,duplicate,12
modi,rahul,12
come,power,12
lies,parliament,12
keep,issue,12
islands,jai,12
indian,politics,11
polluted,smelling,11
issue,alive.after,11
missing,dirty,11
ha,ha,11
parliament,keep,11
congress,govt,11
ahead,polls,11
next,pm,11
minister,nirmala,11
ahead,crucial,11
pradesh,chief,11
appointed,general,11
indian,national,11
exits,delaying,11
party,congress,11
rajasthan,chhattisgarh,11
farm,loans,11
dmk,president,11
delaying,tactic,11
smelling,stinking,11
mk,stalin,11
work,hard,11
delhi,congress,11
election,results,11
secretary,uttar,11
party,general,11
seats,tamil,11
diamond,leader,11
frustrated,exits,11
tactic,achieve,11
congress,spokesperson,11
congress,wins,11
leader,common,11
leader,diamond,11
fake,news,11
short,term,11
entry,active,11
argument,frustrated,11
congress,era,11
secretary,incharge,11
chief,rahul,11
common,leader,11
leader,leader,11
time,congress,11
voting,congress,10
party,office,10
present,house,10
seats,left,10
senior,leader,10
united,states,10
looking,forward,10
president,main,10
anil,contract,10
president,mr,10
congress,candidate,10
watch,video,10
watch,special,10
office,raipur,10
congress,rule,10
party,headquarters,10
must,watch,10
congress,allies,10
party,president,10
sharad,pawar,10
going,happen,10
women,empowerment,10
samajwadi,party,10
election,committee,10
ran,away,10
mp,rajasthan,10
paper,aeroplanes,10
main,question,10
alive.after,demolishes,10
seats,uttar,10
general,election,10
national,herald,10
ji,please,10
minister,narendra,10
contest,amethi,10
working,president,10
upa,govt,10
ram,temple,10
gandhis,residence,10
rahul,sonia,10
adjournment,motion,10
common,man,10
demolishes,argument,10
gandhi,should,10
election,campaign,10
select,committee,10
grand,alliance,10
minister,congress,9
upcoming,election,9
ji,jai,9
takes,political,9
shri,narendra,9
vasundhara,raje,9
congress,seats,9
entire,nation,9
priyanka,vadra,9
worth,rs,9
ani,track,9
win,seats,9
congress,headquarters,9
congress,lok,9
modi,government,9
rural,voters,9
sumitra,mahajan,9
contest,lok,9
sonia,era,9
lal,thanhawla,9
kerala,congress,9
people,want,9
congress,today,9
candidates,seats,9
face,congress,9
alliance,lok,9
passed,lok,9
former,cm,9
contract,decide,9
play,audio,9
doesnt,want,9
citizenship,amendment,9
regional,parties,9
era,yuva,9
us,congress,9
last,days,8
ysr,congress,8
year,congress,8
electoral,college,8
woo,young,8
chhattisgarh,congress,8
trends,show,8
credit,ani,8
dont,think,8
lotus,lootus,8
pappu,gandhi,8
term,limits,8
young,rural,8
show,congress,8
french,president,8
comission,agent,8
world,knew,8
save,india,8
seat,puducherry,8
whats,going,8
senior,leaders,8
need,know,8
next,election,8
entry,congress,8
ahead,congress,8
gandhi,read,8
tn,congress,8
congress,ruled,8
going,alone,8
dirty,politics,8
gandhi,visit,8
happy,year,8
permission,play,8
politics,appointed,8
threw,paper,8
party,leader,8
residence,delhi,8
agar,ka,8
last,yrs,8
changed,man,8
campaigns,woo,8
join,hands,8
gandhi,hai,8
vote,share,8
seven,seats,8
day,day,8
congress,comes,8
results,analysis,8
ak,antony,8
house,representatives,8
crocodile,tears,8
deputy,chief,8
congratulations,ji,8
aam,aadmi,8
rafale,showdown,8
congress,mps,8
rally,march,8
seats,dmk,8
ed,office,8
clown,prince,8
waive,farm,8
divisive,politics,8
mps,present,8
gandhis,entry,8
rs,crores,8
holistic,development,8
ministerial,candidate,8
loan,waivers,8
development,jai,8
dmk,congress,8
india,needs,8
field,candidates,8
win,election,8
congress,left,8
congress,nothing,8
seats,lok,8
congress,campaign,8
state,elections,8
prime,ministerial,8
ghulam,azad,8
gehlot,sachin,8
christian,michel,8
clean,chit,8
congress,rajasthan,8
chief,ministers,8
motion,notice,7
income,tax,7
congress,election,7
much,congress,7
modi,vs,7
catholic,christian,7
hai,ka,7
needs,detailed,7
want,india,7
former,union,7
top,leaders,7
term,memory,7
contest,election,7
lok,speaker,7
congress,aiadmk,7
ignore,laugh,7
gandhi,appointed,7
congress,dmk,7
congress,attack,7
president,ahead,7
called,meeting,7
making,history,7
politics,congress,7
should,start,7
stages,walkout,7
run,away,7
party,india,7
upcoming,general,7
congress,launches,7
moral,victory,7
elections,choose,7
partys,general,7
today,congress,7
meeting,congress,7
shedding,crocodile,7
reject,congress,7
finalise,seat,7
wont,let,7
jai,hind,7
telangana,congress,7
naam,mahatma,7
vadra,appointed,7
pradesh,alone,7
polls,together,7
ache,din,7
congress,upcoming,7
dedicated,welfare,7
rajasthan,congress,7
speaker,sumitra,7
congress,political,7
gen,secy,7
anti,national,7
charge,general,7
ahead,elections,7
should,contest,7
polls,congress,7
mr,rahul,7
congress,last,7
parsi/muslim,father,7
ko,vote,7
contest,alone,7
campaign,committee,7
elected,congress,7
game,changer,7
ahead,lok,7
held,meeting,7
amethi,rae,7
contest,elections,7
pm,shri,7
team,dedicated,7
flying,paper,7
come,india,7
mla,das,7
tax,payers,7
hon,pm,7
issues,whip,7
going,contest,7
american,people,7
indian,railways,7
lok,candidate,7
form,congress,7
counting,votes,7
polls,changed,7
national,emergency,7
alliance,polls,7
tax,notice,7
karnataka,elections,7
clear,majority,7
congress,tdp,7
years,rule,7
confident,congress,7
tell,us,7
thank,ji,7
outside,congress,7
likely,contest,7
pm,face,7
people,country,7
almost,years,7
adjourned,day,7
anyone,else,7
day,congress,7
congress,karnataka,7
congress,raj,7
incharge,east,7
christian,mother,7
development,islands,7
congress,walks,7
detailed,study,7
dr,manmohan,7
gandhi,launch,7
important,needs,7
updates,follow,7
today,tried,6
president,ji,6
congress,supporters,6
seats,state,6
faith,democracy,6
certified,randi,6
speech,parliament,6
save,democracy,6
election,restore,6
help,congress,6
live,link,6
minister,vasundhara,6
general,category,6
clean,foolish,6
mr,modi,6
memory,syndrome,6
surgical,strike,6
congress,doesnt,6
opposition,congress,6
party,assured,6
till,noon,6
watch,election,6
president,party,6
pm,post,6
congress’,sachin,6
give,us,6
people,voting,6
attack,congress,6
house,today,6
family,party,6
voters,polls,6
win,lok,6
donald,trump,6
ls,seats,6
would,thank,6
congress,needs,6
modi,vision,6
without,congress,6
amid,news,6
hindi,heartland,6
dont,understand,6
nine,seats,6
forged,alliance,6
lies,hot,6
salary,perks,6
should,our,6
extras,next,6
parties,registered,6
gandhi,grows,6
perks,extras,6
das,resigns,6
