W1,W2,F
detailed,election,397
click,detailed,389
election,trends,374
leads+results,analysis,338
election,leads+results,338
trends,pm,255
pm,click,255
adjourned,till,190
election,results,151
trends,click,119
live,updates,117
fears,terrain,111
terrain,politics,111
thoughtfactory,fears,111
politics,changing,111
madhya,pradesh,108
muslim,women,104
triple,talaq,102
adjourned,day,99
chief,minister,98
constitution,amendment,87
watch,live,86
protection,rights,85
lok,passes,84
general,category,71
economically,weaker,70
till,pm,70
till,noon,69
reservation,economically,63
laws,amendment,60
rights,marriage,59
results,analysis,58
track,live,55
women,protection,55
amendment,passed,54
consumer,protection,53
political,parties,53
upper,castes,51
sumitra,mahajan,51
passed,lok,51
latest,election,50
analysis,latest,50
live,analysis,50
general,elections,47
passes,constitution,46
political,party,45
speaker,sumitra,42
constitutional,amendment,42
citizenship,amendment,41
lok,elections,40
defence,minister,40
opposition,parties,39
surrogacy,regulation,39
mps,suspended,37
follow,live,37
provide,reservation,36
independent,candidate,36
prime,minister,36
quota,economically,36
union,minister,34
lok,adjourned,34
companies,amendment,34
transgender,persons,33
arun,jaitley,32
technology,use,31
upper,caste,31
weaker,section,30
social,media,30
dna,technology,29
delhi,international,29
use,application,29
amendment,introduced,28
amendment,provide,28
medical,council,28
personal,laws,28
international,centre,28
live,ndtv,28
indian,medical,28
today,introduced,28
aiadmk,mps,27
persons,protection,27
winter,session,27
law,minister,27
next,year,27
application,regulation,26
question,hour,26
paper,planes,26
weaker,sections,25
lok,polls,24
our,country,24
chandrashekar,rao,24
educational,institutions,24
results,madhya,23
omoyele,sowore,23
speaker,suspends,23
general,election,22
talaq,passed,22
track,updates,22
election,commissioner,22
today,passed,22
contest,upcoming,21
upcoming,elections,21
win,seats,21
election,coverage,21
home,minister,21
contest,elections,21
kamal,nath,21
council,amendment,21
historic,day,20
last,years,20
per,cent,20
upcoming,polls,19
medical,commission,19
national,medical,19
iyi,party,19
marriage,passed,19
section,society,19
asks,question,19
pradesh,chief,19
aimim,chief,19
contest,polls,18
need,know,18
looking,forward,18
jet,deal,18
finance,minister,18
amendment,discussed,18
grassroots,campaign,18
today,discussed,18
chief,election,18
national,security,18
aadhaar,laws,18
prannoy,roy,18
lok,speaker,17
select,committee,17
full,transcript,17
indias,political,17
part,indias,17
session,parliament,17
state,elections,17
presidential,alliance,17
metropolitan,municipality,17
sachin,pilot,17
root,causes,17
lower,house,17
society,higher,16
tdp,aiadmk,16
follow,updates,16
economically,weak,16
dont,know,16
happy,year,16
million,people,16
people,decide,16
till,tomorrow,16
commercial,surrogacy,16
higher,educational,16
ayes,noes,16
waste,votes,15
defence,dealings,15
ias,topper,15
election,yatra,15
ashok,gehlot,15
standing,committee,15
exclusive,interview,15
exactly,million,15
election,commission,15
votes,omoyele,15
catch,action,15
suspended,days,15
constitution,hundred,15
results,click,15
proceedings,adjourned,15
dont,want,15
decide,waste,15
women,passed,15
prakash,raj,14
hundred,twentyfourth,14
sine,die,14
supreme,court,14
centre,consumer,14
ahead,elections,14
loan,waiver,14
house,adjourned,14
special,coverage,14
ground,divorce,14
suspended,mps,14
speaker,suspended,14
twentyfourth,amendment,14
lead,story,14
counting,votes,14
samajwadi,party,14
akp,chair,14
sowore,slavery,14
protection,passed,14
next,years,14
address,root,14
introduced,today,14
asaduddin,owaisi,14
sections,cleared,14
door,door,14
unreserved,sections,14
amendment,aadhaar,13
jammu,kashmir,13
rafale,deal,13
chair,president,13
election,year,13
dealings,deal,13
indian,citizenship,13
raman,singh,13
economically,upper,13
farm,loan,13
dont,defence,13
dealings,dealing,13
deal,defence,13
dealing,defence,13
ahead,lok,13
rama,rao,13
amidst,protest,13
leader,integrity,13
ravi,shankar,13
dam,safety,12
results,rajasthan,12
parliament,lok,12
coverage,ndtv,12
voting,stations,12
saugata,roy,12
rajasthan,chief,12
thursday,passed,12
passes,triple,12
deputy,chief,12
written,reply,12
sections,general,12
regulation,passed,12
adjourned,sine,12
quota,upper,12
amendment,national,12
fraud,constitution,12
defence,dont,12
amendment,quota,12
stay,tuned,12
president,erdoğan,12
passes,quota,12
kalyan,asks,12
win,semifinal,12
election,preparedness,12
watch,election,12
mps,rule,12
telangana,chief,12
economically,unreserved,12
trs,chief,12
campaign,ekiti,11
minister,speaks,11
kt,rama,11
mahajan,suspends,11
tdp,mps,11
different,issues,11
rs,crore,11
protests,opposition,11
integrity,vision,11
slavery,need,11
ruling,party,11
govt,introduces,11
supreme,electoral,11
shah,faesal,11
security,priority,11
discussed,companies,11
ews,general,11
need,leader,11
next,months,11
education,economically,11
coverage,live,11
suspends,tdp,11
regulation,commercial,11
middle,class,11
last,day,11
analysis,watch,11
heres,exclusive,11
tell,us,11
passes,citizenship,11
presidential,campaign,11
women,triple,11
joint,select,11
within,hours,11
fake,news,11
longest,election,11
nath,madhya,11
ekiti,state,11
community,religion,10
elections,independent,10
national,trust,10
south,south,10
shashi,tharoor,10
door,campaign,10
click,link,10
heads,towards,10
contest,seats,10
ram,mandir,10
disrupting,proceedings,10
south,caravan,10
sunil,arora,10
reviews,election,10
passes,provide,10
ndtv,watch,10
join,friends,10
following,protests,10
rally,heads,10
