W1,W2,W3,F
version,please,log,46
detailed,version,please,46
epaper,detailed,version,46
track,live,updates,18
reason,great,crimes,14
controlled,polity,touched,14
crimes,committed,mighty,14
politicians,family,controlled,14
great,crimes,committed,14
simple,reason,great,14
mighty,politicians,family,14
family,controlled,polity,14
committed,mighty,politicians,14
accidental,prime,minister,10
votes👍,congress,govt,9
review,people,good,9
uri,review,people,9
figure,votes👍,congress,9
govt(now,uri,review,9
people,good,voted,9
good,voted,figure,9
voted,figure,votes👍,9
predicted,lok,seats,9
voters,reject,nota,8
seats,uttar,pradesh,8
reject,nota,defeat,7
indian,voters,reject,7
gali,shor,hai,7
ahead,predicted,lok,7
rahul,gandhi,congress,7
ahind,antinational,gali,7
madhya,pradesh,congress,7
nota,defeat,ahind,7
defeat,ahind,antinational,7
gali,gali,shor,7
antinational,gali,gali,7
polls,seatsharing,deal,6
leaves,jittery,cold,6
seatsharing,deal,leaves,6
seats,madhya,pradesh,6
congress,madhya,pradesh,6
deal,leaves,jittery,6
minister,review,people,5
hindus,should,know,5
should,know,christo,5
congress,contest,seats,5
madhya,pradesh,chief,5
support,congress,madhya,5
modi,vs,rahul,5
makes,army,fount,5
contest,lok,seats,5
fount,national,security,5
passed,mean,empowerment”,5
states,rajasthan,chhattisgarh,5
low,count,votes👎,5
detailed,election,results,5
parivar’s,perilous,post,5
post,poll,position,5
unity,hindus,should,5
seats,seats,seats,5
unite,sure,wins,5
empowerment”,prove,congress,5
congress,contest,lok,5
surging,economy,thanks,5
govt,passed,mean,5
review,people,votes,5
seats,total,vote,5
votes,low,count,5
madhya,pradesh,seesaw,5
move,ahead,polls,5
election,results,analysis,5
christo,islamic,going,5
army,fount,national,5
congress,govt,accidental,5
choice,surging,economy,5
vote,congress,should,5
should,unite,sure,5
our,next,pm,5
congress,makes,army,5
pradesh,seesaw,congress,5
wins,thumping,majority,5
ahead,polls,congress,5
sure,wins,thumping,5
govt,accidental,prime,5
going,vote,congress,5
islamic,going,vote,5
prime,minister,review,5
economy,thanks,emperor,5
know,christo,islamic,5
perilous,post,poll,5
polls,congress,makes,5
watch,live,ndtv,5
hindu,unity,hindus,5
people,votes,low,5
modi,govt,passed,5
mean,empowerment”,prove,5
short,hindu,unity,5
congress,should,unite,5
deposits,seats,congress,4
locked,tough,fight,4
govt,murders,persons,4
pradesh,chief,minister,4
day,allies,aiadmk,4
misses,majority,madhya,4
sinking,party,considered,4
party,leading,states,4
formed,govt,murders,4
former,union,minister,4
sachin,adarsh,shukla,4
lok,seats,congress,4
security,deposits,seats,4
polls’,verdict,impact,4
murders,persons,disgusting,4
fourth,time,row,4
agree,shares,seats,4
impact,elections,narayan,4
happening,congress,formed,4
congress’,manvendra,singh,4
country,party,leading,4
considered,pundits,agree,4
dmk,join,forces,4
congress,gained,state,4
defeats,congress’,manvendra,4
state,polls’,verdict,4
pundits,agree,shares,4
seats,track,live,4
congress,formed,govt,4
congress,sinking,party,4
prime,minister,narendra,4
congress,shiv,sena,4
party,considered,pundits,4
across,country,party,4
congress,rahul,gandhi,4
congress,track,live,4
continue,remain,equidistant,4
congress,opposition,parties,4
seats,congress,sinking,4
seats,congress,seats,4
thanks,emperor,re…,4
states,hindi,heartland,4
allies,aiadmk,read,4
experts,feel,loose,4
loose,security,deposits,4
shares,seats,gain,4
loss,congress,gained,4
join,forces,day,4
persons,disgusting,attacks,4
prove,congress,who…,4
majority,madhya,pradesh,4
heartland,states,misses,4
forces,day,allies,4
congress,dmk,join,4
indian,national,congress,4
state,elections,impact,4
gained,state,elections,4
lessons,state,polls’,4
challenges,lessons,state,4
verdict,impact,elections,4
feel,loose,security,4
states,misses,majority,4
clear,form,government,3
defeat,years,ago,3
centre,madhya,pradesh,3
sister,shame,party,3
smelling,stinking,india,3
noncongress,parties,adopting,3
modi,win,pappu,3
loss,loss,gains,3
years,ago,time,3
win,elections,india,3
rest,uses,school,3
allies,rest,uses,3
party,learning,anything,3
corrupt,polluted,smelling,3
uttar,pradesh,lok,3
slap,face,rahul,3
leads,results,show,3
managed,secure,seats,3
face,rahul,gandhi,3
congress,managed,secure,3
evms,sensing,defeat,3
seven,lok,seats,3
ravi,shankar,prasad,3
cm,naveen,patnaik,3
government,done,span,3
loan,write,focus,3
pounces,jpc,rafale,3
ahead,lok,elections,3
own.if,congress,opposition,3
pledge,onetime,farm,3
alliance,rjd,leader,3
wish,town,issue,3
allies,allies,rest,3
occasion,solve,jaypee,3
su,thirunavukkarasar,addresses,3
congress,locked,tough,3
ltd,pappu,khan,3
government,own.if,congress,3
rise,occasion,solve,3
solve,kashmir,need,3
onetime,farm,loan,3
rahul,rahul,vs,3
minister,narendra,modi,3
contest,lok,polls,3
admitting,congress,cant,3
missing,dirty,corrupt,3
ago,time,worse,3
counting,centre,madhya,3
trend,point,towards,3
congress,modi,win,3
mp,raj,cg,3
sena,pounces,jpc,3
pm,narendra,modi,3
timesmega,poll,slap,3
varun,gandhi,quit,3
congress,gandhi,family,3
focus,nots”,woo,3
need,pm,solve,3
live,updates,watch,3
power,decided,support,3
lok,seats,uttar,3
anything,defeat,years,3
elections,ensure,come,3
moved,privilege,motion,3
join,congress,ahead,3
india,congress,era,3
gandhi,quit,join,3
tough,fight,heat,3
odisha,cm,naveen,3
seats,seats,track,3
follow,live,updates,3
gandhi,congress,modi,3
form,government,own.if,3
pradesh,seats,congress,3
sides,coin,sides,3
congress,pvt,ltd,3
total,vote,seats,3
pvt,ltd,pappu,3
towards,loss,loss,3
pattern,announcing,alliance,3
shiv,sena,pounces,3
decided,support,congress,3
years,india,couldnt,3
congress,equipped,lead,3
aiadmk,pmk,alliance,3
madhya,pradesh,seats,3
surveys,thing,clear,3
congress,allies,allies,3
congress,mp,joined,3
poll,slap,face,3
seats,congress,managed,3
jaypee,wish,town,3
win,general,election,3
india,couldnt,last,3
tax,payers,money,3
win,pappu,thief,3
cant,solve,kashmir,3
vote,congress,means,3
uttar,pradesh,defeat,3
write,focus,nots”,3
minister,anticongress,propaganda,3
stinking,india,congress,3
nots”,woo,voters,3
vote,seats,total,3
heat,map,state,3
vs,rahul,rahul,3
congress,sides,coin,3
dirty,corrupt,polluted,3
surveys,trend,point,3
pm,ji,ji,3
mp,joined,wednesday,3
thing,clear,form,3
done,span,years,3
fought,elections,ensure,3
won’t,seats,uttar,3
congress,era,yuva,3
pm,congress,wins,3
fastest,updates,follow,3
prime,minister,anticongress,3
leader,su,thirunavukkarasar,3
pappu,thief,sister,3
wonder,hacked,dream,3
span,years,india,3
coin,sides,coin,3
secure,seats,seats,3
coverage,live,ndtv,3
opinion,noncongress,parties,3
thief,sister,shame,3
congress,ahead,lok,3
remain,equidistant,congress,3
history,honored,hate,3
equipped,lead,alliance,3
inside,counting,centre,3
ensure,come,power,3
addresses,media,delhi,3
today’s,surveys,thing,3
chief,minister,leads,3
solve,jaypee,wish,3
come,power,decided,3
fight,heat,map,3
learning,anything,defeat,3
point,towards,loss,3
thirunavukkarasar,addresses,media,3
kashmir,need,pm,3
parties,adopting,congressism,3
leading,states,rajasthan,3
lead,alliance,rjd,3
congress,cant,solve,3
congress,president,rahul,3
vs,modi/shah/,media/fake,3
rahul,vs,modi/shah/,3
pradesh,lok,elections,3
polluted,smelling,stinking,3
farm,loan,write,3
quit,join,congress,3
honored,hate,violence,3
fell,pattern,announcing,3
shame,party,learning,3
must,rise,occasion,3
trails,congress,leads,2
congress,tried,capitalise,2
people,dont,let,2
parties,centrestage,polls,2
dunga,dear,wise,2
foolish,chamchas,entry,2
whereas,fought,election,2
hospital,modi’s,wants,2
modi,parasites,much,2
hq,delhi,fancy,2
stats,right,nda,2
hashtags,voter,mood,2
voter,mood,self,2
ashok,gehlot,track,2
charged,year,check,2
right,nda,congress,2
writer,commentator,sudheendra,2
perception,war,elections,2
clear,majority,mandate,2
pm,leads,polls,2
should,form,allinace,2
denies,jd(s,claim,2
right,claim,part,2
joined,congress,denied,2
party,think,corrupt,2
set,command,pack,2
stormy,session,monday,2
unseat,government,madhya,2
ruling,upcoming,form,2
warns,congress,treat,2
dog,threatening,physical,2
party,march,lesser,2
mp,telangana,mizoram,2
minister,kickstarted,campaign,2
war,elections,congress,2
third,grade,citizen,2
pm,congress,takes,2
saw,coming,resurrected,2
marketing,promoting,film,2
upa,killed,indian,2
let,support,fade,2
fifteen,lok,seat,2
loss,states,elections,2
sir,worries,watch,2
tieup,though,sources,2
governance,vote,congress,2
news,follow,ndtv,2
wise,people,dont,2
education,learning,facts,2
reported,earlier,congress,2
candidate,marks,doesnt,2
chowkidar,chor,hai,2
wins,india,corruption,2
chor,youth,ko,2
pradesh,retweet,congress,2
lok,seats,congress…,2
madhya,pradesh,heres,2
population,congress,got,2
win,seats,achieve,2
deal,seats,sharing,2
scream,density,rafel,2
m.p,slowed,congress,2
copies,congress,farm,2
night,wonder,work,2
comission,call,legal,2
seat,congress,part,2
welcomes,sc,ruling,2
chaos,amid,dogfight,2
seats,nr,congress,2
edge,state,seats,2
leader,former,madhya,2
cr,congress,legislators,2
ppl,good,work,2
ji,ke,time,2
