W1,W2,W3,F
track,live,updates,60
president,rahul,gandhi,54
congress,president,rahul,52
congress,general,secretary,31
election,rahul,gandhi,28
mata,ki,jai,27
priyanka,gandhi,vadra,26
fight,election,rahul,24
give,chance,fight,24
chance,fight,election,24
ji,mata,ki,23
please,give,chance,23
sir,please,give,23
jai,name,rahul,23
rahul,gautam,im,23
im,himachal,pradesh,23
himachal,pradesh,sir,23
name,rahul,gautam,23
ki,jai,name,23
gautam,im,himachal,23
pranam,ji,mata,23
pradesh,sir,please,23
aicc,general,secretary,22
watch,live,ndtv,21
coverage,live,ndtv,21
appointed,congress,general,21
rahul,gandhi,ji,21
general,secretary,east,19
jai,congress,party,19
jai,rahul,gandhi,18
rahul,gandhi,sir,17
gandhi,sir,trust,17
sir,trust,prove,16
follow,our,special,16
our,special,coverage,16
special,coverage,live,16
catch,action,follow,16
via,namo,app,16
action,follow,our,15
uttar,pradesh,east,15
parliament,today,reverts,15
pandit,rahul,gautam,14
general,secretary,ahead,14
today,reverts,lies,14
follow,live,updates,14
rahul,gandhi,congress,14
madhya,pradesh,congress,14
congress,ad,dynasty,14
duplicate,pandit,real,14
shiri,ram,ji,13
live,updates,watch,13
jai,shiri,ram,13
rahul,gautam,jai,13
pandit,real,pandit,13
gautam,jai,shiri,13
real,pandit,rahul,13
insisting,parliament,today,13
trust,prove,duplicate,12
prove,duplicate,pandit,12
congress,party,jai,12
seats,tamil,nadu,11
lies,parliament,keep,11
rs,lakh,crore,11
defence,minister,nirmala,11
argument,frustrated,exits,11
general,secretary,uttar,11
delaying,tactic,achieve,11
party,jai,rahul,11
keep,issue,alive.after,11
leader,common,leader,11
our,leader,leader,11
parliament,keep,issue,11
exits,delaying,tactic,11
frustrated,exits,delaying,11
leader,diamond,leader,11
polluted,smelling,stinking,11
common,leader,diamond,11
general,secretary,incharge,11
secretary,uttar,pradesh,11
minimum,income,guarantee,11
reverts,lies,parliament,11
pradesh,chief,minister,11
chief,rahul,gandhi,11
rajasthan,chief,minister,11
leader,leader,common,11
entry,active,politics,11
demolishes,argument,frustrated,10
farm,loan,waiver,10
prime,minister,india,10
issue,alive.after,demolishes,10
president,main,question,10
read,track,live,10
appointed,general,secretary,10
seats,uttar,pradesh,10
congress,president,main,10
indian,national,congress,10
main,question,anil,10
alive.after,demolishes,argument,10
question,anil,contract,10
minister,nirmala,sitharaman,9
congress,contest,seats,9
play,audio,tape,9
congress,era,yuva,9
pm,narendra,modi,9
prime,minister,narendra,9
appointed,aicc,general,9
watch,special,coverage,9
special,coverage,ndtv,9
madhya,pradesh,chief,9
pm,ji,ji,9
takes,political,plunge,9
rahul,gandhis,residence,8
agar,ka,naam,8
deputy,chief,minister,8
contest,seats,uttar,8
modi,rahul,gandhi,8
track,updates,watch,8
young,rural,voters,8
woo,young,rural,8
gehlot,sachin,pilot,8
updates,watch,special,8
ashok,gehlot,sachin,8
priyanka,gandhis,entry,8
prime,ministerial,candidate,8
development,jai,congress,8
campaigns,woo,young,8
anil,contract,decide,8
congress,chief,rahul,8
updates,watch,live,8
waive,farm,loans,8
senior,congress,leader,8
holistic,development,jai,8
ka,naam,mahatma,7
naam,mahatma,gandhi,7
team,dedicated,welfare,7
gandhis,residence,delhi,7
mahatma,gandhi,hai,7
early,trends,show,7
catholic,christian,mother,7
rahul,gandhi,visit,7
dr,manmohan,singh,7
finalise,seat,sharing,7
ji,jai,congress,7
needs,detailed,study,7
former,union,minister,7
gandhi,ji,jai,7
president,ahead,crucial,7
important,needs,detailed,7
development,islands,jai,7
short,term,memory,7
islands,jai,rahul,7
shedding,crocodile,tears,7
lok,elections,congress,7
polls,changed,man,7
congress,team,dedicated,7
lies,hot,air,6
party,contest,seats,6
congress,team,holistic,6
chief,minister,vasundhara,6
congress,office,raipur,6
congress,president,party,6
split,rlsp,meeting,6
india,congress,committee,6
parsi/muslim,father,catholic,6
stinking,india,congress,6
gandhi,hai,ka,6
father,catholic,christian,6
worth,rs,lakh,6
rlsp,meeting,congress,6
votes,lies,hot,6
watch,live,link,6
mps,present,house,6
dmk,congress,alliance,6
india,congress,era,6
sp,forged,alliance,6
rs,crore,tax,6
crore,tax,notice,6
ji,hard,work,6
years,dont,need,6
ji,ji,ji,6
dont,need,votes,6
registered,must,form,6
congress’,youth,wing,6
madhya,pradesh,seat,6
gandhi,launch,party’s,6
political,parties,registered,6
gandhi,party,workers,6
parties,registered,must,6
congress,karnataka,elections,6
grows,wins,allies,6
different,campaigns,woo,6
corrupt,polluted,smelling,6
present,house,today,6
launches,different,campaigns,6
party,assured,salary,6
triple,talaq,passed,6
team,holistic,development,6
joint,select,committee,6
political,party,assured,6
gandhi,picked,idea,6
congress’,sachin,pilot,6
mla,das,resigns,6
smelling,stinking,india,6
visit,gujarat,mr,6
scam,minister,clean,6
rahul,gandhi,grows,6
secretary,incharge,east,6
mahatma,gandhi,picked,6
hard,work,dedication,6
mr,gandhi,launch,6
alone,andhra,pradesh,6
form,congress,political,6
meeting,congress,leader,6
senior,congress,leaders,6
hot,air,jargon,6
rahul,gandhi,should,6
sent,joint,select,6
extras,next,years,6
speaker,sumitra,mahajan,6
contracts,worth,rs,6
perks,extras,next,6
adjourned,till,noon,6
need,votes,lies,6
missing,dirty,corrupt,6
minister,clean,foolish,6
rural,voters,polls,6
amid,news,split,6
clean,foolish,short,6
uti,scam,minister,6
salary,perks,extras,6
rahul,gandhi,prime,6
news,split,rlsp,6
rahul,gandhi,read,6
rahul,gandhi,calls,6
gandhis,entry,politics,6
congress,political,party,6
aam,aadmi,party,6
today,tried,produce,6
minister,narendra,modi,6
assured,salary,perks,6
launch,party’s,campaign,6
christian,michel,conform,6
people,vote,congress,6
charge,general,secretary,6
gandhi,grows,wins,6
gujarat,mr,gandhi,6
rahul,gandhi,pm,6
next,years,dont,6
must,form,congress,6
dirty,corrupt,polluted,6
political,plunge,joins,6
term,memory,syndrome,6
hai,ka,naam,6
wins,allies,ahead,6
adjourned,till,pm,6
winner,takes,political,6
foolish,short,term,6
congress,leader,sparked,6
triumph,rahul,gandhi,6
rahul,gandhi,party,6
mr,rahul,gandhi,6
options,elections,choose,6
chief,niranjan,patnaik,6
would,thank,congress,5
smelling,stinking,indian,5
minister,announces,congress,5
fight,solo,dont,5
secrecy,pact,question,5
polls,thank,ji,5
mps,threw,paper,5
das,resigns,primary,5
congress,leaders,meet,5
hints,may,fight,5
congress,leader,kamal,5
may,fight,solo,5
mps,protest,near,5
antony,revealed,money,5
chhattisgarh,chief,minister,5
president,mr,macron,5
watch,election,coverage,5
coverage,day,ndtv,5
dont,underestimate,us,5
partys,general,secretaries,5
seats,allies,meet,5
outside,congress,office,5
primary,congress,post,5
sonia,era,works,5
works,exclusively,nonhindus,5
shri,ji,shri,5
congressdmk,alliance,polls,5
congress,clear,majority,5
party,contest,upcoming,5
efforts,grand,comes,5
despite,apprehensions,president,5
planes,towards,fm,5
congress,post,working,5
money,question,money,5
shameful,defeat,ensuing,5
former,chief,minister,5
christian,mother,hindu,5
congress,party,going,5
narendra,modi,rahul,5
