W1,W2,W3,F
click,detailed,election,389
election,leads+results,analysis,338
detailed,election,leads+results,338
election,trends,pm,255
pm,click,detailed,255
trends,pm,click,255
trends,click,detailed,119
election,trends,click,119
fears,terrain,politics,114
terrain,politics,changing,114
thoughtfactory,fears,terrain,113
adjourned,till,pm,76
adjourned,till,noon,71
mess,caused,term,69
huge,mess,caused,68
protection,rights,marriage,59
detailed,election,results,56
election,results,analysis,56
women,protection,rights,55
muslim,women,protection,55
address,root,causes,54
want,should,work,53
track,live,updates,52
caused,term,office,52
latest,election,results,50
live,analysis,latest,50
analysis,latest,election,50
watch,live,analysis,50
passes,constitution,amendment,48
speaker,sumitra,mahajan,45
reservation,economically,weaker,38
sp,contest,seats,37
follow,live,updates,37
media,coverage,update,35
upcoming,lok,elections,35
voting,stations,open,34
election,commission,india,33
dna,technology,use,32
economically,weaker,section,32
call,us,want,32
want,you.the,year,32
sir,adding,hands,31
closer,want,should,31
provide,reservation,economically,31
coming,closer,want,31
adding,hands,call,31
hands,call,us,31
technology,use,application,30
jeremys,knesset,insider,29
chief,election,commissioner,29
stations,open,days,28
use,application,regulation,28
personal,laws,amendment,27
economically,weaker,sections,27
transgender,persons,protection,27
delhi,international,centre,27
shining,india,survey,26
persons,protection,rights,26
lok,adjourned,till,26
year,coming,closer,26
indian,medical,council,26
contest,lok,elections,25
january,sa’s,voting,25
sharing,glimpses,shining,24
read,tweet,call,24
tweet,call,us,24
dot,news,link,24
glimpses,shining,india,24
sa’s,voting,stations,24
us,want,you.the,23
child,sex,offending,23
coverage,update,date,23
results,madhya,pradesh,23
open,days,registration,23
final,january,sa’s,23
sir,pray,pray,23
pray,pray,read,23
time,address,root,23
election,results,madhya,23
amendment,provide,reservation,23
pray,read,tweet,23
registration,updating,addresses,22
us,you.i,want,22
near,want,should,22
triple,talaq,passed,22
days,registration,updating,22
call,us,you.i,22
contest,upcoming,elections,21
addresses,voting,stations,21
medical,council,amendment,21
updating,addresses,voting,21
lok,passes,constitution,20
lnp,primary,nonmetrop,19
heres,exclusive,interview,19
ipsos,poll,lnp,19
akp,chair,president,19
primary,nonmetrop,oz,19
oz,alp,women,19
constitution,amendment,provide,19
national,medical,commission,19
weaker,section,society,19
rights,marriage,passed,19
points,ipsos,poll,19
should,work,election.which,19
pradesh,chief,minister,19
poll,lnp,primary,19
likud,israel,resilience,19
nonmetrop,oz,alp,19
update,date,headline,19
coming,time,show,19
chair,president,erdoğan,18
you.i,want,you.the,18
elections,dot,news,18
aadhaar,laws,amendment,18
resilience,yesh,atid,18
farm,loan,waiver,18
join,us,visit,18
year,near,want,18
work,election.which,strengthen,18
election.which,strengthen,party,18
winter,session,parliament,18
alp,women,lnp,18
you.the,year,coming,18
coming,time,stop,18
israel,resilience,yesh,18
ap,elections,dot,18
quota,economically,weaker,18
poll,likud,israel,18
women,lnp,alp,18
hillary,rodham,clinton,17
inec,releases,dates,17
logical,choice,lets,17
chief,electoral,officer,17
ahead,general,elections,17
final,registration,weekend,17
lets,right,time,17
ahead,lok,polls,17
clinton,logical,choice,17
election,inec,chairman,17
time,stop,disastrous,17
choice,lets,right,17
releases,dates,postponement,17
right,time,control,17
rodham,clinton,logical,17
madhya,pradesh,chief,17
economist,author,ruchir,17
dates,postponement,details,17
voter,registration,weekend,17
top,top,gainers,16
decide,waste,votes,16
waste,votes,omoyele,16
author,ruchir,sharma,16
votes,omoyele,sowore,16
section,society,higher,16
watch,live,ndtv,16
announced,week,march,16
exactly,million,people,16
election,commissioner,sunil,16
disastrous,count,heard,16
commissioner,sunil,arora,16
stop,disastrous,count,16
society,higher,educational,16
chairman,meets,stakeholders,16
free,fair,elections,16
inec,chairman,meets,16
ahead,lok,elections,16
top,gainers,top,16
top,top,top,16
unreserved,sections,cleared,16
million,people,decide,16
people,decide,waste,16
gainers,top,losers,16
results,click,detailed,15
omoyele,sowore,slavery,15
longest,election,yatra,15
time,show,our,15
click,easy,hasslefree,15
vote,click,easy,15
higher,educational,institutions,15
rs,lakh,crore,15
easy,hasslefree,check,15
registered,vote,click,15
constitution,amendment,quota,15
hundred,twentyfourth,amendment,15
kt,rama,rao,15
door,door,campaign,15
economically,unreserved,sections,15
aiadmk,mps,suspended,15
adjourned,till,tomorrow,15
election,results,click,15
constitution,hundred,twentyfourth,15
model,code,conduct,15
muslim,women,passed,15
lok,speaker,sumitra,14
party,samaj,party,14
you.the,year,near,14
farm,loan,waivers,14
samajwadi,party,samaj,14
date,headline,factors,14
