W1,W2,W3,W4,F
congress,president,rahul,gandhi,35
special,coverage,live,ndtv,16
follow,our,special,coverage,16
our,special,coverage,live,15
catch,action,follow,our,15
action,follow,our,special,15
parliament,today,reverts,lies,14
insisting,parliament,today,reverts,13
track,live,updates,watch,12
today,reverts,lies,parliament,11
frustrated,exits,delaying,tactic,11
lies,parliament,keep,issue,11
leader,common,leader,diamond,11
reverts,lies,parliament,keep,11
parliament,keep,issue,alive.after,11
argument,frustrated,exits,delaying,11
exits,delaying,tactic,achieve,11
leader,leader,common,leader,11
our,leader,leader,common,11
common,leader,diamond,leader,11
alive.after,demolishes,argument,frustrated,10
demolishes,argument,frustrated,exits,10
issue,alive.after,demolishes,argument,10
keep,issue,alive.after,demolishes,10
president,main,question,anil,9
madhya,pradesh,chief,minister,9
congress,president,main,question,9
defence,minister,nirmala,sitharaman,9
ashok,gehlot,sachin,pilot,8
read,track,live,updates,8
updates,watch,special,coverage,8
main,question,anil,contract,8
question,anil,contract,decide,8
important,needs,detailed,study,7
watch,special,coverage,ndtv,7
updates,watch,live,ndtv,7
rahul,gandhis,residence,delhi,7
mps,present,house,today,6
sent,joint,select,committee,6
triumph,rahul,gandhi,grows,6
foolish,short,term,memory,6
live,updates,watch,special,6
news,split,rlsp,meeting,6
minister,clean,foolish,short,6
uti,scam,minister,clean,6
rahul,gandhi,grows,wins,6
rlsp,meeting,congress,leader,6
worth,rs,lakh,crore,6
clean,foolish,short,term,6
amid,news,split,rlsp,6
meeting,congress,leader,sparked,6
short,term,memory,syndrome,6
split,rlsp,meeting,congress,6
grows,wins,allies,ahead,6
scam,minister,clean,foolish,6
gandhi,grows,wins,allies,6
announces,congress,twitter,read,5
money,question,money,disappear,5
minister,announces,congress,twitter,5
despite,apprehensions,president,predictions,5
ka,naam,mahatma,gandhi,5
near,gandhi,statue,inside,5
constitutional,matter,request,sent,5
study,constitutional,matter,request,5
matter,request,sent,joint,5
needs,detailed,study,constitutional,5
track,updates,watch,live,5
mps,threw,paper,planes,5
agar,ka,naam,mahatma,5
tries,play,audio,tape,5
protest,near,gandhi,statue,5
mistakes,yes,current,president,5
president,price,part,secrecy,5
watch,election,coverage,live,5
congress,leader,kamal,nath,5
revealed,money,though,money,5
detailed,election,results,analysis,5
threw,paper,planes,towards,5
special,coverage,day,ndtv,5
naam,mahatma,gandhi,hai,5
price,part,secrecy,pact,5
president,mistakes,yes,current,5
mps,protest,near,gandhi,5
election,coverage,live,ndtv,5
apprehensions,president,predictions,unlikely,5
antony,revealed,money,though,5
current,president,mr,macron,5
pradesh,chief,minister,announces,5
chief,minister,announces,congress,5
detailed,study,constitutional,matter,5
money,though,money,question,5
yes,current,president,mr,5
twitter,read,track,live,5
president,predictions,unlikely,next,5
though,money,question,money,5
congress,leader,sparked,speculation,5
paper,planes,towards,fm,5
congress,twitter,read,track,5
ak,antony,revealed,money,5
uproar,tries,play,audio,5
request,sent,joint,select,5
part,secrecy,pact,question,5
given,contracts,worth,rs,5
contracts,worth,rs,lakh,4
speak,congress,leader,ndtv,4
flyaway,condition,nda,raised,4
chief,minister,watch,live,4
moment,congress,mps,threw,4
dials,mayawati,madhya,pradesh,4
things,rahul,gandhi,narendra,4
president,mr,macron,expresident,4
telangana,catch,action,follow,4
can’t,speak,minutes,without,4
showdown,jaitley,replies,rahul,4
chief,minister,vasundhara,raje,4
gains,states,kcr,gold,4
gandhi,would,fallacy,political,4
track,live,updates,follow,4
may,join,upa,ahead,4
political,party,assured,salary,4
congress,important,needs,detailed,4
registered,must,form,congress,4
sardarpura,track,live,updates,4
party,assured,salary,perks,4
triple,talaq,passed,lok,4
congress,mps,threw,paper,4
congress,mp,ranjeet,ranjan,4
wins,allies,ahead,congress,4
lies,hot,air,jargon,4
farm,loans,voted,power,4
leads,waver,congress,dials,4
farm,politics,main,agenda,4
secrecy,pact,question,anil,4
mayawati,madhya,pradesh,sources,4
jeeta,wohe,skinder,congratulations,4
gandhis,rajasthan,decision,today,4
