W1,W2,W3,W4,F
congress,president,rahul,gandhi,47
give,chance,fight,election,24
chance,fight,election,rahul,24
fight,election,rahul,gandhi,24
pradesh,sir,please,give,23
sir,please,give,chance,23
himachal,pradesh,sir,please,23
please,give,chance,fight,23
mata,ki,jai,name,23
name,rahul,gautam,im,23
rahul,gautam,im,himachal,23
ji,mata,ki,jai,23
pranam,ji,mata,ki,23
ki,jai,name,rahul,23
im,himachal,pradesh,sir,23
jai,name,rahul,gautam,23
gautam,im,himachal,pradesh,23
appointed,congress,general,secretary,20
jai,rahul,gandhi,ji,18
election,rahul,gandhi,sir,17
rahul,gandhi,sir,trust,17
follow,our,special,coverage,16
gandhi,sir,trust,prove,16
special,coverage,live,ndtv,16
action,follow,our,special,15
our,special,coverage,live,15
catch,action,follow,our,15
parliament,today,reverts,lies,14
jai,shiri,ram,ji,13
insisting,parliament,today,reverts,13
pandit,real,pandit,rahul,13
rahul,gautam,jai,shiri,13
duplicate,pandit,real,pandit,13
real,pandit,rahul,gautam,13
gautam,jai,shiri,ram,13
pandit,rahul,gautam,jai,13
track,live,updates,watch,12
sir,trust,prove,duplicate,12
prove,duplicate,pandit,real,12
jai,congress,party,jai,12
trust,prove,duplicate,pandit,12
general,secretary,uttar,pradesh,11
frustrated,exits,delaying,tactic,11
congress,party,jai,rahul,11
exits,delaying,tactic,achieve,11
today,reverts,lies,parliament,11
leader,common,leader,diamond,11
reverts,lies,parliament,keep,11
congress,general,secretary,ahead,11
common,leader,diamond,leader,11
argument,frustrated,exits,delaying,11
our,leader,leader,common,11
parliament,keep,issue,alive.after,11
lies,parliament,keep,issue,11
party,jai,rahul,gandhi,11
leader,leader,common,leader,11
keep,issue,alive.after,demolishes,10
congress,president,main,question,10
demolishes,argument,frustrated,exits,10
alive.after,demolishes,argument,frustrated,10
issue,alive.after,demolishes,argument,10
president,main,question,anil,10
appointed,aicc,general,secretary,9
madhya,pradesh,chief,minister,9
defence,minister,nirmala,sitharaman,9
secretary,uttar,pradesh,east,9
holistic,development,jai,congress,8
congress,chief,rahul,gandhi,8
question,anil,contract,decide,8
read,track,live,updates,8
woo,young,rural,voters,8
ashok,gehlot,sachin,pilot,8
development,jai,congress,party,8
updates,watch,special,coverage,8
main,question,anil,contract,8
campaigns,woo,young,rural,8
contest,seats,uttar,pradesh,8
congress,general,secretary,uttar,7
congress,team,dedicated,welfare,7
rahul,gandhis,residence,delhi,7
gandhi,ji,jai,congress,7
islands,jai,rahul,gandhi,7
important,needs,detailed,study,7
agar,ka,naam,mahatma,7
updates,watch,live,ndtv,7
development,islands,jai,rahul,7
naam,mahatma,gandhi,hai,7
rahul,gandhi,ji,jai,7
ka,naam,mahatma,gandhi,7
watch,special,coverage,ndtv,7
meeting,congress,leader,sparked,6
worth,rs,lakh,crore,6
gandhi,launch,party’s,campaign,6
father,catholic,christian,mother,6
gandhi,hai,ka,naam,6
grows,wins,allies,ahead,6
gujarat,mr,gandhi,launch,6
clean,foolish,short,term,6
mps,present,house,today,6
salary,perks,extras,next,6
smelling,stinking,india,congress,6
triumph,rahul,gandhi,grows,6
rlsp,meeting,congress,leader,6
extras,next,years,dont,6
assured,salary,perks,extras,6
general,secretary,incharge,east,6
rahul,gandhi,party,workers,6
form,congress,political,party,6
parsi/muslim,father,catholic,christian,6
political,party,assured,salary,6
congress,political,party,assured,6
news,split,rlsp,meeting,6
aicc,general,secretary,incharge,6
parties,registered,must,form,6
must,form,congress,political,6
uti,scam,minister,clean,6
corrupt,polluted,smelling,stinking,6
foolish,short,term,memory,6
sent,joint,select,committee,6
political,parties,registered,must,6
missing,dirty,corrupt,polluted,6
votes,lies,hot,air,6
launches,different,campaigns,woo,6
ji,jai,congress,party,6
need,votes,lies,hot,6
winner,takes,political,plunge,6
takes,political,plunge,joins,6
team,holistic,development,jai,6
stinking,india,congress,era,6
party,assured,salary,perks,6
aicc,general,secretary,east,6
scam,minister,clean,foolish,6
gandhi,grows,wins,allies,6
polluted,smelling,stinking,india,6
perks,extras,next,years,6
different,campaigns,woo,young,6
young,rural,voters,polls,6
prime,minister,narendra,modi,6
rahul,gandhi,grows,wins,6
congress,team,holistic,development,6
amid,news,split,rlsp,6
priyanka,gandhis,entry,politics,6
registered,must,form,congress,6
years,dont,need,votes,6
visit,gujarat,mr,gandhi,6
rs,crore,tax,notice,6
dirty,corrupt,polluted,smelling,6
mr,gandhi,launch,party’s,6
short,term,memory,syndrome,6
mahatma,gandhi,picked,idea,6
split,rlsp,meeting,congress,6
dont,need,votes,lies,6
minister,clean,foolish,short,6
live,updates,watch,special,6
next,years,dont,need,6
lies,hot,air,jargon,6
vision,rahul,division,kejriwal,5
twitter,read,track,live,5
congress,twitter,read,track,5
sp,forged,alliance,party,5
east,nothing,shameful,defeat,5
shameful,defeat,ensuing,lok,5
constitutional,matter,request,sent,5
allies,meet,seat,ends,5
forged,alliance,party,contest,5
ensuing,lok,polls,thank,5
efforts,grand,comes,power,5
cong,indentify,seats,allies,5
rahul,gandhi,ji,hard,5
needs,detailed,study,constitutional,5
uproar,tries,play,audio,5
request,sent,joint,select,5
apprehensions,president,predictions,unlikely,5
may,fight,solo,dont,5
era,works,exclusively,nonhindus,5
dedicated,welfare,islands,jai,5
mahatma,gandhi,hai,ka,5
protest,near,gandhi,statue,5
matter,request,sent,joint,5
shiri,ram,ji,please,5
threw,paper,planes,towards,5
islands,jai,congress,party,5
congressdmk,alliance,polls,sealed,5
dr,manmohan,singh,lok,5
president,mistakes,yes,current,5
price,part,secrecy,pact,5
money,question,money,disappear,5
primary,congress,post,working,5
election,coverage,live,ndtv,5
minister,announces,congress,twitter,5
near,gandhi,statue,inside,5
special,coverage,day,ndtv,5
congress,leader,sparked,speculation,5
chennai,today,seats,congress,5
despite,apprehensions,president,predictions,5
paper,planes,towards,fm,5
sonia,era,works,exclusively,5
chief,minister,announces,congress,5
inclusive,development,islands,jai,5
resigns,primary,congress,post,5
watch,election,coverage,live,5
mistakes,yes,current,president,5
fight,solo,dont,underestimate,5
welfare,islands,jai,congress,5
manmohan,singh,lok,candidate,5
led,govts,funding,sonia,5
narendra,modi,rahul,gandhi,5
yes,current,president,mr,5
christian,mother,hindu,janeudhari,5
announces,congress,twitter,read,5
aicc,uttar,pradesh,east,5
study,constitutional,matter,request,5
detailed,study,constitutional,matter,5
sealed,chennai,today,seats,5
polls,sealed,chennai,today,5
alliance,party,contest,seats,5
money,though,money,question,5
president,predictions,unlikely,next,5
revealed,money,though,money,5
seats,allies,meet,seat,5
tries,play,audio,tape,5
partys,general,secretaries,state,5
meet,seat,ends,instructing,5
govts,funding,sonia,era,5
dmk,president,mk,stalin,5
nothing,shameful,defeat,ensuing,5
team,inclusive,development,islands,5
mother,hindu,janeudhari,son,5
picked,idea,non,violence,5
solo,dont,underestimate,us,5
party,launch,sincere,efforts,5
pradesh,east,nothing,shameful,5
hints,may,fight,solo,5
congress,leader,kamal,nath,5
funding,sonia,era,works,5
polluted,smelling,stinking,indian,5
speak,congress,leader,ndtv,5
team,dedicated,welfare,islands,5
lok,polls,thank,ji,5
detailed,election,results,analysis,5
smelling,stinking,indian,railways,5
gandhi,ji,hard,work,5
actions,should,speak,congress,5
congress,team,inclusive,development,5
pradesh,chief,minister,announces,5
dirty,polluted,smelling,stinking,5
part,secrecy,pact,question,5
should,speak,congress,leader,5
missing,dirty,polluted,smelling,5
mps,protest,near,gandhi,5
defeat,ensuing,lok,polls,5
indian,railways,congress,era,5
antony,revealed,money,though,5
rahul,division,kejriwal,televisions,5
ak,antony,revealed,money,5
though,money,question,money,5
sincere,efforts,grand,comes,5
president,price,part,secrecy,5
indentify,seats,allies,meet,5
track,updates,watch,live,5
priyanka,gandhi,vadra,appointed,5
given,contracts,worth,rs,5
gandhi,picked,idea,non,5
launch,sincere,efforts,grand,5
mps,threw,paper,planes,5
hai,modi,vision,rahul,5
mla,das,resigns,primary,5
uttar,pradesh,east,nothing,5
