id_str,full_text,created_at,favourites_count,statuses_count,followers_count,retweeted,retweet_count,retweeted_text,location,hashtags,user_mentions,symbols,urls
1093585247541911552,RT @editorji: launched a no holds barred attack on the in the . Accusing Congress of 'bullying' the a…,Thu Feb 07 19:00:15 +0000 2019,155787,126194,918,False,3,"launched a no holds barred attack on the in the . Accusing Congress of 'bullying' the and 'insulting the ', left nothing from to . Catch the top highlights of PM's speech on @editorji",Jaitpura Varanasi,4,1,0,0
1093583658231975941,"RT @DrManishKumar1: At the minority convention of @INCIndia, @RahulGandhi aprt from lying abt , he challenged Modi for a debate. I…",Thu Feb 07 18:53:56 +0000 2019,61220,49090,1371,False,24,"At the minority convention of @INCIndia, @RahulGandhi aprt from lying abt , he challenged Modi for a debate. In , he had an opportunity to debate with Modi but like a coward Rahul vanished. Spit and Run Politics will further erode Cong.",New Delhi India,1,3,0,0
1093582628597497856,"RT @indiatvnews: 'In hating , the Opposition has begun to hate the nation': 's fierce attack on in https://…",Thu Feb 07 18:49:51 +0000 2019,35908,4686,145,False,27,"'In hating , the Opposition has begun to hate the nation': 's fierce attack on in",Unknown,4,1,0,0
1093580839647100930,"RT @GoNews24x7: ""The Prime Minister helped steal Rs 30000 crore from the Defence Forces and given it to Anil Ambani""- @RahulGandhi responds…",Thu Feb 07 18:42:44 +0000 2019,487,757,6,False,7,"""The Prime Minister helped steal Rs 30000 crore from the Defence Forces and given it to Anil Ambani""- @RahulGandhi responds to @PMOIndia charges made in the Parliament.",Dubai United Arab Emirates,0,2,0,0
1093578069930008577,"Gaurav Gogoi opposes Citizenship Amendment Bill, says its anti-Assam Accord",Thu Feb 07 18:31:44 +0000 2019,60,53169,1108,False,0,,Unknown,7,0,0,1
1093577273092046852,RT @keshaboinasri: Thank you so much to Indian National Congress and hereditary looterrs. …,Thu Feb 07 18:28:34 +0000 2019,5628,7217,40,False,4,Thank you so much to Indian National Congress and hereditary looterrs.,india,3,1,0,0
1093577234743418881,"RT @GoNews24x7: Congress MP @ShashiTharoor rebuts @PMOIndia speech at the Parliament by calling it a "" swansong and 'dramebaazi'"". …",Thu Feb 07 18:28:25 +0000 2019,6941,6591,160,False,9,"Congress MP @ShashiTharoor rebuts @PMOIndia speech at the Parliament by calling it a "" swansong and 'dramebaazi'"".",Delhi India,0,3,0,0
1093577137246728192,B.C = Before Congress A.D = After Dynasty 😁😁😁 @narendramodi ji good one! 🙏🏼,Thu Feb 07 18:28:01 +0000 2019,7274,10637,639,False,0,,chennai,3,1,0,0
1093575555302207488,"Ed Investigates and takes his statement, Priyanka gandhi stands by him while she take charge at Congress political drama takes off before election2019",Thu Feb 07 18:21:44 +0000 2019,79,3948,3367,False,0,,India,3,0,0,2
1093574490095706113,@AmarUjalaNews @INCIndia @BJP4India Could have happened today Mr. if you wouldn't escaped today's but today again you have missed this opportunity @RahulGandhi,Thu Feb 07 18:17:30 +0000 2019,624,694,17,False,0,,Ghaziabad India,2,4,0,0
