id_str,full_text,created_at,favourites_count,statuses_count,followers_count,retweeted,retweet_count,retweeted_text,location,hashtags,user_mentions,symbols,urls
1093588341973385217,RT @AITCofficial: @DinTri speaks on Motion of the thanks on President’s address | FULL TRANSCRIPT &gt;&gt; htt…,Thu Feb 07 19:12:33 +0000 2019,31,566,5658,False,4,@DinTri speaks on Motion of the thanks on President’s address | FULL TRANSCRIPT &gt;&gt;,India,1,2,0,1
1093588209487863808,"RT @amritabhinder: PM’s Speech in was so good today, that, I’m feeling so chill :) Don’t worry 😎 Be happy :) 😎",Thu Feb 07 19:12:01 +0000 2019,2628,22214,10518,False,146,"PM’s Speech in was so good today, that, I’m feeling so chill :) Don’t worry 😎 Be happy :) 😎",Meerut India,1,1,0,0
1093587056473792512,RT @abhishkJntrMnt: A life of a woman is not a joke. Why give such hard times to the daughters of the nation. Time for some action now! Mus…,Thu Feb 07 19:07:26 +0000 2019,694,729,349,False,155,A life of a woman is not a joke. Why give such hard times to the daughters of the nation. Time for some action now! Must abolish law. Government pm shri,Unknown,0,1,0,0
1093586994184089602,RT @DaaruBaazMehta: BREAKING NEWS announces that former bureaucrat and state convenor @ielvisgomes will contest election fr…,Thu Feb 07 19:07:11 +0000 2019,118546,47222,324,False,168,BREAKING NEWS announces that former bureaucrat and state convenor @ielvisgomes will contest election from South He was 's chief ministerial candidate for the 2017 assembly election.,Jabalpur India,2,2,0,0
1093584800873512960,RT @adarshdgp: Sir today ur speech in was very inspiring. I believe each time u speak from parliament tat itself is ur Report car…,Thu Feb 07 18:58:29 +0000 2019,6882,5798,29,False,7,Sir today ur speech in was very inspiring. I believe each time u speak from parliament tat itself is ur Report card to nation.🙏 U r right sir only a full majority govt can take this nation forward &amp; we have experienced that in last 4 years 😍 @narendramodi,Bengaluru Bharatha,1,1,0,0
1093576852382208000,"RT @JPNadda: Under , we provide support to states for strengthening of health systems to the tune of 60:40 &amp; for Himalayan &amp; North East…",Thu Feb 07 18:26:53 +0000 2019,71,171,8,False,44,"Under , we provide support to states for strengthening of health systems to the tune of 60:40 &amp; for Himalayan &amp; North Eastern States it is 90:10. We are taking care of communicable &amp; other diseases along with strengthening of health systems.",Unknown,1,1,0,0
1093575421520683010,"RT @dhairyaroy: Months and months of lies, fake propoganda with the help of pliant media thrashed today. campaign just started to…",Thu Feb 07 18:21:12 +0000 2019,1838,16501,154,False,13,"Months and months of lies, fake propoganda with the help of pliant media thrashed today. campaign just started today &amp; Modi ji hit a sixer",Alwar,1,1,0,0
1093574336168878080,"@asadowaisi may be you are one of the few politicians who actually keeps Constitution first, n never go against it. Hope the day comes when all the work within the frame of our ☺️",Thu Feb 07 18:16:54 +0000 2019,923,391,123,False,0,,Nagpur,5,1,0,0
1093573002816643073,"RT @AnantkumarH: Though having been elected for 5 terms to , the current term turns out most productive &amp; beyond comparison in ter…",Thu Feb 07 18:11:36 +0000 2019,2444,3395,312,False,61,"Though having been elected for 5 terms to , the current term turns out most productive &amp; beyond comparison in terms of constituency developments. Thanks to govt., led by our PM @narendrmodi-ji, we could witness majority of the pending issues getting resolved.",Bengaluru,1,1,0,0
1093569108614864896,RT @AzadHind1945: Every Age Group Asks - …,Thu Feb 07 17:56:07 +0000 2019,16,77,15,False,4,Every Age Group Asks -,Unknown,4,1,0,0
1093568957875798017,RT @salimswins: We want JUSTICE ⚖ for DR. NOWHIRA SHEKH …,Thu Feb 07 17:55:31 +0000 2019,16,77,15,False,4,We want JUSTICE ⚖ for DR. NOWHIRA SHEKH,Unknown,4,1,0,0
1093568219208572928,RT @NewsMobileIndia: LIVE from,Thu Feb 07 17:52:35 +0000 2019,387,4025,83,False,3,LIVE from,Unknown,2,1,0,1
1093567592655134721,RT @airnewsalerts: Role of is not revenue generation but to serve people of country: Information and Broadcasting minister @R…,Thu Feb 07 17:50:06 +0000 2019,5506,4002,120,False,30,Role of is not revenue generation but to serve people of country: Information and Broadcasting minister @Ra_THORe in .,Malad West Mumbai,1,1,0,0
1093564701609361409,"RT @indsamachar: ""In 55 years, 12 crore gas connection were given. In last 55 months, 13 crore gas connections were given and 6 crore were…",Thu Feb 07 17:38:36 +0000 2019,101,14273,141,False,5,"""In 55 years, 12 crore gas connection were given. In last 55 months, 13 crore gas connections were given and 6 crore were Ujjwala. The speed of the work done and for whom the work was done, you decide for yourself,"" says PM Modi in Lok Sabha.",Unknown,0,1,0,0
1093564112750006272,RT @kavitavkhanna: Meeting with Mandal team in preparation for,Thu Feb 07 17:36:16 +0000 2019,141,16336,105,False,2,Meeting with Mandal team in preparation for,Unknown,3,1,0,0
