id_str,full_text,created_at,favourites_count,statuses_count,followers_count,retweeted,retweet_count,retweeted_text,location,hashtags,user_mentions,symbols,urls
1085964113367494656,RT @IAmErAijaz: will deliver surprise to whole nation in coming elections under leadership of @narendramodi Ji. They…,Thu Jan 17 18:16:35 +0000 2019,4699,1366,161,False,7,will deliver surprise to whole nation in coming elections under leadership of @narendramodi Ji. They can stop our but can’t stop the aspiration of lakhs of for much needed change for .,India,2,2,0,0
1085891279475621891,Why BJP leaders are going to Pakistan to fight 2019 polls It has become a sure-fire way for some people in the BJP to express their deep anger—or their worst insecurities @jomalhotra,Thu Jan 17 13:27:10 +0000 2019,26162,54433,4968,False,0,,Pakistan,1,1,0,1
1085888267990458368,"Delhi President house✅ photoshoot @ Prime Minister of India's Office (PMO), New Delhi",Thu Jan 17 13:15:12 +0000 2019,31,16,4,False,0,,कानपुर भारत,9,0,0,1
1085882100664930304,RT @electionstation: CPI Chief mocks BJP @SitaramYechury …,Thu Jan 17 12:50:42 +0000 2019,337036,262157,923,False,2,CPI Chief mocks BJP @SitaramYechury,Unknown,4,2,0,0
1085875124434358272,RT @electionstation: BJP encourages and supports the youngsters-@narendramodi @BJP4India …,Thu Jan 17 12:22:58 +0000 2019,18,35152,436,False,1,BJP encourages and supports the youngsters-@narendramodi @BJP4India,London,2,3,0,0
1085873728234258433,BJP encourages and supports the youngsters-@narendramodi @BJP4India,Thu Jan 17 12:17:26 +0000 2019,76,3822,5671,False,1,,India,9,2,0,1
1085871984943099904,CPI Chief mocks BJP @SitaramYechury,Thu Jan 17 12:10:30 +0000 2019,76,3822,5671,False,2,,India,9,1,0,1
1085871051047751681,President MK Stalin will be joining Mamata’s anti-BJP meeting @mkstalin,Thu Jan 17 12:06:47 +0000 2019,76,3822,5671,False,0,,India,9,1,0,1
1085863756830191616,"Days of khichdi politics over, India needs another 10 years of Modi: Hardeep Singh Puri @HardeepSPuri @PMOIndia",Thu Jan 17 11:37:48 +0000 2019,76,3822,5671,False,0,,India,9,2,0,1
1085853499248730112,"@arunjaitley When @BJP4India force to accept you as a who lost . When people don't want to see u as MP. And you said about political system. Actually Sir, you are unacceptable between 2014 to 2019 as Finance minister or enter in .",Thu Jan 17 10:57:03 +0000 2019,9,916,52,False,1,,India,4,2,0,0
