id_str,full_text,created_at,favourites_count,statuses_count,followers_count,retweeted,retweet_count,retweeted_text,location,hashtags,user_mentions,symbols,urls
1082590539172597763,RT @Fahmida52717032: Vote for congress,Tue Jan 08 10:51:12 +0000 2019,197,342,55,False,2,Vote for congress,Sagar India,4,1,0,0
1086008229161779202,"RT @NH_India: Inducted as Delhi President ahead of the crucial Lok Sabha elections, says her target is to win all…",Thu Jan 17 21:11:53 +0000 2019,19866,13396,419,False,68,"Inducted as Delhi President ahead of the crucial Lok Sabha elections, says her target is to win all the seven seats in the national capital.",Unknown,2,1,0,0
1085951630703579136,"taking feedback meetings on selection of candidates for coming polls in...Really a joke.. just a ritual, as candidates who are popular do not get tickets but candidates who are ""influential' grab it..is there a need of all this drama @RahulGandhi",Thu Jan 17 17:26:59 +0000 2019,8686,1801,509,False,1,,Jaipur,3,1,0,0
1085932825172307968,"RT @ScribeShah: polls will be like that of 1977, India voting against the dictatorship of , says Dipankar Bhattach…",Thu Jan 17 16:12:15 +0000 2019,878,524,156,False,2,"polls will be like that of 1977, India voting against the dictatorship of , says Dipankar Bhattacharya @Shehla_Rashid",Kolkata India,2,1,0,0
1085871966228226049,My story on bill. This bill introduced by MP @supriya_sule in winter session of 2018. @RahulGandhi @SheilaDikshit @ajaymaken @socialjurist @ashoksharma08,Thu Jan 17 12:10:25 +0000 2019,197,14,9,False,3,,New Delhi India,3,6,0,0
1085859244816117760,@ncbn got frightened after @ysjagan &amp; @KTRTRS knows for sure wht happened in state election even wrst wld happen in if with trying bst atleast dreaming to hold the too late,Thu Jan 17 11:19:52 +0000 2019,95,3007,34,False,0,,Unknown,4,3,0,0
1085852728750833664,"polls will be like that of 1977, India voting against the dictatorship of , says Dipankar Bhattacharya @Shehla_Rashid",Thu Jan 17 10:53:59 +0000 2019,6545,2809,595,False,2,,Kolkata India,2,1,0,1
1085850455131869184,"Inducted as Delhi President ahead of the crucial Lok Sabha elections, says her target is to win all the seven seats in the national capital.",Thu Jan 17 10:44:57 +0000 2019,59962,7907,1366,False,0,,தமிழ்நாடு.tamilnadu ,4,0,0,0
1085849779416879106,"polls will be like that of 1977, voting against the dictatorship of , says @Dipankar_cpiml",Thu Jan 17 10:42:16 +0000 2019,352,1034,243,False,0,,Kolkata India,5,1,0,1
1085812540175773698,"Inducted as Delhi President ahead of the crucial Lok Sabha elections, says her target is to win all the seven seats in the national capital.",Thu Jan 17 08:14:17 +0000 2019,319,19424,56735,False,68,,New Delhi India,4,0,0,1
1085797115069194246,RT @electionstation: Congress not a challenge for AAP: Sanjay Singh @AamAadmiParty …,Thu Jan 17 07:13:00 +0000 2019,0,27484,165,False,1,Congress not a challenge for AAP: Sanjay Singh @AamAadmiParty,Unknown,3,2,0,0
1085797029828149248,Congress not a challenge for AAP: Sanjay Singh @AamAadmiParty,Thu Jan 17 07:12:39 +0000 2019,76,3822,5671,False,1,,India,9,1,0,1
1085790093447639045,"RT @GoNews24x7: Going It Alone | After the SP &amp; BSP forged their alliance, the party has said it will contest on all 80 seats in…",Thu Jan 17 06:45:05 +0000 2019,403,401,0,False,4,"Going It Alone | After the SP &amp; BSP forged their alliance, the party has said it will contest on all 80 seats in Uttar Pradesh in the forthcoming polls For More:",Unknown,1,1,0,0
1085790067916828672,"RT @GoNews24x7: After the SP &amp; BSP forged their alliance, the party has said it will contest on all 80 seats in Uttar Pradesh in…",Thu Jan 17 06:44:59 +0000 2019,403,401,0,False,2,"After the SP &amp; BSP forged their alliance, the party has said it will contest on all 80 seats in Uttar Pradesh in the forthcoming polls For More:",Unknown,1,1,0,0
1085789242456924161,“We can share two-three seats with other parties”-Ghulam Nabi Azad @RahulGandhi,Thu Jan 17 06:41:43 +0000 2019,76,3822,5671,False,0,,India,10,1,0,1
1085769520034111489,RT @electionstation: Congress state unit takes feedback for six Lok Sabha seats in Jaipur @ashokgehlot51 @JaipurCongress @RahulGandhi …,Thu Jan 17 05:23:20 +0000 2019,18,35152,436,False,1,Congress state unit takes feedback for six Lok Sabha seats in Jaipur @ashokgehlot51 @JaipurCongress @RahulGandhi,London,0,4,0,0
1085769278895190016,Congress state unit takes feedback for six Lok Sabha seats in Jaipur @ashokgehlot51 @JaipurCongress @RahulGandhi,Thu Jan 17 05:22:23 +0000 2019,76,3822,5671,False,1,,India,9,3,0,1
1085747880168747008,"AAP irrelevant, we want to win all 7 Lok Sabha seats in Delhi: Sheila Dikshit Indian National Congress",Thu Jan 17 03:57:21 +0000 2019,76,3822,5671,False,0,,India,9,0,0,1
1085620083299442690,Dear @RahulGandhi &amp; @narendramodi can your respective party MPs from both &amp; start listening to the speakers and respect their requests? Kindly Watch how UK parliament runs!,Wed Jan 16 19:29:32 +0000 2019,1286,2211,254,False,0,,United Kingdom,2,2,0,0
1085513237188100097,"Inducted as President ahead of the crucial , says her target is to win all the seven seats in the national capital.",Wed Jan 16 12:24:58 +0000 2019,3817,240010,4303,False,0,,New Delhi Delhi,5,0,0,0
