id_str,full_text,created_at,favourites_count,statuses_count,followers_count,retweeted,retweet_count,retweeted_text,location,hashtags,user_mentions,symbols,urls
1077172064207994880,"RT @vidya7281: Jharkhand By-Election: Congress Wins By Over 9,000 Votes - NDTV",Mon Dec 24 12:00:07 +0000 2018,18107,6592,97,False,11,"Jharkhand By-Election: Congress Wins By Over 9,000 Votes - NDTV",Gadag  Karnataka ,1,1,0,1
1076829974915616768,"Jharkhand By-Election: Congress Wins By Over 9,000 Votes - NDTV",Sun Dec 23 13:20:47 +0000 2018,43724,53586,23115,False,11,,Shimoga India,1,0,0,1
1076805986864656384,"Congratulations @SinghRPN @drajoykumar &amp; team In Kolebira, Jharkhand, @INCIndia candidate is leading in by more than 10000votes after 18 th round ! Two facts:- 1) Congress has never won here in the past 2) We are contesting all alone-without alliance or support!",Sun Dec 23 11:45:28 +0000 2018,6786,20536,9508,False,39,,மதுரை & விருதுநகர்,1,3,0,0
1075301149786333184,RT @sanjaynirupam: 11th December will be remembered as a great date in Congress history. Last year on this date @RahulGandhi took over as C…,Wed Dec 19 08:05:46 +0000 2018,27087,25692,288,False,491,"11th December will be remembered as a great date in Congress history. Last year on this date @RahulGandhi took over as Congress President This year today, a stunning come back of Congress party and its going to be a turning point for the whole country.",Goa,0,2,0,0
1074863185130250241,RT @Fairoz_JK: Our leader @RahulGandhi Your leader @RahulGandhi Common leader @RahulGandhi Diamond leader @RahulGandhi Bhayia Bolia @Ra…,Tue Dec 18 03:05:27 +0000 2018,563,470,28,False,159,Our leader @RahulGandhi Your leader @RahulGandhi Common leader @RahulGandhi Diamond leader @RahulGandhi Bhayia Bolia @RahulGandhi Sara bolia @RahulGandhi Modi bolia @RahulGandhi Koon Jeeta @RahulGandhi Wohe Skinder @RahulGandhi Congratulations all,Assam India,0,5,0,0
1077999066485788679,@RahulGandhi After ...it's time to be . Let's see who wins... or ....,Wed Dec 26 18:46:20 +0000 2018,11,184,153,False,0,,Unknown,5,1,0,0
1077984798054920192,"- Legacy has been started by Congress ""Urea Ghotala""",Wed Dec 26 17:49:38 +0000 2018,10,41,1,False,0,,Unknown,3,0,0,1
1075319342089162752,I know this won't happen but how wonderful it will be if @narendramodi contests 2019 Lok Sabha elections from Amethi. It will then actually be . @RahulGandhi @BJP4India @INCIndia @VoiceOfAxom,Wed Dec 19 09:18:04 +0000 2018,19552,393,115,False,0,,Unknown,1,5,0,0
1074783983496421376,RT @vinodnarayan: 2018 Indian Elections - When people matter... :),Mon Dec 17 21:50:44 +0000 2018,7519,85500,948,False,2,2018 Indian Elections - When people matter... :),Berkeley CA,4,1,0,0
1077625136696700930,RT @NEWS9TWEETS: Who made the best of 2018? @BJP4I…,Tue Dec 25 18:00:28 +0000 2018,355,349,32,False,9,Who made the best of 2018? @BJP4India @INCIndia @INCKarnataka @BJP4Karnataka @RAshokaBJP @ShobhaBJP @siddaramaiah,Lucknow Uttar Pradesh India,9,1,0,0
1077541824925814784,@bhupeshbaghel @RahulGandhi I am totally disappointed for your ministers list of chhattisgarh U totally ignored 2nd largest city of chhattisgarh no minister select our city thats not good for congress .shyd congress ko mai vote nai chahiye bilaspurians ka,Tue Dec 25 12:29:25 +0000 2018,199,300,19,False,0,,chhattisgarh bilaspur India,2,2,0,0
1077536161638182912,In readies Plan B if it has to go it alone in,Tue Dec 25 12:06:55 +0000 2018,3045,13950,5101,False,0,,Muzaffarpur Bihar,4,0,0,1
1077504523990495237,Who made the best of 2018? @BJP4India @INCIndia @INCKarnataka @BJP4Karnataka @RAshokaBJP @ShobhaBJP @siddaramaiah,Tue Dec 25 10:01:12 +0000 2018,50,47417,7363,False,9,,BENGALURU,9,7,0,0
1077478731873021953,: Our aim is to win more seats for in polls: @RLR_BTM,Tue Dec 25 08:18:42 +0000 2018,50,47417,7363,False,1,,BENGALURU,3,1,0,0
1077307849133490176,"Supporters of seven-time legislator , too, have threatened to dent the chances of the Congress in the upcoming elections, if he was not accommodated in the state . Aggrieved legislators alleged that those in cha…",Mon Dec 24 20:59:41 +0000 2018,413,1600,687,False,0,,Mumbai / Pune India,4,0,0,1
1077233559549530112,These Are Trash Ratings Seems A Payed Approvals With All the Behind Approving As Winners Nobody wants weakest as PM,Mon Dec 24 16:04:29 +0000 2018,192,4848,43,False,0,,Unknown,8,0,0,0
1077048802027040768,&amp; will contest 2019 polls together:,Mon Dec 24 03:50:19 +0000 2018,0,26199,1209,False,0,,New Delhi,4,0,0,1
1077045932171046912,Rahul Gandhi will not contest from Karnataka in polls: Siddaramaiah,Mon Dec 24 03:38:55 +0000 2018,868,139132,2501,False,0,,Mangalore India,1,0,0,1
1076811198027390976,RT @NEWS9TWEETS: : Former CM @siddaramaiah says @RahulGandhi will not contest polls from . He stated that the A…,Sun Dec 23 12:06:10 +0000 2018,24055,28949,136,False,6,: Former CM @siddaramaiah says @RahulGandhi will not contest polls from . He stated that the AICC chief will fight Lok Sabha polls from in .,Bengaluru India,3,3,0,0
1076759326369280000,: says the Congress party has already started preparations to fight polls.,Sun Dec 23 08:40:03 +0000 2018,50,47417,7363,False,0,,BENGALURU,3,0,0,0
1076750635301629953,"@SachinPilot @ashokgehlot51 @RahulGandhi haven't talked a single word about and , in Rajasthan. Government is just celebrating their win and ejuculating over loan waive. Students are waiting for soon recruitment before elections. 🙏🏻",Sun Dec 23 08:05:31 +0000 2018,36,109,23,False,0,,india,6,3,0,0
