id_str,full_text,created_at,favourites_count,statuses_count,followers_count,retweeted,retweet_count,retweeted_text,location,hashtags,user_mentions,symbols,urls
1080495686204997632,let's put down hu bring what to table?? No comparison!! @BJP4India @INCIndia,Wed Jan 02 16:07:00 +0000 2019,234,256,15,False,0,,Unknown,1,2,0,0
1080924519580065792,RT @AnilShiroleBJP: The 2019 election will be the first general election where Indians born after 2000 will vote..This is your e…,Thu Jan 03 20:31:02 +0000 2019,77323,103623,693,False,117,"The 2019 election will be the first general election where Indians born after 2000 will vote..This is your election, the one that will decide your future, will decide the future of our country Register yourself to Vote now.",Ajmer India,1,1,0,0
1080908632957435904,RT @cryptokanoon: 🔸Cryptocurrencies subject discussed in Loksabha. 🔸Why BJP MP's asking questions from their own party? 🔸Positive take-away…,Thu Jan 03 19:27:55 +0000 2019,13224,12266,541,False,41,🔸Cryptocurrencies subject discussed in Loksabha. 🔸Why BJP MP's asking questions from their own party? 🔸Positive take-away from the government reply. Watch this video to know more.,UAE & india,0,1,0,0
1080868654676303872,RT @manishBJPUP: Paper are flying in Lok Sabha...🤣🤣🤣 How stupid!!!!!😐,Thu Jan 03 16:49:03 +0000 2019,584,577,1,False,24,Paper are flying in Lok Sabha...🤣🤣🤣 How stupid!!!!!😐,Unknown,5,1,0,0
1080865436512731136,"@narendramodi ji not doing their job due to interruptions, but MPs taking full allowance and pay without any work at taxpayers cost. Why don’t you implement “No Work No Pay” policy. Pay them on hourly basis. @S_MahajanLS @rajyasabhatv @VPSecretariat",Thu Jan 03 16:36:16 +0000 2019,458,1382,156,False,0,,Lucknow Uttar Pradesh,2,4,0,0
1080856991646371840,"@nramind @RKRadhakrishn One or Other Day, all the Women will worship Lord Ayyappa at but unfortunately the Political Arrogance will continue until",Thu Jan 03 16:02:42 +0000 2019,1121,2446,30,False,0,,Coimbatore India,4,2,0,0
1080850826149543938,MP Asaduddin Owaisi Angry over Modi government on 3 divorced bills in Lok Sabha,Thu Jan 03 15:38:12 +0000 2019,1,85,9,False,0,,Ghaziabad India,4,0,0,0
1080831934660456455,"(3/3) ... It is a high time for the @BJP4India to clarify their side by explaining the Indians before 2019 Elections else INDIA would stop progressing. @narendramodi should hold a PC along with his cabinet ministers and answer in specifics, data and facts. @rsprasad",Thu Jan 03 14:23:08 +0000 2019,5724,182,20,False,0,,Pune India,1,3,0,0
1080830968955424770,RT @NH_India: chief minister is confident will be bagging over 71 seats and that any oppositio…,Thu Jan 03 14:19:18 +0000 2019,4738,25790,1136,False,4,"chief minister is confident will be bagging over 71 seats and that any opposition alliance would pose no challenge. ‘ Our strategy is inplace,” he said.",New Delhi India,4,1,0,0
1080830563655737344,RT @Aagan86: It is sad that 270+ strong @BJP4India had to borrow a member from Rajya Sabha to defend in . That too he…,Thu Jan 03 14:17:41 +0000 2019,6877,5492,489,False,16,It is sad that 270+ strong @BJP4India had to borrow a member from Rajya Sabha to defend in . That too he is not the Defence Minister - @SaugataRoyMP begins with a sixer,Ahmadabad City India,2,2,0,0
1080827760233320449,"RT @GoNews24x7: Go : Uproar in , 19 MPs suspended; Rahul says Modi running away from ; China rover lands on moon'…",Thu Jan 03 14:06:33 +0000 2019,693,286,56,False,2,"Go : Uproar in , 19 MPs suspended; Rahul says Modi running away from ; China rover lands on moon's far side; slams 18th Test ton in . For More:",Unknown,3,1,0,0
1080826460791656448,@vijayrupanibjp @narendramodi Open Link 👇🙏,Thu Jan 03 14:01:23 +0000 2019,6693,7817,1453,False,0,,India,6,2,0,1
1080804115956027392,Big debate on CM @tsrawatbjp agenda of development in 2019 to win polls,Thu Jan 03 12:32:36 +0000 2019,13685,5586,1653,False,0,,Dehradun UK ,1,1,0,1
1080800344005738496,"RT @a_truthsayer: in the apart, what is doing, to put in ? Sadly, @BJP4I…",Thu Jan 03 12:17:36 +0000 2019,9427,230964,4879,False,3,"in the apart, what is doing, to put in ? Sadly, @BJP4India is perennially self-exiled to the , even when voted to , by the of ! @rsprasad @KirenRijiju @Swamy39 @narendramodi",Unknown,5,1,0,0
1080796430569074689,"in the apart, what is doing, to put in ? Sadly, @BJP4India is perennially self-exiled to the , even when voted to , by the of ! @rsprasad @KirenRijiju @Swamy39 @narendramodi",Thu Jan 03 12:02:03 +0000 2019,9427,230964,4879,False,3,,Unknown,9,5,0,0
1080793666547998720,"Go : Uproar in , 19 MPs suspended; Rahul says Modi running away from ; China rover lands on moon's far side; slams 18th Test ton in . For More:",Thu Jan 03 11:51:04 +0000 2019,1805,18038,5833,False,2,,National Capital Region,5,0,0,1
1080765315510910976,🔸Cryptocurrencies subject discussed in Loksabha. 🔸Why BJP MP's asking questions from their own party? 🔸Positive take-away from the government reply. Watch this video to know more.,Thu Jan 03 09:58:25 +0000 2019,686,913,8009,False,41,,India,2,0,0,1
1080758293784657920,"chief minister is confident will be bagging over 71 seats and that any opposition alliance would pose no challenge. ‘ Our strategy is inplace,” he said.",Thu Jan 03 09:30:31 +0000 2019,319,19067,56048,False,4,,New Delhi India,4,0,0,1
1080756855314485249,Identification reform! Linking with pan &amp; bank accounts to be further paced up with Modi Govt introducing fresh bill in to back the process legally.,Thu Jan 03 09:24:48 +0000 2019,30139,70417,125241,False,1,,INDIA,3,0,0,1
1080756531451187200,. After seeing yesterday's,Thu Jan 03 09:23:31 +0000 2019,31,113,2,False,0,,Unknown,2,0,0,0
1080748759825317888,Request to Honourable PM Shri @NarendraModi Ji that please give your speech in in this of . Give answers to opposition because they shout down their mouth from barking . Give them strong answers. We always Support and stand with you PM Modi Ji,Thu Jan 03 08:52:38 +0000 2019,47798,28229,818,False,0,,भारत ,3,1,0,0
1080739092445519872,": MLA says, ""There is a 90 per cent possibility of Modi ji contesting 2019 elections from Puri. People of Puri want him to contest from here.",Thu Jan 03 08:14:13 +0000 2019,3787,238360,4287,False,0,,New Delhi Delhi,4,0,0,0
1080737691753340928,"@ANI He lost credibility and behavior is foolish, y can't he authenticate the tape He is irritating us (voters) with his behavior in @BJP4India @INCIndia please teach him some behavior",Thu Jan 03 08:08:39 +0000 2019,31,113,2,False,0,,Unknown,1,3,0,0
1080725311703048192,RT @ParagDr: Identification reform! Linking with pan &amp; bank accounts to be further paced up with Modi Govt introducing fresh bill…,Thu Jan 03 07:19:27 +0000 2019,24832,31065,1698,False,1,Identification reform! Linking with pan &amp; bank accounts to be further paced up with Modi Govt introducing fresh bill in to back the process legally.,राजकोट   हिंदुस्तान ।,1,1,0,0
1080724338498691072,"RT @NewsMobileIndia: M Thambidurai, AIADMK on AIADMK members suspended from : Now elections are coming, so BJP wants to get some s…",Thu Jan 03 07:15:35 +0000 2019,230,16510,198,False,3,"M Thambidurai, AIADMK on AIADMK members suspended from : Now elections are coming, so BJP wants to get some seats there, that is why they gave approval to Karnataka for Mekedatu dam project. Protesting is our democratic right, there has been no response from Govt",Delhi,1,1,0,0
1080724236086333440,"RT @NewsMobileIndia: Ahead of polls, actor Moushumi Chatterjee joins @BJP4India",Thu Jan 03 07:15:11 +0000 2019,230,16510,198,False,3,"Ahead of polls, actor Moushumi Chatterjee joins @BJP4India",Delhi,1,2,0,1
1080723481027739648,Identification reform! Linking with pan &amp; bank accounts to be further paced up with Modi Govt introducing fresh bill in to back the process legally.,Thu Jan 03 07:12:11 +0000 2019,37633,171913,20891,False,1,,Ahmedabad,3,0,0,1
1080701944673505281,RT @anileshmahajan: Irony is @BJP4India is not yet sure of candidate from in forthcoming ; Vinod Khanna’s wife @kavitav…,Thu Jan 03 05:46:36 +0000 2019,276,475,39,False,3,"Irony is @BJP4India is not yet sure of candidate from in forthcoming ; Vinod Khanna’s wife @kavitavkhanna or his son , star @akshaykumar or businessman @SalariaSwaran, but holds PM @narendramodi massive rally to kick start campaign.",Unknown,2,2,0,0
1080692818358816769,RT @VishvasSarang: Historic moments as passed successfully in . Congratulations to Hon'ble PM @narendramodi Ji &amp;…,Thu Jan 03 05:10:20 +0000 2019,2345,1929,27,False,18,Historic moments as passed successfully in . Congratulations to Hon'ble PM @narendramodi Ji &amp; Law Minister Shri @rsprasad Ji for ensuring constitutional rights of Muslim women &amp; their empowerment. The nation watched as @INCIndia is exposed once again!,मध्य प्रदेश भारत,2,2,0,0
1080682517773078530,"@PravinTogadia to launch political party ahead of polls, says people need alternative to 'failed' @narendramodi govt",Thu Jan 03 04:29:25 +0000 2019,4,3248,301,False,0,,Jammu Jammu And Kashmir,1,1,0,1
1080681273885044738,RT @manishBJPUP: Historic day as the decisively pass the . Congratulating the Government led by Hon'ble Prime Min…,Thu Jan 03 04:24:28 +0000 2019,2272,754,25,False,30,"Historic day as the decisively pass the . Congratulating the Government led by Hon'ble Prime Minister Shri @narendramodi ji. This bill will go a long way in ensuring gender equality, gender parity and dignity.",Basti India,2,1,0,0
1080674096059502592,"Irony is @BJP4India is not yet sure of candidate from in forthcoming ; Vinod Khanna’s wife @kavitavkhanna or his son , star @akshaykumar or businessman @SalariaSwaran, but holds PM @narendramodi massive rally to kick start campaign.",Thu Jan 03 03:55:57 +0000 2019,5905,14824,1505,False,3,,New Delhi India,4,5,0,0
1080663953141874688,RT @Shabdsharanbjp: What else can be expected from the Party of Pappus’..??,Thu Jan 03 03:15:38 +0000 2019,15339,15911,708,False,7,What else can be expected from the Party of Pappus’..??,Gujarat,2,1,0,0
1080658871050416129,"RT @indiatvnews: elections 2019 | Taking cue from BJP, AAP to appoint lakhs of booth-level in-charges for general polls",Thu Jan 03 02:55:27 +0000 2019,1319,2444,79,False,2,"elections 2019 | Taking cue from BJP, AAP to appoint lakhs of booth-level in-charges for general polls",Rajasthan,1,1,0,0
