id_str,full_text,created_at,favourites_count,statuses_count,followers_count,retweeted,retweet_count,retweeted_text,location,hashtags,user_mentions,symbols,urls
1078234043085451264,"RT @All_India_News_: Yoga guru has said it was ""very difficult"" to predict the country's next Prime Minister in view of the cur…",Thu Dec 27 10:20:03 +0000 2018,1438,12414,2733,False,2,"Yoga guru has said it was ""very difficult"" to predict the country's next Prime Minister in view of the current political situation.",India,1,0,0,0
1080973893135790080,12 suspended from for 4 days - TV9,Thu Jan 03 23:47:14 +0000 2019,167,76970,180077,False,0,,Hyderabad Telangana India,2,0,0,1
1080971911968940032,"RT @BengalNewzIndia: State-run Airports Authority of India (@AAI_Official)'s 94 made losses in the financial year 2017-18, the …",Thu Jan 03 23:39:21 +0000 2019,13187,47398,4655,False,1,"State-run Airports Authority of India (@AAI_Official)'s 94 made losses in the financial year 2017-18, the was informed on Thursday. | RT@BengalNewzBiz @BengalNewz",Kolkata🇮🇳 and Dhaka🇧🇩,1,2,0,0
1080970930300477440,"State-run Airports Authority of India (@AAI_Official)'s 94 made losses in the financial year 2017-18, the was informed on Thursday. | RT@BengalNewzBiz @BengalNewz",Thu Jan 03 23:35:27 +0000 2019,9400,17306,2090,False,1,,Kolkata and New Delhi,3,3,0,0
1080961330092408834,"RT @smitaprakash: Speaker tells RG not to name Anil Ambani coz he is not in the House nor a member. RG says ""main Anil Ambani ka naam nai l…",Thu Jan 03 22:57:19 +0000 2019,41745,21143,121,False,809,"Speaker tells RG not to name Anil Ambani coz he is not in the House nor a member. RG says ""main Anil Ambani ka naam nai ley sakta""? He repeats q 5 times. She says No cant take his name 5 times. Then he says AA keh sakta hoon? debate in",Unknown,0,1,0,0
1080960931255865344,RT @derekobrienmp: Spoke in today on Defence Minister is sitting in while the Finance Minister speak…,Thu Jan 03 22:55:43 +0000 2019,1808,3938,69,False,112,Spoke in today on Defence Minister is sitting in while the Finance Minister speaks on Defence! Home Minister is sitting in while the Finance Minister speaks on Home!,New Zealand,3,1,0,0
1080947215906963456,"RT @BengalNewz: The (Amendment) Bill, 2018 which seeks constitution of a Board of Governors that will exercise the p…",Thu Jan 03 22:01:13 +0000 2019,194,1024,622,False,4,"The (Amendment) Bill, 2018 which seeks constitution of a Board of Governors that will exercise the powers of the Council of India (MCI) was passed in the on Monday. | RT@BengalNewzIndia",Port Blair India,1,1,0,0
1080932919898767361,Sudip Bandyopadhyay lays reports and statements of the Standing Committee on Railways |: via,Thu Jan 03 21:04:25 +0000 2019,4031,1136,124,False,0,,Ghatal India,1,0,0,1
1080932665556119557,RT @smitaprakash: Saugata Roy TMC decides to haul Arun Jaitley for wrongly quoting Ian Fleming and wrong pronunciation of the French Presid…,Thu Jan 03 21:03:24 +0000 2019,2424,97453,2113,False,109,Saugata Roy TMC decides to haul Arun Jaitley for wrongly quoting Ian Fleming and wrong pronunciation of the French President's name 'Hollande'. And before he can get to talking about there is pandemonium again.,London,0,1,0,0
1080920955830992896,"RT @kharwalsaurabh7: @ANI After 's revelation in , under pressure @INCIndia trying to confuse the nati…",Thu Jan 03 20:16:53 +0000 2019,346,139,8,False,2,"@ANI After 's revelation in , under pressure @INCIndia trying to confuse the nation with this lie , if @RahulGandhi is so sure of tape y did he not authenticate it in floor of !!",New Delhi India,2,3,0,0
1080914080649617408,RT @chitraSD: So @arunjaitley mentions Q in . Quotes from crucial diary I accessed from investigator Sten Lindstrom. …,Thu Jan 03 19:49:33 +0000 2019,22271,30328,1508,False,690,So @arunjaitley mentions Q in . Quotes from crucial diary I accessed from investigator Sten Lindstrom. was a family friend of . He had access to sensitive files. Swung the deal for them for $$.,Unknown,2,2,0,0
1080912700757004288,"RT @atulmodani: My 7 yr old son after watching yesterday's Debate on in Pappa, why don't they listen to their teacher (…",Thu Jan 03 19:44:04 +0000 2019,1126,2545,203,False,9,"My 7 yr old son after watching yesterday's Debate on in Pappa, why don't they listen to their teacher (speaker) ? 😷",Ahmadabad; Kodinar,2,1,0,0
1080911566181064704,"RT @firstpost: , the elder son of , on Thursday announced out of turn that his eldest sister wil…",Thu Jan 03 19:39:34 +0000 2019,885,136298,683,False,1,", the elder son of , on Thursday announced out of turn that his eldest sister will contest the election from seat.",Gwalior India,3,1,0,0
1080899458001444871,RT @Ahmedshabbir20: MPs suspended from &amp; the party leadership is tight lipped. No statement form or . Imagine of…,Thu Jan 03 18:51:27 +0000 2019,1540,905,97,False,62,MPs suspended from &amp; the party leadership is tight lipped. No statement form or . Imagine of this happened when was alive.,Chennai India,4,1,0,0
1080893865609945088,", the elder son of , on Thursday announced out of turn that his eldest sister will contest the election from seat.",Thu Jan 03 18:29:14 +0000 2019,333,513340,1986959,False,1,,Mumbai India,5,0,0,1
1080893367960113152,Looks like he was watching @PeaceTV. Someone should inform this Party Hopper also Ex RS MP that debate is telecasted live on @loksabhatv,Thu Jan 03 18:27:15 +0000 2019,0,1276,169,False,0,,Unknown,1,2,0,1
1080890977739452416,"RT @JayGalla: All @JaiTDP MPs demanding action from GOI in today are suspended for 4 days. Condemning this, we continue our fight…",Thu Jan 03 18:17:45 +0000 2019,25963,22730,99,False,57,"All @JaiTDP MPs demanding action from GOI in today are suspended for 4 days. Condemning this, we continue our fight against this Govt &amp; for implementation of APR Act. GOI’s actions to suppress our voices strengthens our resolve further.",Rayadurgam,1,2,0,0
1080889946393665536,RT @Amaresh45814810: Indian Medical Association amendment Bill passed by yesterday.,Thu Jan 03 18:13:39 +0000 2019,52,90,9,False,1,Indian Medical Association amendment Bill passed by yesterday.,Unknown,2,1,0,0
1080888777931980801,RT @lalitvats828: nd again to b taken up in nd rspctvly. Both Houses may again experience disord…,Thu Jan 03 18:09:01 +0000 2019,164,20090,430,False,3,nd again to b taken up in nd rspctvly. Both Houses may again experience disorders nd uproars. @sandhyatimes4u,New Delhi India,4,1,0,0
1080884771906039809,RT @Divya_S_Rathore: Pidis before and after Arun Jaitley's speech in,Thu Jan 03 17:53:06 +0000 2019,27679,28482,230,False,116,Pidis before and after Arun Jaitley's speech in,Bristol (UK),2,1,0,0
1080884726976532481,RT @NEWS9TWEETS: : govt to review project two years after scrapping it. Is this a money making mechanism ah…,Thu Jan 03 17:52:55 +0000 2019,2338,1086,9,False,9,: govt to review project two years after scrapping it. Is this a money making mechanism ahead of polls? What are the ideal alternatives to ease traffic? @siddaramaiah @CMofKarnataka @DrParameshwara @nabs5 @thekjgeorge,Unknown,3,1,0,0
1080882033100873733,"RT @cpc4bankers: From the time of independence we want ‘self reliance’ . Well, this government is working for ‘self’ and ‘Reliance’. Md. S…",Thu Jan 03 17:42:13 +0000 2019,40,185,15,False,4,"From the time of independence we want ‘self reliance’ . Well, this government is working for ‘self’ and ‘Reliance’. Md. Salim माकपा",Unknown,0,1,0,0
