id_str,full_text,created_at,favourites_count,statuses_count,followers_count,retweeted,retweet_count,retweeted_text,location,hashtags,user_mentions,symbols,urls
1080660062387855360,RT @Marathi_Rash: Now SS is challenging AS.. Late night TF,Thu Jan 03 03:00:11 +0000 2019,9410,884,78,False,1,Now SS is challenging AS.. Late night TF,Unknown,1,1,0,1
1080534319330820096,Now SS is challenging AS.. Late night TF,Wed Jan 02 18:40:31 +0000 2019,7635,40186,23991,False,1,,Mumbai,1,0,0,1
1080660062387855360,RT @Marathi_Rash: Now SS is challenging AS.. Late night TF,Thu Jan 03 03:00:11 +0000 2019,9410,884,78,False,1,Now SS is challenging AS.. Late night TF,Unknown,1,1,0,1
1080534319330820096,Now SS is challenging AS.. Late night TF,Wed Jan 02 18:40:31 +0000 2019,7635,40186,23991,False,1,,Mumbai,1,0,0,1
1083139544793468929,"RT @daily_pol1: Between these two parties, which party do you think is the most corrupt? …",Wed Jan 09 23:12:45 +0000 2019,30023,1797,2440,False,2,"Between these two parties, which party do you think is the most corrupt?",India,4,1,0,0
1083050135683252224,TMC says party MP who joined BJP already 'expelled' @AITCofficial @BJP4India @BJPBengal,Wed Jan 09 17:17:29 +0000 2019,2012,155578,2510,False,0,,Hyderabad,4,3,0,1
1083041604762566659,"RT @BengalNewz: Congress MP from , joined @BJP4India on Wednesday. ""There are many from …",Wed Jan 09 16:43:35 +0000 2019,9482,17352,2104,False,1,"Congress MP from , joined @BJP4India on Wednesday. ""There are many from who want to join "", he said. Earlier in November 2017, , who was once number two in had joined @BJP4Bengal. | RT@WestBengal_BN",Kolkata and New Delhi,4,2,0,0
1083022003056062464,Row: Leaders Tender Resignation As State Ministers to CM,Wed Jan 09 15:25:41 +0000 2019,45,37966,22054,False,0,,Mumbai India,10,0,0,1
1082976345309749249,"Chief Meets And , &amp; Chiefs in to Discuss Financial Crisis",Wed Jan 09 12:24:16 +0000 2019,45,37966,22054,False,0,,Mumbai India,10,0,0,1
1082970016771760129,"Congress MP from , joined @BJP4India on Wednesday. ""There are many from who want to join "", he said. Earlier in November 2017, , who was once number two in had joined @BJP4Bengal. | RT@WestBengal_BN",Wed Jan 09 11:59:07 +0000 2019,13283,47482,4675,False,1,,Kolkata🇮🇳 and Dhaka🇧🇩,8,3,0,0
1082964577904582657,Congress Kisan Ke Saath Dhoka Kar Rahi Hai. Kisan should realise why even after 60 years of Congress Raj there is poor state of Farming in India. @BJP4India,Wed Jan 09 11:37:30 +0000 2019,3326,3975,119,False,0,,Unknown,4,1,0,0
1082959588373057536,"In a setback to ahead of the polls, (TMC) on Wednesday joined the (BJP).",Wed Jan 09 11:17:40 +0000 2019,155,38198,1964,False,0,,Bhubaneshwar India,7,0,0,1
1082955145359515649,"joins | India News, The Indian Express @MamataOfficial @AITCofficial @derekobrienmp",Wed Jan 09 11:00:01 +0000 2019,76597,39844,4065,False,0,,Hyderabad India,5,3,0,0
1082915141849497600,E-Paper For a detailed Version. Please log on to िला ुनावआयोग ाजस्थान ्पर्क ुर,Wed Jan 09 08:21:04 +0000 2019,3,418,18,False,0,,India,21,0,0,1
1082895022343798785,The way @INCIndia debated on yesterday in is shameful. It's time for today to face the challenge in &amp; stop it else along with @BJP4India which is playing...,Wed Jan 09 07:01:07 +0000 2019,4763,12136,1042,False,0,,Mumbai India,4,2,0,1
1082893878846414848,The way @INCIndia debated on yesterday in is shameful. It's time for today to face the challenge in &amp; stop it else along with @BJP4India which is playing vote bank card on communal line Congress will also face heat.,Wed Jan 09 06:56:34 +0000 2019,4763,12136,1042,False,0,,Mumbai India,4,2,0,0
1082891382967001088,@ANI Yesterday @INCIndia Congress Surrendered in coz numbers were not in their favour. But here in they will delay it so that it gets stuck. Showing True Colors. I wonder how they will portray in front of people. BJP Played Win Win Game infront of Upper caste,Wed Jan 09 06:46:39 +0000 2019,218,7570,111,False,1,,India,2,2,0,0
1082749640200601600,"Between these two parties, which party do you think is the most corrupt?",Tue Jan 08 21:23:25 +0000 2019,30027,1797,2440,False,2,,India,16,0,0,0
1082722004258697216,RT @manishBJPUP: Modi govt has been passed in When we mean “Women Empowerment” we prove it. &amp; for Congress who…,Tue Jan 08 19:33:36 +0000 2019,1019,966,32,False,30,Modi govt has been passed in When we mean “Women Empowerment” we prove it. &amp; for Congress who opposed the bill please note that 20 Islamic country has banned &amp; India being “Secular” country should protect the interest of every individual.,लखनऊ भारत,2,1,0,0
1082705370181718016,"Upper Cast 10% Quota Bill Passed in ; PM , And React",Tue Jan 08 18:27:30 +0000 2019,45,37967,22054,False,0,,Mumbai India,9,0,0,1
1082702375133925377,"124th amendment in the constitution, it's no more Ambedkar's constitution. The constitution has become a mere tool for BJP and Congress to play politics. are being cheated and they need to speak up.",Tue Jan 08 18:15:36 +0000 2019,22,36,17,False,38,,New Delhi India,3,0,0,0
1082682644910034946,": for upper gets approval of ; Narendra , President Gandhi, leader Lal Krishna were present in the during the .",Tue Jan 08 16:57:12 +0000 2019,72,175,0,False,1,,Unknown,12,0,0,1
1082682308878987269,"When you have 62.5% reservation, don't call it a reservation please ाओ_देश_बचाओ",Tue Jan 08 16:55:52 +0000 2019,95,113,19,False,3,,Bengaluru India,15,0,0,0
1082675086392520705,Quota bill in haste after poll losses: Congress @KV_Thomas @INCIndia @BJP4India,Tue Jan 08 16:27:10 +0000 2019,2012,155578,2510,False,0,,Hyderabad,4,3,0,1
1082623799898591233,"Lok Sabha today passed the contentious Citizenship (Amendment) Bill 2019, that seeks to to provide Indian citizenship to non-Muslims from Bangladesh, Pakistan and Afghanistan. Read more at:",Tue Jan 08 13:03:22 +0000 2019,1777,2262,5892,False,1,,Dimapur,6,0,0,1
1082564408549621761,E-Paper For a detailed Version. Please log on to िला ुनावआयोग ाजस्थान ्पर्क ुर,Tue Jan 08 09:07:22 +0000 2019,3,418,18,False,0,,India,21,0,0,1
1082516339531476992,"When you choose NOTA in election you directly help Congress, Mayawati, Akhilesh, Lalu, AAP because Muslims rarely choose NOTA and thus BJP loose directly. It is to be observed and to inform all Hindus",Tue Jan 08 05:56:22 +0000 2019,776,1205,218,False,0,,Indirapuram Ghaziabad,5,0,0,0
1082497548344950784,@RahulGandhi Hello today Not Oky 🍭🤣😜🙏🍭🙏,Tue Jan 08 04:41:42 +0000 2019,6762,8121,1461,False,0,,India,9,1,0,0
1082482673862377472,Hello Today Passed?? All present in @INCGujarat @BJP4Gujarat @BJP4India @INCIndia @nitin_gadkari @RahulGandhi @AmitShah 👇💪🙏👇,Tue Jan 08 03:42:35 +0000 2019,6762,8121,1461,False,0,,India,12,7,0,0
1082432877134925824,▪ The Accidental Prime Minister ▪ Narendra Modi's Biopic ▪ Interview given to ANI ▪ Reservation for EB Upper Caste ❇❇ It is all about the timing.,Tue Jan 08 00:24:43 +0000 2019,927,1430,95,False,0,,City Of Joy Kolkata,10,0,0,0
1082275105076473857,Mamata Banerjee As PM Is Not An Isolated Comment By BJP: Somen Mitra,Mon Jan 07 13:57:47 +0000 2019,129,268229,5247,False,0,,Kolkata West Bengal,4,0,0,1
1082234413503590401,Nirmala Sitharaman responds on HAL contracts,Mon Jan 07 11:16:05 +0000 2019,3454,1504,40,False,0,,Unknown,14,0,0,1
1082222883143856129,": Parliament looks set for yet another stormy session on Monday, with the (BJP) and having issued three-line whips for party parliamentarians to be present in the today.",Mon Jan 07 10:30:16 +0000 2019,203,13762,1194,False,0,,United States,4,0,0,1
1082181309647196161,": Parliament looks set for yet another stormy session on Monday, with the (BJP) and having issued three-line whips for party parliamentarians to be present in the today.",Mon Jan 07 07:45:04 +0000 2019,697,13808,1814,False,0,,Unknown,4,0,0,1
