id_str,full_text,created_at,favourites_count,statuses_count,followers_count,retweeted,retweet_count,retweeted_text,location,hashtags,user_mentions,symbols,urls
1099726397768114176,it’s sealed congressdmk alliance polls sealed chennai today seats congress wh…,Sun Feb 24 17:42:59 +0000 2019,49,3205,70,False,238,it’s sealed congressdmk alliance polls sealed chennai today seats congress wherein congress contest seats tamil nadu puducherry,Far far away :D,1,1,0,0
1099702676596506624,going tough face need maximum support lingayats win more…,Sun Feb 24 16:08:44 +0000 2019,35258,45420,401,False,4,going tough face need maximum support lingayats win seats looking status party status wont matter remove kpcc president ji give chance,Bidar #Maharajwadi ,2,1,0,0
1099688679071612929,congress’ youth wing launches different campaigns woo young rural voters polls https…,Sun Feb 24 15:13:06 +0000 2019,27456,27124,472,False,200,congress’ youth wing launches different campaigns woo young rural voters polls,New Delhi ,1,2,0,0
1099648245318541313,small reward gave ticket plane hijacker,Sun Feb 24 12:32:26 +0000 2019,1069,3526,170,False,0,congress’ youth wing launches different campaigns woo young rural voters polls,New Delhi Gurgaon Lucknow,2,2,0,0
1099583506252845056,going tough face need maximum support lingayats win seats looking status party status wont matter remove kpcc president ji give chance,Sun Feb 24 08:15:11 +0000 2019,193,159,21,False,4,congress’ youth wing launches different campaigns woo young rural voters polls,Gulbarga India,2,3,0,0
1099573711546372097,dy cm reacts seat sharing arrangement polls senior congress leaders meet jd(s leaders decide seat sharing adds required command consulted finalise seat sharing,Sun Feb 24 07:36:16 +0000 2019,50,52667,7976,False,0,congress’ youth wing launches different campaigns woo young rural voters polls,BENGALURU,3,0,0,0
1099553701897789441,aiadmk leaves puducherry congress,Sun Feb 24 06:16:45 +0000 2019,62,56557,1157,False,0,congress’ youth wing launches different campaigns woo young rural voters polls,Unknown,6,0,0,1
1099541376260325376,ji ji want lingayat votes dont ur hands adding wp kpcc,Sun Feb 24 05:27:47 +0000 2019,4397,3222,1495,False,2,ji ji want lingayat votes dont ur hands adding wp kpcc active hard working wp instead replace kpcc president wp,Bhalki India,1,3,0,0
1099521780773867520,ji ji want lingayat votes dont ur hands adding wp kpcc active hard working wp instead replace kpcc president wp,Sun Feb 24 04:09:55 +0000 2019,4854,2155,222,False,2,ji ji want lingayat votes dont ur hands adding wp kpcc active hard working wp instead replace kpcc president wp,Bhalki India,1,7,0,0
1099468637151219713,predicting massive victory upaled alliance upcoming elections puducherry chief minister narayanasamy president would prime minister,Sun Feb 24 00:38:44 +0000 2019,136,70444,3689,False,0,ji ji want lingayat votes dont ur hands adding wp kpcc active hard working wp instead replace kpcc president wp,Chennai India,4,0,0,1
1099372284261785600,rumours rife persons former royal families race tickets,Sat Feb 23 18:15:52 +0000 2019,336,72,19,False,1,rumours rife persons former royal families race tickets polls guesses,Unknown,1,1,0,0
1099360240296878080,china started election campaigns ps power years…,Sat Feb 23 17:28:01 +0000 2019,99737,95656,4394,False,2,china started election campaigns ps power years,Unknown,3,1,0,0
1099281787774218240,government doesnt want accept employment crisis,Sat Feb 23 12:16:16 +0000 2019,78,4397,5767,False,0,china started election campaigns ps power years,India,10,1,0,1
1099195308150480896,congress offer comprehensive farm loan waiver may cost rs lakh crore,Sat Feb 23 06:32:38 +0000 2019,78,4397,5767,False,0,china started election campaigns ps power years,India,9,2,0,1
1099194672021491714,people going crazy sarees shirts,Sat Feb 23 06:30:06 +0000 2019,1454,4696,4438,False,1,china started election campaigns ps power years,Unknown,3,0,0,1
1099194272027418629,china started election campaigns ps power years,Sat Feb 23 06:28:31 +0000 2019,0,3492,167,False,2,china started election campaigns ps power years,Unknown,3,0,0,1
1099180951513444354,rahul asked congress cms revoke amendments land acquisition act jairam ramesh,Sat Feb 23 05:35:35 +0000 2019,78,4397,5767,False,0,china started election campaigns ps power years,India,10,0,0,1
1099167421603164161,general hoodas appointment congress acceptance surgical strikes,Sat Feb 23 04:41:49 +0000 2019,78,4397,5767,False,0,china started election campaigns ps power years,India,10,2,0,1
1099158283556872192,aiadmk leaves puducherry congress,Sat Feb 23 04:05:30 +0000 2019,62,56557,1157,False,0,china started election campaigns ps power years,Unknown,10,0,0,1
1098935763109060608,addressing secretary khan achievments years minister gen sec,Fri Feb 22 13:21:17 +0000 2019,160,122,11,False,0,china started election campaigns ps power years,Unknown,6,6,0,0
1098920005851336704,stop around admit agencies govt day failed secure people vote watchmen,Fri Feb 22 12:18:40 +0000 2019,10,78,34,False,0,china started election campaigns ps power years,Unknown,14,0,0,0
1098919289224978432,,Fri Feb 22 12:15:50 +0000 2019,16,795,6,False,16,mppsc selected asst prof forthcoming elections,Unknown,4,5,0,0
1098918904930299904,congress opposes additional powers assam rifles ne,Fri Feb 22 12:14:18 +0000 2019,78,4397,5767,False,0,mppsc selected asst prof forthcoming elections,India,10,0,0,1
1098893758131662848,congress ram temple takes power,Fri Feb 22 10:34:23 +0000 2019,78,4397,5767,False,0,mppsc selected asst prof forthcoming elections,India,10,2,0,1
1098870628545835009,congressdmk alliance polls sealed chennai today seats congress wherein congress,Fri Feb 22 09:02:28 +0000 2019,1854,540,129,False,6,congressdmk alliance polls sealed chennai today seats congress wherein congress contest seats tamil nadu puducherry,Unknown,1,1,0,0
1098862322704048128,congress president mr address rally march meeting mark launc…,Fri Feb 22 08:29:28 +0000 2019,34967,32190,888,False,73,congress president mr address rally march meeting mark launch congress’ election campaign maharashtra sources add congressncp alliance sealed rally,Faridabad India,1,2,0,0
1098823117122691076,rising star face congress indore wishes,Fri Feb 22 05:53:40 +0000 2019,78,12,12,False,0,congress president mr address rally march meeting mark launch congress’ election campaign maharashtra sources add congressncp alliance sealed rally,Indore India,3,1,0,0
1098814415304937472,general secretaries east west hold meeting states congress chief strategise upcoming polls,Fri Feb 22 05:19:06 +0000 2019,50,52667,7976,False,0,congress president mr address rally march meeting mark launch congress’ election campaign maharashtra sources add congressncp alliance sealed rally,BENGALURU,7,0,0,0
1098813195391647744,congress trying weaken aap delhi,Fri Feb 22 05:14:15 +0000 2019,78,4397,5767,False,0,congress president mr address rally march meeting mark launch congress’ election campaign maharashtra sources add congressncp alliance sealed rally,India,10,3,0,1
1098754928518918144,state leaders held overnight meeting discuss poll strategies issue seat sharing jd(s,Fri Feb 22 01:22:43 +0000 2019,50,52667,7976,False,0,congress president mr address rally march meeting mark launch congress’ election campaign maharashtra sources add congressncp alliance sealed rally,BENGALURU,3,0,0,0
1098673713963327488,told media persons thursday proposal invite contest elections,Thu Feb 21 20:00:00 +0000 2019,619,152689,27625,False,0,congress president mr address rally march meeting mark launch congress’ election campaign maharashtra sources add congressncp alliance sealed rally,India,3,2,0,1
1098602022645960711,delhi congress authorises rahul decide ls candidates delhi,Thu Feb 21 15:15:07 +0000 2019,26,2007,93,False,1,delhi congress authorises rahul decide ls candidates delhi,New D,4,2,0,0
1098598909751017472,delhi congress authorises rahul decide ls candidates delhi,Thu Feb 21 15:02:45 +0000 2019,62,56557,1157,False,1,delhi congress authorises rahul decide ls candidates delhi,Unknown,4,1,0,1
1098584974830243846,contest nine seats tamil nadu sole seat puducherry elections alliance wi…,Thu Feb 21 14:07:23 +0000 2019,1426,9255,170,False,35,contest nine seats tamil nadu sole seat puducherry elections alliance dmk president mk stalin announced,rawatbhata rajasthan site,2,1,0,0
1098583780984537088,congress launches exclusive campaigns woo young rural voters lok polls,Thu Feb 21 14:02:38 +0000 2019,237,5224,315,False,0,contest nine seats tamil nadu sole seat puducherry elections alliance dmk president mk stalin announced,Jaipur,1,0,0,1
1098560646495367169,elections alliance shuts door releases final seatsharing list,Thu Feb 21 12:30:43 +0000 2019,136181,229130,582,False,2,elections alliance shuts door releases final seatsharing list,Unknown,2,1,0,0
1098559972982575105,day declares candidates elections converge war room strategise candidate selections campaign planning,Thu Feb 21 12:28:02 +0000 2019,1087,1495,2586,False,1,elections alliance shuts door releases final seatsharing list,New Delhi,2,4,0,0
1098559088663785474,seats left,Thu Feb 21 12:24:31 +0000 2019,2000,22149,46,False,3,seats left,Unknown,5,1,0,0
1098558617056407553,congress contest seats state,Thu Feb 21 12:22:39 +0000 2019,483,108910,1240,False,2,congress contest seats state,New Delhi: India,3,2,0,1
1098556571024379904,sudden turn events thursday wooed led electoral alliance polls,Thu Feb 21 12:14:31 +0000 2019,136,70444,3689,False,0,congress contest seats state,Chennai India,4,0,0,1
1098555941350400001,congress contest seats state,Thu Feb 21 12:12:01 +0000 2019,134,225952,1729030,False,2,congress contest seats state,India,3,1,0,1
1098546368975581190,elections alliance shuts door releases final seatsharing list,Thu Feb 21 11:33:59 +0000 2019,118,290465,504277,False,2,congress contest seats state,New Delhi India,2,0,0,1
1098546000799576065,opposition discuss common agenda,Thu Feb 21 11:32:31 +0000 2019,78,4397,5767,False,0,congress contest seats state,India,8,6,0,1
1098536760185827328,seats left,Thu Feb 21 10:55:48 +0000 2019,1313,87248,17013,False,3,congress contest seats state,A-009 SEC-68  NOIDA,5,0,0,0
1098535658124201984,congress sends alliance offer agp mla khalek claims parties win seats contest upcoming polls together watch video via,Thu Feb 21 10:51:25 +0000 2019,0,14117,20323,False,0,congress contest seats state,Guwahati India,1,1,0,1
1098529472926703616,congress woos vijayakants dmdk,Thu Feb 21 10:26:50 +0000 2019,78,4397,5767,False,0,congress contest seats state,India,10,0,0,1
1098516238374965249,tn must demand release convicts rajiv gandhi case,Thu Feb 21 09:34:15 +0000 2019,78,4397,5767,False,0,congress contest seats state,India,10,2,0,1
1098510638903627777,congress leader suryaprakash reddy join,Thu Feb 21 09:12:00 +0000 2019,317,17688,1215,False,1,congress leader suryaprakash reddy join,Ghaziabad India,3,3,0,0
1098509712826556416,congress leader suryaprakash reddy join,Thu Feb 21 09:08:19 +0000 2019,78,4397,5767,False,1,congress leader suryaprakash reddy join,India,10,2,0,1
1098491216100962304,maharashtra opposition vows uproot,Thu Feb 21 07:54:49 +0000 2019,78,4397,5767,False,0,congress leader suryaprakash reddy join,India,9,5,0,1
1098462632489582592,congress approach lok polls polls states,Thu Feb 21 06:01:14 +0000 2019,78,4397,5767,False,0,congress leader suryaprakash reddy join,India,10,3,0,1
1098459067939475456,dmkcongress seal pact lok polls congress contest nine seats tamil nadu,Thu Feb 21 05:47:04 +0000 2019,141,178,102,False,0,congress leader suryaprakash reddy join,Unknown,6,0,0,0
1098452671978237952,gained popularity nationally challenge polls check verdict,Thu Feb 21 05:21:39 +0000 2019,248,38585,232169,False,0,congress leader suryaprakash reddy join,Mumbai India,2,2,0,1
1098451233025785856,grand alliance finalise seat sharing,Thu Feb 21 05:15:56 +0000 2019,78,4397,5767,False,0,congress leader suryaprakash reddy join,India,9,4,0,1
1098368055858483200,kejriwal claimed leaders tired trying convince form alliance party ass…,Wed Feb 20 23:45:25 +0000 2019,17972,15733,248,False,4,kejriwal claimed leaders tired trying convince form alliance party asserting arrangement would result losing seats delhi,Gurgaon,3,1,0,0
1098306406870994944,getting ready third innings kerala’s constituency,Wed Feb 20 19:40:27 +0000 2019,9,20973,111,False,4,getting ready third innings kerala’s constituency led mad hunt find candidate,Unknown,4,1,0,0
