W1,F
modi,2893
pm,2355
india,1885
ji,1686
people,1120
vote,1052
our,1046
govt,834
elections,779
government,746
seats,735
time,662
election,642
sir,628
minister,605
should,581
alliance,573
country,567
win,566
want,556
party,550
years,524
via,482
good,481
namo,473
dont,462
nation,455
us,444
prime,438
work,437
great,426
lok,422
today,413
need,411
may,407
polls,401
opposition,398
indian,395
power,390
support,373
done,371
ahead,371
narendra,368
last,362
leader,360
would,359
app,338
going,337
come,325
state,320
know,320
year,315
political,313
leaders,311
day,310
think,298
must,293
watch,292
give,285
thank,281
please,280
campaign,280
development,276
thanks,264
hope,260
parties,260
shri,257
coming,254
right,254
contest,246
president,246
next,246
upcoming,246
much,241
politics,239
read,235
rs,235
man,233
general,230
really,229
fight,228
modiji,225
vs,222
live,222
media,221
national,220
needs,218
news,215
voters,211
help,211
states,210
farmers,210
indians,209
congratulations,207
together,206
lets,202
class,202
yes,200
months,199
let,197
cant,196
cm,195
mp,193
true,190
reservation,190
keep,190
poll,185
sure,185
chief,183
world,182
passed,181
defeat,180
wants,179
getting,179
nda,179
poor,176
tax,176
could,175
thats,173
speech,172
modis,167
happy,166
always,166
crore,166
ppl,165
jai,164
dear,164
change,164
votes,163
working,162
lakh,162
mr,162
women,162
stop,158
towards,156
corrupt,155
hai,155
till,154
middle,153
shah,153
money,152
lost,151
got,151
clear,150
results,150
corruption,150
strong,150
majority,149
economically,148
proud,147
matter,147
hard,147
seat,147
making,145
leadership,144
save,144
look,143
without,142
days,142
reason,142
sena,141
historic,138
share,138
common,138
love,137
future,137
life,136
show,136
nothing,136
face,136
family,135
hindu,134
video,134
full,133
history,133
mps,132
join,132
set,131
rally,131
soon,131
start,130
amit,130
visit,130
parliament,130
growth,127
winning,127
hon,126
indias,126
delhi,125
ls,125
started,125
west,124
issues,124
real,123
called,122
meeting,122
understand,122
everyone,121
ur,120
wont,120
decision,120
led,120
step,120
free,119
taken,119
doesnt,119
lot,118
hindus,117
economy,117
likely,117
call,117
else,116
tamil,115
enough,115
given,115
comes,114
team,114
