W1,F
congress,864
seats,196
party,156
modi,119
elections,113
win,113
vote,111
india,108
people,100
pm,95
alliance,94
lok,89
election,88
should,77
please,77
polls,75
parties,74
time,73
govt,70
pradesh,65
years,64
states,63
minister,59
power,58
rahul,57
political,57
detailed,56
ahead,53
gandhi,53
mp,53
leader,53
votes,53
think,51
government,50
opposition,50
madhya,49
fight,48
version,47
log,47
our,47
epaper,46
contest,46
country,46
dont,46
state,46
voters,44
defeat,42
ji,42
live,41
chief,41
want,40
candidate,40
may,40
would,40
politics,39
going,37
support,37
indian,37
today,36
majority,36
good,36
next,35
wins,35
seat,34
cm,34
give,34
vs,33
delhi,32
updates,32
great,32
need,31
results,31
national,31
last,30
president,30
come,29
media,29
rajasthan,29
join,29
hai,28
done,28
work,28
know,28
right,28
much,27
leaders,27
must,27
poll,26
day,26
lost,26
read,26
clear,25
follow,24
anti,24
family,24
loss,24
money,24
track,23
prime,23
watch,23
ndtv,23
politicians,23
nation,23
us,22
coming,22
post,22
share,22
shows,22
upcoming,22
singh,21
leads,21
form,21
keep,21
sure,21
lose,20
via,20
hindus,20
rafale,20
got,20
taken,20
parliament,20
corrupt,20
deal,20
regional,20
general,20
nota,19
part,19
campaign,19
reason,19
allies,19
voted,19
former,19
could,19
led,19
set,18
let,18
hands,18
use,18
help,18
game,18
front,17
end,17
news,17
comes,17
strong,17
towards,17
narendra,17
understand,17
lead,17
simple,17
choice,16
days,16
makes,16
passed,16
hindu,16
gets,16
year,16
ruling,16
analysis,16
joined,16
ki,16
mighty,16
committed,16
uttar,16
times,16
corruption,16
gali,16
leading,15
wants,15
remain,15
instead,15
ls,15
needs,15
likely,15
face,15
pappu,15
huge,15
dmk,15
thanks,15
review,15
takes,15
development,15
given,15
voting,15
others,14
polity,14
expected,14
term,14
touched,14
evm,14
mps,14
making,14
muslim,14
loan,14
crimes,14
rs,14
left,14
anything,14
move,14
sp,14
joining,14
show,14
winning,14
close,14
stop,14
predicted,14
controlled,14
aap,13
along,13
priyanka,13
shame,13
fighting,13
lets,13
difference,13
called,13
congress’,13
choose,13
getting,13
ensure,13
aiadmk,13
victory,13
centre,13
mlas,12
mayawati,12
looks,12
joins,12
knows,12
doesnt,12
change,12
report,12
side,12
really,12
losing,12
rule,12
mla,12
democracy,12
opinion,12
impact,12
economy,12
claims,12
yrs,12
always,12
ka,12
security,12
short,12
trying,12
result,12
used,12
together,12
months,11
hard,11
accidental,11
look,11
trs,11
focus,11
karnataka,11
farm,11
entry,11
ticket,11
action,11
supporters,11
dear,11
telangana,11
thing,11
future,11
