W1,F
congress,2534
gandhi,828
rahul,710
party,620
pm,512
india,477
modi,440
people,394
our,385
president,377
ji,370
minister,332
seats,324
elections,324
election,318
time,313
should,290
vote,278
leader,277
today,267
polls,240
lok,239
politics,226
dont,224
live,221
contest,220
want,215
years,215
win,211
country,211
pradesh,210
alliance,207
chief,202
would,200
power,196
govt,195
family,193
know,192
general,190
government,181
women,177
us,171
good,170
leaders,165
please,162
going,159
watch,156
priyanka,154
opposition,152
political,151
work,150
state,150
think,144
next,142
may,140
need,138
much,138
house,136
give,136
day,133
mp,133
rajasthan,132
sir,132
seat,132
ahead,131
read,129
updates,127
parliament,127
support,125
must,124
indian,124
rafale,121
prime,121
great,120
nation,119
upcoming,119
last,118
done,118
fight,116
national,115
keep,114
come,113
secretary,113
deal,112
campaign,109
parties,106
meeting,105
issue,105
mr,105
candidate,104
right,103
sonia,103
jai,102
track,101
news,99
cm,98
lies,97
defence,96
speech,96
face,96
year,96
sure,95
ndtv,95
fake,94
states,93
media,92
real,90
via,90
money,89
madhya,89
hai,89
show,89
given,88
pappu,88
delhi,86
nothing,85
let,85
really,84
results,83
hope,82
votes,81
left,81
till,80
appointed,80
office,79
cant,79
wants,79
question,79
farmers,78
look,78
dear,78
wont,77
follow,77
full,77
always,76
gandhis,76
play,76
vs,75
lost,75
ur,75
voters,75
corruption,75
defeat,75
man,75
needs,74
making,74
narendra,74
coming,74
scam,73
join,72
issues,72
name,72
passed,72
world,72
getting,71
team,71
rs,71
east,71
love,71
away,70
ki,70
yes,70
singh,70
thats,69
entry,69
speaker,69
poll,69
poor,68
could,68
meet,68
without,68
set,68
uttar,68
working,68
development,67
dynasty,67
trying,67
true,67
rule,67
congress’,67
called,67
indians,66
stop,66
post,66
committee,66
vadra,66
congratulations,65
thank,65
doesnt,65
started,64
days,64
ready,64
amethi,64
workers,63
paper,63
corrupt,63
run,63
times,63
trump,63
shri,63
action,62
mps,62
save,62
help,61
former,61
answer,61
got,61
victory,61
history,61
finally,60
taking,60
part,60
dmk,60
comes,59
change,59
democracy,59
understand,59
shame,59
person,59
ls,59
chor,59
hard,58
voted,58
tax,58
rally,58
things,58
im,58
candidates,57
cong,57
led,57
strong,57
ppl,57
upa,57
already,57
sp,56
happy,56
discussion,55
video,55
coverage,55
start,55
lets,55
seems,55
saying,55
thing,55
looks,55
end,54
attack,54
ka,53
together,53
months,53
leads,53
case,52
reason,52
alone,52
use,51
muslim,51
future,51
anything,51
chhattisgarh,50
ask,50
chance,50
else,50
aicc,49
shows,49
prove,49
truth,49
likely,49
looking,49
tape,49
everyone,49
special,48
thanks,48
asked,48
questions,48
constituency,48
gets,48
visit,48
talk,48
lie,48
wins,48
senior,48
elected,48
free,47
entire,47
didnt,47
decision,47
ani,47
plan,47
enough,47
agenda,47
decide,46
youth,46
something,46
leadership,46
term,46
common,46
happen,45
sachin,45
took,45
voting,45
past,45
hindu,45
it’s,45
clear,45
yet,45
address,44
speak,44
young,44
instead,44
trust,44
life,44
including,43
idea,43
majority,43
twitter,43
soon,43
actually,43
move,43
per,42
sharing,42
stand,42
ashok,42
america,42
might,42
matter,41
week,41
lead,41
loan,41
don’t,41
interesting,41
reply,41
active,41
pilot,41
someone,41
etc,41
different,41
knows,41
giving,41
form,41
income,40
facts,40
american,40
tell,40
manifesto,40
point,40
promises,39
speaking,39
telangana,39
motion,39
raga,39
gave,39
choose,39
court,39
hands,39
level,39
main,39
gautam,38
open,38
lot,38
democrats,38
others,38
place,38
proud,38
towards,38
game,38
due,38
strategy,38
gehlot,38
allies,38
scams,37
ram,37
whats,37
politicians,37
far,37
sworn,37
thought,37
class,37
god,37
crore,37
charge,36
agree,36
words,36
takes,36
catch,36
citizens,36
farm,36
focus,36
top,36
everything,36
modiji,36
joins,36
demand,36
important,36
talking,36
hindus,36
makes,36
outside,36
ko,36
aap,35
photo,35
though,35
watching,35
tomorrow,35
held,35
call,35
indira,34
reports,34
pass,34
feel,34
wrong,34
list,34
pay,34
mata,34
hand,34
difference,34
single,34
anil,34
jaitley,34
act,33
failed,33
listen,33
role,33
ticket,33
law,33
son,33
challenge,33
calls,33
heres,33
early,33
taken,33
pakistan,32
mother,32
adjourned,32
share,32
namo,32
announced,32
audio,32
mla,32
united,32
security,32
around,32
leading,32
grand,32
along,32
pandit,32
home,32
tdp,32
mayawati,32
tamil,32
men,31
crucial,31
clean,31
dirty,31
forward,31
faith,31
interview,31
winning,31
request,31
indias,31
welcome,31
supporters,31
asking,31
gujarat,31
ruled,31
fighting,31
woman,31
nadu,30
ensure,30
friends,30
favour,30
field,30
tough,30
fact,30
clearly,30
anyone,30
changed,30
send,30
running,30
huge,30
march,30
supporting,30
war,30
scared,30
lose,30
forget,30
choice,29
playing,29
moment,29
present,29
front,29
allegations,29
sources,29
walkout,29
minimum,29
process,29
leave,29
short,29
vision,29
hes,29
passes,29
position,29
wish,29
karnataka,29
yadav,29
drama,29
check,29
used,29
side,29
arun,28
hal,28
current,28
mahatma,28
care,28
italy,28
anti,28
kamal,28
came,28
yesterday,28
major,28
wow,28
hv,28
calling,28
serious,28
ad,28
era,27
claim,27
exposed,27
fear,27
nda,27
se,27
modis,27
means,27
announce,27
try,27
happened,27
head,27
continue,26
loot,26
worth,26
discuss,26
yrs,26
within,26
card,26
newly,26
paid,26
fool,26
talks,26
centre,26
can’t,26
hate,26
nirmala,26
wait,26
tn,26
planes,26
khan,26
looted,26
press,26
app,26
wanted,26
respect,26
evm,26
wall,26
shit,25
amazing,25
democratic,25
trends,25
land,25
expect,25
rajiv,25
andhra,25
statement,25
surely,25
response,25
nahi,25
learn,25
aiadmk,25
ruling,25
amid,25
puducherry,25
low,25
students,25
promised,25
sitharaman,25
partys,25
mlas,25
recent,25
announcement,25
saw,25
maharashtra,25
rest,25
wonder,25
waiting,25
whatever,25
reality,25
tweets,24
notice,24
nehru,24
message,24
tweet,24
authenticate,24
worry,24
india’s,24
social,24
achieve,24
pranam,24
using,24
link,24
lying,24
status,24
ke,24
whole,24
nath,24
raipur,24
congresswoman,24
close,24
lakh,24
himachal,24
launches,24
imagine,24
opportunity,23
price,23
launch,23
walk,23
detailed,23
told,23
dancing,23
pelosi,23
conference,23
target,23
congrats,23
attend,23
opinion,23
analysis,23
tv,23
congressi,23
isnt,23
enters,23
dr,23
religion,23
waiver,23
dream,23
headquarters,23
talaq,23
movie,23
sent,23
middle,23
governor,22
faces,22
simply,22
pls,22
protest,22
society,22
temple,22
plz,22
near,22
reservation,22
trinamool,22
stage,22
policy,22
guys,22
counting,22
starts,22
force,22
raised,22
nancy,22
youre,22
key,22
hold,22
stay,22
decades,22
session,21
air,21
citizen,21
picture,21
interest,21
secretaries,21
almost,21
proof,21
proved,21
definitely,21
in…,21
officially,21
stalin,21
joint,21
quota,21
ap,21
coz,21
sanjay,21
comment,21
kerala,21
actions,21
image,21
gen,21
rather,21
result,21
triple,21
kept,21
decided,21
following,21
guy,21
raj,21
simple,21
crores,21
thinking,21
expected,21
shown,21
despite,21
ha,21
appointment,21
morning,21
union,21
hey,21
late,20
jet,20
data,20
scheme,20
mean,20
race,20
sitting,20
electoral,20
plans,20
father,20
fund,20
secular,20
resigns,20
allow,20
pic,20
todays,20
liar,20
theres,20
elect,20
hence,20
order,20
politician,20
across,20
mind,20
joke,20
false,20
note,20
peoples,20
ministers,20
loans,20
contesting,20
that’s,20
speaks,20
confident,20
created,20
incharge,20
spokesperson,20
friday,20
diverse,20
supreme,20
school,20
planning,20
situation,20
declare,20
wonderful,20
legal,20
credit,20
committees,20
honest,20
representatives,19
ran,19
constitution,19
waivers,19
joining,19
dance,19
demanding,19
fall,19
jail,19
army,19
goa,19
gives,19
confidence,19
foreign,19
finance,19
mein,19
total,19
hear,19
surprised,19
kya,19
italian,19
voter,19
children,19
heard,19
oh,19
provide,19
sister,19
sad,19
west,19
atleast,19
played,19
ago,19
female,19
performance,19
sc,19
control,19
mizoram,19
unemployment,19
evms,19
amendment,19
laugh,19
christian,19
recently,18
six,18
rae,18
regional,18
worst,18
hq,18
rg,18
answers,18
especially,18
seriously,18
naam,18
gone,18
residence,18
loss,18
introduced,18
find,18
lesson,18
month,18
americans,18
reddy,18
various,18
heart,18
apart,18
trs,18
slogan,18
rights,18
step,18
congresss,18
inside,18
seeing,18
defend,18
wake,18
hell,18
self,18
cause,18
gonna,18
little,18
north,18
file,18
rise,18
plunge,17
report,17
cp,17
