W1,F
election,3043
elections,2001
vote,1987
people,1551
our,1522
party,1351
time,1131
political,1037
india,1027
us,931
today,919
should,914
lok,861
pm,789
day,735
would,726
want,725
parties,716
dont,706
need,703
government,694
country,690
minister,655
may,655
know,647
state,633
seats,608
good,589
polls,588
passed,584
voters,580
contest,578
voting,571
watch,562
read,553
ahead,551
analysis,541
live,531
year,531
inec,529
upcoming,528
govt,525
going,522
years,514
please,514
politics,513
next,502
think,500
right,495
come,488
general,482
president,478
alliance,477
amendment,474
coming,473
win,472
click,471
must,464
till,463
campaign,456
chief,455
candidate,444
votes,442
opposition,433
trends,425
adjourned,424
news,424
last,423
detailed,417
call,416
national,413
media,402
power,396
indian,386
candidates,376
results,375
work,374
women,371
days,360
support,360
give,348
leader,346
money,346
parliament,340
leads+results,338
house,338
poll,329
via,329
mps,317
passes,314
hope,308
let,307
much,307
leaders,302
change,297
could,290
lets,290
cant,289
updates,285
politicians,285
seat,274
issues,274
electoral,273
use,272
ready,268
done,268
presidential,262
voter,258
issue,256
speaker,256
deal,254
announced,254
part,252
stop,251
really,250
tomorrow,248
mp,247
it’s,245
commission,245
social,244
week,243
look,242
full,242
reservation,241
join,239
great,239
pradesh,237
nation,236
already,235
show,234
likely,233
polling,230
question,228
home,227
follow,226
months,226
sir,226
delhi,224
free,223
important,223
set,223
constitution,220
union,218
fight,218
start,218
yet,218
making,217
got,216
help,216
discussion,215
march,215
future,215
sure,214
around,210
list,210
given,205
ji,204
don’t,202
economically,201
centre,199
meeting,199
states,198
office,198
rights,198
democracy,195
check,194
register,194
thing,192
date,192
keep,191
wont,191
held,191
registration,190
place,190
name,190
top,190
getting,189
needs,189
man,188
without,188
january,187
anc,187
tell,186
wants,184
away,184
address,183
registered,182
quota,181
everyone,181
muslim,181
nothing,181
postponed,180
soon,180
plan,179
end,178
term,176
tax,176
apc,176
unit,175
left,174
run,174
local,173
world,173
session,173
per,173
always,172
former,172
final,171
love,170
something,169
post,169
poor,169
wait,168
thank,167
real,167
citizens,165
youth,165
cm,165
action,164
law,163
im,163
protection,162
report,162
corruption,162
happen,160
things,160
life,159
rs,159
god,159
majority,159
introduced,157
yes,157
survey,157
thanks,157
enough,156
working,154
dear,154
called,154
open,153
visit,153
sp,152
farmers,152
started,152
security,152
decide,151
lot,151
changing,151
education,151
due,150
huge,150
share,150
community,149
together,149
looking,148
stay,148
find,148
fake,148
matter,147
thats,147
waiting,146
saying,146
data,146
strong,145
doesnt,144
prime,144
hours,144
gets,143
latest,143
someone,143
postponement,143
seems,142
lead,142
move,142
act,141
anyone,141
case,141
process,141
giving,140
speech,140
taken,140
rule,140
provide,139
continue,139
ls,138
hold,138
level,138
happy,136
true,135
voted,135
story,135
comes,135
fears,134
interesting,134
decision,133
aiadmk,133
team,133
nda,133
meet,133
details,133
sharing,133
morning,132
ask,132
family,132
lost,132
person,131
announce,131
finally,131
committee,131
system,130
play,130
face,130
understand,130
pay,130
anything,130
care,129
clear,129
corrupt,129
might,129
times,128
taking,128
contesting,128
heard,127
twitter,127
voice,127
point,126
video,125
ground,125
feel,125
trying,124
talaq,124
speaks,124
current,123
tweet,123
reports,123
rally,122
others,122
policy,122
indias,122
ensure,121
heres,121
defence,121
laws,121
constituency,121
choice,121
cast,121
crore,121
track,121
key,120
used,120
statement,120
takes,119
independent,119
role,118
upper,118
dr,118
major,117
leadership,117
terrain,117
focus,117
manifesto,117
city,116
category,116
young,116
expected,116
madhya,116
running,116
following,115
among,115
idea,115
jan,115
present,114
promises,114
stand,114
rajasthan,114
fair,113
weekend,113
mean,113
da,113
dates,113
postpone,113
economy,113
hear,113
wrong,113
coverage,113
thoughtfactory,113
towards,112
guys,112
wish,112
economic,111
across,111
saturday,111
everything,111
agenda,111
talk,111
mr,110
different,110
far,110
didnt,110
discussed,110
link,110
elected,109
past,109
triple,109
