W1,F
election,1246
elections,516
passed,510
analysis,494
pm,464
lok,437
party,421
amendment,419
click,411
trends,410
detailed,406
people,405
adjourned,369
india,368
today,367
minister,358
our,352
leads+results,338
vote,318
day,308
live,307
political,305
time,305
passes,279
watch,279
till,274
results,259
should,246
year,237
parties,229
politics,228
mps,227
govt,226
government,217
opposition,209
polls,205
women,204
house,201
speaker,197
chief,192
updates,190
reservation,188
would,187
parliament,185
dont,183
general,180
want,180
state,180
know,179
us,177
indian,174
read,174
country,172
need,171
economically,162
constitution,159
may,157
next,154
muslim,153
rights,153
good,152
protection,151
contest,148
win,146
national,142
right,141
must,141
discussion,139
ahead,139
years,138
quota,138
last,136
think,135
mp,134
seats,132
introduced,132
going,131
campaign,131
come,130
pradesh,129
votes,128
question,127
days,125
issues,123
please,122
upcoming,122
voters,121
changing,120
fears,119
candidate,119
talaq,118
president,115
issue,114
follow,113
deal,112
thoughtfactory,111
terrain,111
madhya,109
support,108
ji,108
centre,106
power,106
work,105
news,105
triple,105
defence,104
give,103
states,103
coming,101
much,100
leader,98
upper,97
ndtv,96
rajasthan,95
via,95
track,95
use,94
discussed,94
set,91
union,91
money,90
laws,90
suspended,90
session,89
category,89
media,89
given,86
alliance,85
voting,84
law,83
done,83
rule,83
delhi,83
regulation,82
look,82
likely,82
provide,82
tomorrow,81
important,80
speaks,80
already,80
candidates,80
home,80
making,80
change,80
hope,80
got,79
full,78
nation,78
stop,78
could,77
soon,77
telangana,76
politicians,76
start,75
surrogacy,75
let,74
citizenship,74
leaders,74
weaker,73
great,73
community,73
latest,73
months,72
really,72
noon,72
seat,71
per,71
part,71
join,70
cant,70
marriage,70
taken,69
proceedings,69
announced,68
pass,68
ready,68
sections,68
held,67
committee,67
due,67
poor,65
things,64
amid,64
tdp,64
counting,64
free,63
act,62
getting,62
majority,62
happy,62
speech,62
consumer,62
sir,61
wont,60
castes,60
case,60
march,59
poll,59
social,59
former,59
show,59
lets,59
giving,58
caste,58
january,58
gets,58
left,58
protest,58
decision,57
constitutional,57
independent,57
presidential,57
commission,57
protests,56
action,56
persons,56
future,56
rao,56
trs,55
indias,55
decide,55
hour,55
god,55
coverage,55
nothing,54
help,54
end,54
cm,54
passing,53
looking,53
love,53
move,53
sure,53
place,53
true,53
reply,53
medical,52
citizens,52
without,52
real,52
mahajan,52
aiadmk,52
transgender,52
sumitra,52
working,52
name,51
thing,51
system,51
ground,51
call,51
data,51
current,51
started,50
face,50
point,50
continues,50
term,50
needs,50
society,50
yet,49
rafale,49
nda,49
chair,49
democracy,49
hai,49
world,49
away,49
rs,49
thanks,49
thursday,49
thank,48
education,48
office,48
singh,48
hours,48
akp,48
final,48
post,48
paper,48
tax,47
electoral,47
prime,47
following,47
reports,47
wait,47
section,47
doesnt,47
called,47
including,47
it’s,47
im,47
makes,47
saying,46
yes,46
tell,46
ls,46
amidst,46
wants,46
jan,45
speaking,45
ruckus,45
finally,45
team,45
loan,45
list,44
waiting,44
play,44
cleared,44
everyone,44
seeks,44
among,44
seems,44
report,44
asks,44
man,44
congratulations,43
others,43
lost,43
several,43
arun,43
personal,43
wish,43
special,43
market,43
interesting,43
anc,43
always,43
actor,42
farmers,42
towards,42
something,42
run,42
roy,42
historic,42
starts,42
companies,42
court,42
council,42
keep,41
anything,41
lead,41
request,41
south,40
dr,40
