W1,W2,F
pm,modi,487
prime,minister,391
narendra,modi,319
namo,app,304
modi,ji,290
via,namo,271
pm,ji,203
modi,govt,178
modi,government,170
our,pm,150
middle,class,143
shri,ji,126
hon,pm,111
last,years,110
amit,shah,110
lok,elections,106
ji,ji,104
shiv,sena,98
tamil,nadu,95
jai,hind,87
really,really,87
pm,narendra,86
people,india,85
our,country,84
vote,modi,82
pm,shri,80
contest,seats,73
lok,polls,67
our,matter,66
work,done,66
general,category,63
pm,modis,62
live,updates,59
win,seats,56
supreme,court,54
economically,weaker,54
india,needs,54
general,elections,53
modi,modi,53
rs,crore,53
upper,castes,52
thank,ji,52
vs,vs,52
opposition,parties,52
general,election,50
pm,india,49
triple,talaq,48
people,vote,47
social,media,46
common,man,45
reservation,economically,45
happy,year,44
modi,pm,44
political,parties,44
minister,narendra,44
upcoming,elections,43
let,us,43
next,years,43
piyush,goyal,42
chief,minister,42
ahead,polls,41
good,work,41
our,hon,41
rakesh,jhunjhunwala,41
uttar,pradesh,41
must,watch,41
historic,day,41
sh,ji,40
win,elections,39
modi,jee,39
reject,nota,38
dont,want,38
shri,narendra,37
people,want,36
transformation,our,36
months,transformation,36
watch,live,36
ls,polls,35
union,minister,35
president,amit,35
india,modi,34
seats,seats,34
modi,sarkar,34
lok,seats,34
minister,shri,34
uddhav,thackeray,34
jee,our,34
india,great,34
great,leader,34
ram,mandir,33
hows,josh,33
rs,lakh,33
congratulations,pm,33
ji,pm,32
"jee🙏🇮🇳💪😇""for",our,32
modi,"jee🙏🇮🇳💪😇""for",32
madhya,pradesh,32
transformation.our,hon,32
state,elections,32
mr,modi,31
muslim,women,31
lok,election,31
our,nation,31
dont,know,31
government,led,31
central,government,31
upper,caste,31
surgical,strike,31
sir,sir,30
fight,seats,30
seat,sharing,30
developing,india,30
come,together,30
history,india,30
pledge,support,29
jai,ho,29
grand,alliance,29
vote,share,29
josh,sir,29
modi,wave,28
retain,power,28
economically,weak,28
motion,thanks,28
minister,india,27
good,news,27
good,governance,27
ace,investor,27
finance,minister,27
game,changer,27
our,prime,27
pradhan,mantri,26
hard,work,26
vote,pm,26
pm,via,26
ahead,lok,26
track,live,26
work,hard,26
voters,reject,25
past,years,25
modi,vs,25
spread,word,25
reply,motion,25
weaker,sections,25
constitution,amendment,25
women,empowerment,25
come,power,25
lok,passes,24
worth,rs,24
tax,payers,24
watch,video,24
thanks,ji,24
win,election,24
fake,news,24
indian,railways,24
ind,voters,24
ls,seats,24
indian,economy,24
modi,via,24
arun,jaitley,23
philip,kotler,23
poll,campaign,23
leader,history,23
working,hard,23
manifesto,committee,23
projects,worth,23
ahead,elections,23
leadership,pm,23
press,conference,22
supporters,ppl,22
modi,god,22
word,supporters,22
happening,west,22
want,country,22
vote,ji,22
per,cent,22
ppl,vote,22
citizenship,amendment,22
contest,lok,22
great,going,22
political,party,22
lakh,crore,22
chor,whatever,22
vote,vote,22
call,us,22
plz,spread,22
vote,chor,22
loan,waiver,22
god,india,22
thank,sir,22
corrupt,ahind,21
full,majority,21
income,tax,21
man,developing,21
pm,modi’s,21
west,repeated,21
nitin,gadkari,21
people,country,21
years,modi,21
repeated,india,21
ji,our,21
investor,rakesh,21
common,people,21
pm,candidate,21
want,stay,21
live,pm,21
want,work,21
whatever,happening,21
fastest,growing,21
last,year,20
dont,worry,20
ram,temple,20
aiadmk,alliance,20
party,workers,20
indian,politics,20
coming,together,20
citizens,india,20
sir,read,20
great,work,20
across,country,20
support,ji,20
want,pm,20
quota,economically,19
ji,india,19
sena,alliance,19
modi,prime,19
alliance,aiadmk,19
our,great,19
india,pm,19
thank,much,19
dont,need,19
survey,namo,19
alliance,tamil,19
presidential,award,19
congratulations,ji,19
announce,alliance,19
rs,cr,19
sleepless,nights,18
vote,thank,18
seats,ljp,18
kotler,presidential,18
wait,watch,18
vote,wisely,18
photo,ians,18
vision,india,18
election,modi,18
nota,defeat,18
growth,rate,18
want,india,18
day,india,18
sections,society,18
ke,liye,18
election,campaign,18
last,yrs,18
should,vote,18
jan,passed,18
last,time,18
election,results,18
last,months,18
upcoming,polls,18
report,card,17
election,manifesto,17
sir💪🏽,sir💪🏽,17
plz,note,17
via,mynt,17
weaker,section,17
presidents,address,17
defence,minister,17
nda,government,17
corruptionfree,fraudfree,17
eagerly,waiting,17
note,people,17
vijay,mallya,17
highest,growth,17
announces,alliance,17
india,india,17
scamfree,corruptionfree,17
coming,elections,17
want,vote,17
reason,vote,17
nadu,puducherry,17
approves,economically,17
amendment,constitution,17
fraudfree,vote,17
home,minister,17
vote,this👇,17
country,scamfree,17
janata,party,16
opinion,poll,16
want,modi,16
national,president,16
form,govt,16
times,india,16
jay,ho,16
must,read,16
pm,sir,16
modi,should,16
rafale,deal,16
join,us,16
heartiest,congratulations,16
people,should,16
nation,needs,16
poll,results,16
completed,survey,16
ruling,party,16
choose,wisely,16
maharashtra,cm,16
great,news,16
historic,step,16
lowest,inflation,16
alliance,talks,16
join,hands,16
alliance,upcoming,16
narendra,modis,15
ayes,noes,15
mega,alliance,15
india,forever,15
nda,govt,15
decisively,pass,15
har,har,15
work,people,15
modi,win,15
proud,our,15
national,council,15
should,retain,15
upper,class,15
next,pm,15
know,pm,15
our,support,15
day,day,15
national,convention,15
national,security,15
dont,think,15
year,resolution,15
seats,upcoming,15
corruption,free,15
want,win,15
led,government,15
minister,modi,15
constitutional,amendment,15
ji,prime,15
thanks,presidents,15
india,should,15
day,decisively,15
support,modi,15
opposition,alliance,15
rs,per,15
nota,corrupt,15
next,months,15
development,modi,14
economicaly,upper,14
pass,congratulating,14
ha,ha,14
opposition,leaders,14
upcoming,election,14
historic,descision,14
time,work,14
live,ndtv,14
modi,done,14
ji,team,14
ji,done,14
receives,major,14
our,future,14
passed,passes,14
please,vote,14
need,modi,14
dear,sir,14
pm,reply,14
year,india,14
heres,ace,14
meenakshi,lekhi,14
india,amendment,14
modi,govts,14
ji,please,14
loud,clear,14
winning,seats,14
think,modi,14
per,year,14
passes,ayes,14
congratulating,government,14
next,election,14
reservation,general,14
defeat,modi,14
modi,shah,14
transforming,india,14
samajwadi,party,14
coming,election,14
approved,union,14
constitution,passed,14
taken,modi,13
ls,elections,13
party,leaders,13
give,us,13
read,tweet,13
progress,reject,13
mann,ki,13
us,hand,13
india,wants,13
needs,modi,13
dont,vote,13
importance,women,13
india,vote,13
would,se,13
inclusive,progress,13
dont,dont,13
parties,antihindu,13
help,us,13
topmost,importance,13
pm,post,13
speedy,recovery,13
via,read,13
delhi,cm,13
jds,ncp,13
sena,announce,13
feel,central,13
amendment,passed,13
seats,tamil,13
hard,coming,13
indian,army,13
india,years,13
save,our,13
hand,want,13
andhra,pradesh,13
modi,india,13
passes,constitution,13
state,president,13
great,odia,13
please,dont,13
antihindu,corrupt,13
coming,working,13
se,ke,13
tight,slap,13
culture,always,13
contest,elections,13
strong,gvt,13
descision,modi,13
whole,nation,13
commie,sp,13
man,army,13
government,india,13
dear,pm,13
ji,govt,13
odia,culture,13
sp,jds,13
devendra,fadnavis,13
always,gives,13
win,lok,13
around,corner,13
enough,pm,13
congi,commie,13
seats,win,13
empowerment,shri,13
read,thread,13
gives,topmost,13
jhunjhunwala,narendra,13
great,initiative,13
should,think,13
really,want,12
master,stroke,12
ji,actually,12
major,modi,12
return,power,12
government,likely,12
started,campaign,12
people,understand,12
come,true,12
think,vote,12
class,approved,12
defeat,congi,12
want,good,12
would,nosedive’,12
weaker,upper,12
elections,together,12
power,things,12
indians,vote,12
please,share,12
tweet,call,12
led,prime,12
pm,jis,12
across,india,12
economic,growth,12
race,time,12
mp,rajasthan,12
govt💪,economicaly,12
ground,level,12
clean,dirt,12
free,fair,12
comes,power,12
ji,nominate,12
dynamic,leadership,12
modi,clean,12
dont,forget,12
much,needed,12
doesnt,need,12
voter,id,12
years,years,12
transform,india,12
matters,national,12
tourism,receives,12
upcoming,lok,12
indias,growth,12
likely,contest,12
historic,passed,12
leader,opposition,12
approaching,race,12
dirt,india,12
people,must,12
nosedive’,chairman,12
speech,parliament,12
chairman,election,12
