W1,W2,F
madhya,pradesh,47
epaper,detailed,46
detailed,version,46
please,log,46
version,please,46
rahul,gandhi,34
live,updates,24
lok,elections,23
seats,congress,23
prime,minister,23
track,live,20
lok,seats,20
congress,party,20
seats,seats,17
chief,minister,15
lok,polls,15
uttar,pradesh,15
great,crimes,14
congress,govt,14
controlled,polity,14
win,seats,14
family,controlled,14
committed,mighty,14
mighty,politicians,14
politicians,family,14
crimes,committed,14
review,people,14
reason,great,14
simple,reason,14
congress,contest,14
polity,touched,14
regional,parties,13
opposition,parties,13
narendra,modi,13
political,parties,12
vote,congress,12
triple,talaq,11
pm,modi,11
congress,win,11
modi,govt,11
congress,president,10
fight,congress,10
political,party,10
ahead,polls,10
accidental,prime,10
join,congress,10
tough,fight,10
voted,figure,9
govt(now,uri,9
vote,share,9
win,elections,9
figure,votes👍,9
people,good,9
congress,wins,9
modi,ji,9
congress,leader,9
ahead,predicted,9
good,voted,9
votes👍,congress,9
uri,review,9
predicted,lok,9
gali,gali,8
reject,nota,8
contest,seats,8
shor,hai,8
live,ndtv,8
congress,opposition,8
congress,seats,8
contest,lok,8
tamil,nadu,8
pm,candidate,8
voters,reject,8
next,pm,8
seats,uttar,8
congress,madhya,8
congress,should,8
alliance,congress,8
gandhi,congress,7
watch,live,7
results,analysis,7
middle,class,7
antinational,gali,7
shiv,sena,7
support,congress,7
come,power,7
ahind,antinational,7
gali,shor,7
nota,defeat,7
pradesh,congress,7
national,security,7
indian,voters,7
going,vote,7
defeat,ahind,7
congress,leading,6
election,results,6
states,rajasthan,6
seatsharing,deal,6
leaves,jittery,6
vs,congress,6
general,election,6
sides,coin,6
short,majority,6
our,next,6
farm,loan,6
polls,congress,6
nirmala,sitharaman,6
rajasthan,chhattisgarh,6
heartland,states,6
seats,madhya,6
congress,makes,6
senior,leader,6
elections,congress,6
congress,allies,6
national,parties,6
modi,vs,6
seesaw,congress,6
leading,states,6
jittery,cold,6
polls,seatsharing,6
congress,candidate,6
hindi,heartland,6
deal,leaves,6
pm,ji,6
dont,want,6
india,congress,6
should,unite,6
form,government,6
hindu,unity,6
wins,thumping,5
govt,accidental,5
hindus,should,5
congress,dmk,5
former,union,5
low,count,5
rafale,deal,5
years,congress,5
thumping,majority,5
should,know,5
state,elections,5
along,congress,5
people,votes,5
thanks,emperor,5
amit,shah,5
passed,mean,5
total,vote,5
economy,thanks,5
naveen,patnaik,5
ls,polls,5
unite,sure,5
next,years,5
anti,congress,5
arvind,kejriwal,5
vs,rahul,5
poll,position,5
last,years,5
know,candidate,5
govt,passed,5
catch,action,5
congress,congress,5
pradesh,seesaw,5
manvendra,singh,5
seats,total,5
think,congress,5
rjd,leader,5
years,ago,5
move,ahead,5
congress,lok,5
prove,congress,5
ahead,lok,5
entry,politics,5
country,party,5
people,india,5
noncongress,parties,5
post,poll,5
union,minister,5
minister,review,5
islamic,going,5
party,congress,5
pm,congress,5
ji,ji,5
know,christo,5
across,country,5
mean,empowerment”,5
seats,delhi,5
empowerment”,prove,5
christo,islamic,5
janata,party,5
federal,front,5
army,fount,5
gained,state,5
happening,congress,5
communal,violence,5
choice,surging,5
comes,power,5
parivar’s,perilous,5
congress,lose,5
pradesh,chief,5
sure,wins,5
short,hindu,5
general,elections,5
advantage,seats,5
money,power,5
win,congress,5
perilous,post,5
congress,mukt,5
count,votes👎,5
fount,national,5
surging,economy,5
detailed,election,5
unity,hindus,5
makes,army,5
votes,low,5
win,election,5
lessons,state,4
pundits,agree,4
mp,joined,4
votes,congress,4
emperor,re…,4
trinamool,congress,4
modi,win,4
results,seats,4
samajwadi,party,4
murders,persons,4
work,hard,4
shares,seats,4
loan,waiver,4
join,forces,4
pm,modis,4
trails,congress,4
seats,gain,4
congress,mp,4
time,row,4
congress,alliance,4
indian,national,4
day,allies,4
joins,congress,4
fourth,time,4
experts,feel,4
locked,tough,4
security,deposits,4
tax,payers,4
close,fight,4
congress,ahead,4
announcing,alliance,4
seat,sharing,4
remain,equidistant,4
party,leading,4
feel,loose,4
loss,congress,4
seats,track,4
party,think,4
space,posts,4
congress,chief,4
adarsh,shukla,4
without,congress,4
results,show,4
privilege,motion,4
impact,elections,4
party,considered,4
persons,disgusting,4
sinking,party,4
verdict,impact,4
pounces,jpc,4
aiadmk,read,4
should,stop,4
thing,clear,4
congress’,manvendra,4
mp,rajasthan,4
contest,polls,4
priyanka,vadra,4
state,polls’,4
polls’,verdict,4
sheila,dikshit,4
congress,sinking,4
election,commission,4
photo,ians,4
chhattisgarh,congress,4
loose,security,4
party,seats,4
congress,done,4
misses,majority,4
last,days,4
govt,murders,4
majority,madhya,4
congress,who…,4
joining,hands,4
congress,come,4
deposits,seats,4
wins,india,4
congress,gained,4
third,front,4
states,hindi,4
needs,learn,4
congress,part,4
states,misses,4
minister,narendra,4
formed,govt,4
elections,narayan,4
our,special,4
considered,pundits,4
equidistant,congress,4
challenges,lessons,4
follow,live,4
need,pm,4
congress,track,4
people’s,anger,4
dmk,join,4
leads,results,4
agree,shares,4
disgusting,attacks,4
joined,hands,4
modi,pm,4
congress,strong,4
national,congress,4
allies,aiadmk,4
election,congress,4
sachin,adarsh,4
congress,rahul,4
congress,formed,4
continue,remain,4
haven’t,taken,4
vote,seats,4
anti,national,4
forces,day,4
congress,leads,4
defeats,congress’,4
elections,impact,4
congress,shiv,4
gandhi,family,4
upper,caste,4
congress,equipped,3
congress,lost,3
congress,rajasthan,3
fight,heat,3
delhi,cm,3
government,congress,3
day,congress,3
common,man,3
thirunavukkarasar,addresses,3
su,thirunavukkarasar,3
much,time,3
things,come,3
fell,pattern,3
active,politics,3
election,manifesto,3
opinion,poll,3
modi/shah/,media/fake,3
lok,election,3
election,coverage,3
paper,planes,3
lok,today,3
ago,time,3
pradesh,lok,3
upcoming,elections,3
congress,minister,3
coin,sides,3
elections,india,3
addresses,media,3
pmk,alliance,3
cant,solve,3
poll,results,3
thief,sister,3
incharge,eastern,3
minister,anticongress,3
time,worse,3
done,span,3
jaypee,wish,3
congress,era,3
solve,jaypee,3
loan,write,3
lok,rafale,3
defeat,upcoming,3
moved,privilege,3
vote,party,3
congress,locked,3
join,hands,3
seats,congress…,3
congress,modi,3
mp,raj,3
fastest,updates,3
honored,hate,3
kashmir,need,3
pattern,announcing,3
losing,congress,3
span,years,3
rahul,rahul,3
learning,anything,3
timesmega,poll,3
occasion,solve,3
dirty,corrupt,3
likely,win,3
india,couldnt,3
seats,got,3
social,media,3
joined,congress,3
loss,loss,3
seat,congress,3
town,issue,3
heat,map,3
elections,going,3
thing,sure,3
people,vote,3
seats,state,3
write,focus,3
evms,sensing,3
votes,votes,3
must,rise,3
neck,neck,3
takes,dig,3
party,president,3
era,yuva,3
rakesh,jhunjhunwala,3
parties,adopting,3
congress,votes,3
secure,seats,3
give,chance,3
parliament,election,3
years,india,3
strong,opposition,3
congress,pvt,3
clear,majority,3
priyanka’s,entry,3
slap,face,3
lead,alliance,3
missing,dirty,3
adopting,congressism,3
years,years,3
pm,solve,3
pappu,thief,3
congress,winning,3
top,congress,3
uses,school,3
media,delhi,3
fought,elections,3
counting,centre,3
stinking,india,3
votes,counted,3
decided,support,3
congress,great,3
economic,times,3
our,country,3
ensure,come,3
modi,wave,3
pm,narendra,3
time,main,3
contest,congress,3
vasundhara,raje,3
together,congress,3
equipped,lead,3
votes,lost,3
leader,su,3
congress,got,3
jpc,rafale,3
parties,alliance,3
inside,counting,3
woo,voters,3
hacked,dream,3
raj,cg,3
couldnt,last,3
leading,seats,3
opinion,noncongress,3
upcoming,lok,3
congress,government,3
everyone,knows,3
follow,our,3
rule,people,3
ltd,pappu,3
deal,congress,3
congress,sponsored,3
win,pappu,3
waiting,game,3
difference,congress,3
power,decided,3
alliance,rjd,3
sister,shame,3
contest,elections,3
updates,follow,3
history,honored,3
much,congress,3
poll,slap,3
national,interest,3
win,lok,3
wonder,hacked,3
dont,let,3
quit,join,3
focus,nots”,3
congress,others,3
good,governance,3
pledge,onetime,3
parties,planning,3
pradesh,seats,3
congress,cant,3
congress,sides,3
rise,occasion,3
vote,elections,3
chief,congress,3
onetime,farm,3
congress,give,3
non,congress,3
cm,naveen,3
office,raipur,3
president,rahul,3
government,done,3
elections,ensure,3
congress’,ndtv,3
centre,madhya,3
own.if,congress,3
surveys,trend,3
congress,left,3
electionrelated,news,3
congress,legislators,3
updates,watch,3
congress,using,3
hate,violence,3
nots”,woo,3
congress,taken,3
congress,power,3
indian,economy,3
coming,days,3
national,polls,3
joined,wednesday,3
delhi,congress,3
face,rahul,3
aiadmk,pmk,3
congress,means,3
issue,whip,3
managed,secure,3
congress,may,3
time,give,3
seven,lok,3
work,done,3
loss,gains,3
wish,town,3
pm,india,3
sensing,defeat,3
clear,form,3
shankar,prasad,3
coverage,live,3
favour,congress,3
share,seats,3
congress,dumped,3
allies,allies,3
gandhi,quit,3
shame,party,3
congress,supporters,3
anything,defeat,3
map,state,3
today’s,surveys,3
known,fact,3
vs,modi/shah/,3
ravi,shankar,3
modi,congress,3
rs,crore,3
corrupt,polluted,3
congress,last,3
congress,aap,3
dp,maker,3
congress,clear,3
special,coverage,3
cm,post,3
government,own.if,3
priyanka,gandhi,3
defeat,years,3
varun,gandhi,3
smelling,stinking,3
seats,alliance,3
grand,alliance,3
congress,corrupt,3
prediction,congress,3
chief,ministerial,3
payers,money,3
pvt,ltd,3
won’t,seats,3
fight,election,3
polluted,smelling,3
rs,cr,3
rest,uses,3
allies,rest,3
fight,seats,3
declared,contest,3
pradesh,defeat,3
clear,indication,3
point,towards,3
minister,leads,3
taken,huge,3
getting,seats,3
form,alliance,3
anurag,thakur,3
congress,ticket,3
think,india,3
karnataka,government,3
anticongress,propaganda,3
win,general,3
congress,managed,3
sena,pounces,3
trend,point,3
hands,congress,3
modi,lok,3
congress,gives,3
ke,liye,3
alone,option,3
congress,gandhi,3
modi,government,3
dear,friends,3
party,learning,3
election,campaign,3
odisha,cm,3
years,rule,3
election,year,3
solve,kashmir,3
leads,trails,3
clear,mandate,3
should,win,3
surveys,thing,3
pappu,khan,3
split,vote,3
ram,mandir,3
congress,always,3
lok,seat,3
congress,anti,3
winning,seats,3
towards,loss,3
our,report,3
admitting,congress,3
defense,minister,3
rahul,vs,3
differences,know,2
motion,president,2
seats,around,2
should,quit,2
unity,coming,2
us,info,2
thanks,government,2
earlier,our,2
modi,parasites,2
defeat,delhi,2
congress,ka,2
together,politician,2
sticking,neck,2
italian,ruler,2
fool,people,2
parliamentarians,present,2
come,should,2
pack,coming,2
continued,today,2
hq,swanky,2
sitting,mla,2
congress,asked,2
losing,continued,2
pradesh,cm,2
win,end,2
congress,rout,2
improvement,ruling,2
convincing,congress,2
tn,seats,2
want,join,2
congress,hear,2
confident,trying,2
real,face,2
winning,strategy,2
term,congress,2
analysis,whos,2
strong,united,2
secretary,incharge,2
education,learning,2
leader,ashok,2
worry,would,2
people,towards,2
wud,vote,2
used,fighting,2
retains,fourth,2
asked,election,2
singh,joined,2
understand,want,2
sorry,correct,2
wasting,time,2
party,alternative,2
vacancies,pr,2
year,regional,2
enquiry,needed,2
nearly,defeated,2
given,clear,2
playing,waiting,2
yesterday,shameful,2
think,vote,2
taken,gaurd,2
congress,states,2
parties,together,2
stand,people,2
congress,hemant,2
political,dp,2
elections”,congress,2
corruption,congress,2
screens,hq,2
indian,express,2
next,time,2
hello,today,2
chhattisgarh,madhya,2
supporters,across,2
down”,writer,2
keep,modi,2
stats,right,2
huge,leap,2
look,shows,2
lighter,vein,2
row,defeats,2
santosh,votes,2
lose,vindictive,2
scam,suppression,2
syed,shuja,2
congress,ncp,2
rooting,congress,2
sir,worries,2
gandhi,laid,2
come,strongly,2
trying,fool,2
defeat,should,2
calls,gau,2
fake,news,2
congress,janata,2
partnership,upcoming,2
wins,elections,2
opposition,loot,2
means,dynasty,2
win,perception,2
vote,ji,2
density,rafel,2
partys,official,2
wrests,states,2
hits,congress,2
loosing,states,2
political,discourse,2
ruling,rafale,2
cheap,popularity,2
congress,anything,2
loss,states,2
dont,lightly,2
per,our,2
gets,pm,2
waste,tax,2
offer,contest,2
lose,amethi,2
congress,comes,2
media,congress,2
seats,achieve,2
fools,suffer,2
fade,away,2
manage,share,2
leads,seats,2
tradition,follow,2
people,please,2
respects,among,2
fighting,pdp,2
congress,leaders,2
congress,centre,2
repenting,voting,2
claims,media,2
mlas,party,2
pls,give,2
done,given,2
late,night,2
support,fade,2
defeats,congress,2
worth,rs,2
seats,telangana,2
cell,congress,2
winter,session,2
option,alone,2
ahead,marketing,2
think,einstein,2
clarify,political,2
majority,party,2
campaign,hollow,2
rs,kg,2
youth,ko,2
offered,contest,2
wins,pappu,2
congress+,gets,2
vs,years,2
congress,heading,2
akhilesh,yadav,2
virtually,left,2
would,think,2
lets,give,2
day,office,2
former,minister,2
ruling,party,2
congress,naveen,2
wont,joining,2
plotted,draw,2
namo,stroke,2
emergence,previously,2
show,congress,2
govt,ac…,2
denies,jd(s,2
our,nation,2
times,nowvmr,2
seats,madhyapradesh,2
everywhere,ki,2
army=nasty,spaniking,2
strains,godse,2
everything,everywhere,2
elections,quiet,2
arch,rival,2
seats,sharing,2
face,challenge,2
m.p,slowed,2
indian,politics,2
govt,led,2
cm,meets,2
congress,wind,2
follow,read,2
seats,jammu,2
yashpal,singh,2
politics,endorses,2
states,except,2
congress,keep,2
congress,called,2
opposition,votes,2
finally,today,2
upcoming,form,2
alliance,going,2
trying,strike,2
country,need,2
party,mp,2
congress,reserved,2
called,majority,2
shows,improvement,2
increasing,outlay,2
much,ahead,2
raga,taken,2
past,mp,2
win,elections”,2
set,yet,2
nothing,left,2
supporters,cool,2
eyeing,northeastern,2
game,changer,2
mp,clarifies,2
ahead,ls,2
reported,earlier,2
news,follow,2
plus,states,2
parties,agp,2
admk,dmk,2
heard,assessment,2
fighting,together,2
eastern,congress,2
edge,past,2
alliance,help,2
amethi,rae,2
today,passed,2
development,country,2
think,corrupt,2
polls,rahul,2
reality,vikas,2
role,congress,2
cg,voters,2
common,process,2
could,play,2
good,day,2
jain,candidate,2
parties,congress,2
leader,movie,2
india,looter,2
declared,trs,2
congress,farm,2
hollow,pledge,2
time,candidates,2
closer,look,2
power,hike,2
alliance,formed,2
party,telling,2
expects,win,2
congress,treat,2
denied,ticket,2
presence,fifteen,2
parties,greater,2
congress,standing,2
stay,single,2
landslide,victory,2
saw,coming,2
calling,journalist,2
mahatma,gandhi,2
face,fourth,2
wind,use,2
congress,led,2
rafale,raga,2
single,largest,2
congress,chhattisgarh,2
faceoff,retains,2
should,think,2
right,rightly,2
jds,trying,2
govt,acc…,2
supporter,support,2
ka,diya,2
important,vote,2
seat,announcement,2
polls,near,2
eyeing,years,2
mp,years,2
country,much,2
vehement,alliance,2
pradesh,retweet,2
crocodile,tears,2
time,today,2
seats,aiudf,2
applous,govt,2
state,polls,2
today,face,2
understand,alliance,2
weird,smart,2
renewing,demand,2
should,political,2
party,happens,2
among,masses,2
makes,analysis,2
congress,happy,2
reputation,modi,2
veteran,claims,2
congress,offering,2
media,gathers,2
senior,leaders,2
today,parliament,2
workers,across,2
learning,facts,2
impunity,watch,2
congress,merge,2
saffron,party,2
handle,starts,2
day,announced,2
general,category,2
election,analysis,2
anti,federal,2
told,think,2
wins,congress+,2
despite,differences,2
state,lies,2
modi,led,2
read,track,2
fight,dumped,2
desperately,rafale,2
rajasthan,chief,2
nda,congress,2
parties,should,2
mighty,vajpayee,2
field,umesh,2
delhi,aap,2
got,lakh,2
done,mistake,2
dont,practice,2
pulses,import,2
spokesperson,offensive,2
pradesh,heres,2
congress,coverup,2
moment,congress,2
consideration,haven’t,2
years,national,2
inform,action,2
manners,maketh,2
congress,indian,2
seats,saved,2
choose,nota,2
victorious,polls,2
pitch,govt,2
likely,formalise,2
huge,applous,2
na,khane,2
involved,corruption,2
towards,clear,2
party,family,2
threetime,madhya,2
picture,hai,2
randeep,surjewala,2
evident”,congress,2
minister,next,2
actually,eastern,2
threatens,play,2
going,difficult,2
politics,development,2
alleges,poaching,2
violence,losted,2
telangana,declared,2
trinamool,set,2
mafi,maango,2
common,candidate,2
spoil,reputation,2
state,fastest,2
congresssp,alliance,2
want,performance,2
form,govt,2
chaos,amid,2
want,spokesperson,2
remove,prime,2
ko,vote,2
congress,unseat,2
front,anti,2
scoot,spoil,2
