W1,W2,F
detailed,election,397
click,detailed,389
election,trends,374
leads+results,analysis,338
election,leads+results,338
trends,pm,255
pm,click,255
adjourned,till,214
political,parties,213
lok,elections,213
election,results,178
general,elections,160
live,updates,160
social,media,157
chief,minister,133
political,party,129
contest,seats,124
election,commission,120
adjourned,day,119
trends,click,119
polling,unit,115
madhya,pradesh,115
fears,terrain,114
terrain,politics,114
politics,changing,114
thoughtfactory,fears,113
watch,live,108
triple,talaq,106
prime,minister,104
muslim,women,104
constitution,amendment,101
lok,passes,94
general,election,94
general,category,92
opposition,parties,89
protection,rights,86
our,country,85
upcoming,elections,84
uttar,pradesh,83
union,minister,83
till,pm,83
economically,weaker,82
election,day,81
lok,polls,76
till,noon,75
reservation,economically,72
huge,mess,71
next,week,70
caused,term,69
fake,news,69
call,us,69
mess,caused,69
voting,stations,68
root,causes,65
laws,amendment,63
register,vote,62
voter,registration,62
track,live,62
seat,sharing,61
amendment,passed,60
upper,castes,59
rights,marriage,59
let,us,59
should,work,58
results,analysis,58
samajwadi,party,58
join,us,57
sumitra,mahajan,56
women,protection,55
tamil,nadu,55
consumer,protection,54
election,campaign,54
dont,know,54
address,root,54
term,office,53
contest,upcoming,53
want,should,53
presidential,election,52
free,fair,52
passed,lok,52
citizenship,amendment,51
analysis,latest,51
passes,constitution,51
win,seats,51
registered,vote,50
contest,elections,50
live,analysis,50
upcoming,lok,50
latest,election,50
lok,election,49
quota,economically,49
dont,want,49
cast,vote,48
finance,minister,48
vote,vote,48
vote,wisely,47
read,tweet,46
speaker,sumitra,46
constitutional,amendment,46
defence,minister,46
per,cent,45
inec,chairman,45
contest,lok,44
sp,contest,44
election,year,44
tell,us,43
election,postponed,43
last,years,42
want,you.the,41
people,vote,40
media,coverage,40
independent,candidate,40
give,us,39
electoral,commission,39
lok,adjourned,39
coming,time,39
omoyele,sowore,39
surrogacy,regulation,39
follow,live,38
sahara,reporters,38
winter,session,38
contest,polls,38
samaj,party,38
dont,vote,38
commission,india,38
next,years,37
provide,reservation,37
young,people,37
mps,suspended,37
registration,weekend,37
home,minister,37
middle,class,37
companies,amendment,36
stations,open,36
election,commissioner,36
press,conference,36
loan,waiver,35
presidential,candidate,35
technology,use,35
opinion,poll,35
need,know,35
western,cape,35
postpone,election,35
coverage,update,35
ruchir,sharma,35
full,transcript,34
andhra,pradesh,34
ahead,lok,34
upcoming,polls,34
farm,loan,34
rs,crore,34
upper,caste,34
lok,seats,33
dna,technology,33
weaker,section,33
transgender,persons,33
election,date,33
arun,jaitley,33
top,top,32
you.the,year,32
next,year,32
week,march,32
use,application,32
us,want,32
voter,id,32
coming,closer,32
adding,hands,31
question,hour,31
us,our,31
closer,want,31
sir,adding,31
hands,call,31
around,corner,31
dont,think,31
looking,forward,31
final,january,30
good,news,30
local,elections,30
chief,election,30
vote,party,30
ahead,elections,30
ruling,party,30
personal,laws,29
knesset,insider,29
date,headline,29
supreme,court,29
live,ndtv,29
amendment,introduced,29
our,nation,29
amendment,provide,29
law,minister,29
state,elections,29
jeremys,knesset,29
right,time,29
stay,tuned,29
delhi,international,29
open,days,28
today,introduced,28
postponed,election,28
years,prepare,28
weaker,sections,28
international,centre,28
indian,medical,28
political,leaders,28
right,vote,28
registered,voters,28
inec,postponed,28
medical,council,28
application,regulation,28
ahead,polls,27
upcoming,election,27
win,election,27
people,india,27
aiadmk,mps,27
paper,planes,27
persons,protection,27
us,visit,27
good,people,27
cast,votes,27
national,elections,27
akhilesh,yadav,27
us,vote,27
year,coming,26
regional,parties,26
sunil,arora,26
chandrashekar,rao,26
cant,wait,26
good,morning,26
election,coverage,26
historic,day,26
india,survey,26
please,vote,26
sharing,glimpses,26
ls,polls,26
chief,electoral,26
exclusive,interview,26
shining,india,26
our,votes,26
next,months,26
must,vote,26
should,vote,25
win,elections,25
years,ago,25
dont,forget,25
vote,right,25
sa’s,voting,25
educational,institutions,25
january,sa’s,25
yesh,atid,25
going,vote,25
ahead,general,25
dot,news,25
election,season,25
election,inec,24
asaduddin,owaisi,24
news,link,24
time,show,24
across,country,24
you.i,want,24
rs,lakh,24
local,government,24
strengthen,party,24
glimpses,shining,24
child,sex,24
presidential,elections,24
iyi,party,24
tweet,call,24
speaker,suspends,23
update,date,23
theresa,may,23
photo,ians,23
time,address,23
door,door,23
updating,addresses,23
party,chief,23
ls,seats,23
general,secretary,23
sex,offending,23
results,madhya,23
sir,pray,23
likely,announce,23
coming,elections,23
opposition,leaders,23
contest,election,23
pray,read,23
track,updates,23
days,registration,23
today,passed,23
pray,pray,23
last,time,23
lakh,crore,22
near,want,22
aimim,chief,22
chief,mayawati,22
postponed,elections,22
last,day,22
national,security,22
counting,votes,22
round,corner,22
talaq,passed,22
our,democracy,22
us,you.i,22
municipal,elections,22
home,affairs,22
ram,temple,22
asks,question,22
grassroots,campaign,22
registration,updating,22
economically,weak,21
election,would,21
prime,ministerial,21
israel,resilience,21
adhoc,staff,21
session,parliament,21
ias,topper,21
people,decide,21
elections,india,21
addresses,voting,21
apc,pdp,21
section,society,21
election,time,21
lower,house,21
elections,held,21
ram,mandir,21
people,travelled,21
kamal,nath,21
