W1,W2,W3,F
via,namo,app,129
hon,pm,modi,46
transformation,our,hon,36
our,hon,pm,36
pm,modi,jee,36
months,transformation,our,36
jee,our,matter,34
modi,jee,our,34
pm,narendra,modi,28
voters,reject,nota,25
ind,voters,reject,24
pm,ji,ji,24
reservation,economically,weaker,20
prime,minister,shri,19
minister,shri,ji,18
reject,nota,defeat,18
pm,shri,ji,17
economically,weaker,sections,17
shri,narendra,modi,17
scamfree,corruptionfree,fraudfree,16
want,country,scamfree,16
projects,worth,rs,16
fraudfree,vote,thank,16
country,scamfree,corruptionfree,16
corruptionfree,fraudfree,vote,16
historic,day,india,15
nota,corrupt,ahind,15
reject,nota,corrupt,15
prime,minister,narendra,15
track,live,updates,14
president,amit,shah,14
women,empowerment,shri,13
constitution,passed,passes,13
commie,sp,jds,13
inclusive,progress,reject,13
topmost,importance,women,13
always,gives,topmost,13
india,amendment,constitution,13
sp,jds,ncp,13
contest,seats,ljp,13
gives,topmost,importance,13
odia,culture,always,13
parties,antihindu,corrupt,13
congratulations,pm,ji,13
empowerment,shri,narendra,13
great,odia,culture,13
day,india,amendment,13
culture,always,gives,13
importance,women,empowerment,13
pledge,support,ji,13
amendment,constitution,passed,13
congi,commie,sp,13
progress,reject,nota,13
passed,passes,ayes,13
day,decisively,pass,12
historic,descision,modi,12
pm,via,namo,12
defeat,congi,commie,12
pm,modi,ji,12
economically,weaker,upper,12
worth,rs,crore,12
economically,weaker,section,12
jd(u,contest,seats,12
historic,day,decisively,12
nota,defeat,congi,12
ji,nominate,friends,11
pass,congratulating,government,11
passes,constitution,amendment,11
modi,govt💪,economicaly,11
class,approved,union,11
upper,class,approved,11
economicaly,upper,class,11
taken,modi,government,11
descision,modi,govt💪,11
support,ji,nominate,11
govt💪,economicaly,upper,11
congratulating,government,led,11
decisively,pass,congratulating,11
reservation,general,category,11
our,pm,ji,10
government,led,prime,10
government,citizens,india,10
minister,narendra,modi,10
pm,modi,"jee🙏🇮🇳💪😇""for",10
prime,minister,india,10
transformation.our,hon,pm,10
passes,ayes,noes,10
must,watch,interview,10
"jee🙏🇮🇳💪😇""for",our,matter,10
ji,prime,minister,10
modi,government,citizens,10
weaker,upper,castes,10
ji,ji,ji,10
modi,"jee🙏🇮🇳💪😇""for",our,10
dont,dont,dont,10
step,taken,modi,10
good,work,done,9
vote,thank,ji,9
ji,eagerly,waiting,8
ensuring,equality,dignity,8
approves,economically,weaker,8
hon,pm,ji,8
middle,class,india,8
our,prime,minister,8
watch,live,ndtv,8
upper,castes,government,8
ji,taking,historic,8
pm,ji,eagerly,8
