W1,W2,W3,F
click,detailed,election,389
detailed,election,leads+results,338
election,leads+results,analysis,338
pm,click,detailed,255
election,trends,pm,255
trends,pm,click,255
election,trends,click,119
trends,click,detailed,119
fears,terrain,politics,111
terrain,politics,changing,111
thoughtfactory,fears,terrain,111
adjourned,till,noon,65
adjourned,till,pm,64
protection,rights,marriage,59
election,results,analysis,56
detailed,election,results,56
women,protection,rights,55
muslim,women,protection,55
live,analysis,latest,50
watch,live,analysis,50
latest,election,results,50
analysis,latest,election,50
track,live,updates,45
passes,constitution,amendment,43
speaker,sumitra,mahajan,42
follow,live,updates,36
reservation,economically,weaker,34
provide,reservation,economically,30
economically,weaker,section,29
dna,technology,use,29
delhi,international,centre,27
technology,use,application,27
transgender,persons,protection,27
indian,medical,council,26
personal,laws,amendment,26
use,application,regulation,26
persons,protection,rights,26
economically,weaker,sections,24
results,madhya,pradesh,23
lok,adjourned,till,23
election,results,madhya,23
amendment,provide,reservation,22
triple,talaq,passed,22
medical,council,amendment,21
national,medical,commission,19
pradesh,chief,minister,19
rights,marriage,passed,19
aadhaar,laws,amendment,18
chief,election,commissioner,18
weaker,section,society,18
constitution,amendment,provide,18
madhya,pradesh,chief,17
lok,passes,constitution,16
society,higher,educational,16
section,society,higher,16
winter,session,parliament,16
adjourned,till,tomorrow,15
higher,educational,institutions,15
million,people,decide,15
election,results,click,15
exactly,million,people,15
watch,live,ndtv,15
muslim,women,passed,15
results,click,detailed,15
votes,omoyele,sowore,15
decide,waste,votes,15
waste,votes,omoyele,15
aiadmk,mps,suspended,15
people,decide,waste,15
address,root,causes,14
constitution,hundred,twentyfourth,14
hundred,twentyfourth,amendment,14
consumer,protection,passed,14
omoyele,sowore,slavery,14
lok,speaker,sumitra,14
defence,dealings,deal,13
akp,chair,president,13
amendment,aadhaar,laws,13
dont,defence,dealings,13
international,centre,consumer,13
companies,amendment,aadhaar,13
quota,economically,weaker,13
kalyan,asks,question,12
passes,triple,talaq,12
unreserved,sections,cleared,12
session,parliament,lok,12
rajasthan,chief,minister,12
speaker,suspended,mps,12
adjourned,sine,die,12
dealings,dealing,defence,12
dealing,defence,dont,12
sections,general,category,12
chair,president,erdoğan,12
defence,dont,defence,12
telangana,chief,minister,12
part,indias,political,11
tdp,aiadmk,mps,11
slavery,need,leader,11
national,security,priority,11
discussed,companies,amendment,11
campaign,ekiti,state,11
dealings,deal,defence,11
sowore,slavery,need,11
leader,integrity,vision,11
ews,general,category,11
nath,madhya,pradesh,11
centre,consumer,protection,11
heres,exclusive,interview,11
election,results,rajasthan,11
women,triple,talaq,11
constitution,amendment,quota,11
kamal,nath,madhya,11
sumitra,mahajan,suspends,11
kt,rama,rao,11
longest,election,yatra,11
economically,unreserved,sections,11
need,leader,integrity,11
presidential,campaign,ekiti,11
joint,select,committee,11
deal,defence,national,10
difference,dealings,dealing,10
integrity,vision,yelesowore,10
instant,triple,talaq,10
rally,heads,towards,10
marriage,passed,lok,10
south,caravan,rally,10
sunil,arora,reviews,10
south,south,caravan,10
defence,national,security,10
parliament,lok,adjourned,10
economically,upper,castes,10
heads,towards,warri,10
reviews,election,preparedness,10
door,door,campaign,10
caravan,rally,heads,10
amendment,national,medical,10
arora,reviews,election,10
chief,minister,kamal,10
grassroots,campaign,stop,10
discussed,dna,technology,10
constitution,amendment,passed,9
amendment,delhi,international,9
quota,economically,unreserved,9
speaks,fraud,constitution,9
rule,jammu,kashmir,9
ravi,shankar,prasad,9
surrogacy,regulation,passed,9
towards,warri,town,9
contest,upcoming,polls,9
per,cent,quota,9
trust,welfare,persons,9
yelesowore,aacparty,presidential,9
national,trust,welfare,9
elections,independent,candidate,9
supplementary,demands,grants,9
amendment,ayes,provide,9
today,discussed,companies,9
welfare,persons,autism,9
economically,weaker,upper,9
town,delta,state,9
amendment,quota,economically,9
adjourned,till,p.m,9
coverage,live,ndtv,9
aacparty,presidential,campaign,9
reservation,economically,general,9
passes,citizenship,amendment,9
warri,town,delta,9
constitution,amendment,ayes,9
mental,retardation,multiple,8
quota,upper,castes,8
demanded,government,should,8
campaign,stop,aacparty,8
minister,kamal,nath,8
suspended,consecutive,sittings,8
autism,palsy,mental,8
area,let,revolution,8
aimim,chief,speaks,8
making,silly,mistakes,8
shah,faesal,resigns,8
weak,general,category,8
ahead,lok,polls,8
delta,state,yelesowore,8
silly,mistakes,good,8
passes,quota,economically,8
deputy,chief,minister,8
ias,topper,shah,8
muslim,women,triple,8
throwing,paper,planes,8
till,tomorrow,adjourned,8
palsy,mental,retardation,8
election,results,chhattisgarh,8
topper,shah,faesal,8
next,prime,minister,8
ashok,gehlot,rajasthan,8
passes,dna,technology,8
cant,secular,nation,8
mahajan,suspends,tdp,8
want,hand,hope,8
passes,constitutional,amendment,8
mistakes,good,honest,8
lok,passes,triple,8
per,cent,reservation,8
indepth,analysis,watch,8
grassroots,campaign,area,8
accidental,prime,minister,8
let,revolution,spread,8
tomorrow,adjourned,till,8
stakeholders,ondo,south,8
government,should,apologise,8
talaq,passed,lok,8
should,apologise,massacre,8
community,religion,rights,8
