W1,W2,W3,W4,F
months,transformation,our,hon,36
transformation,our,hon,pm,36
hon,pm,modi,jee,36
our,hon,pm,modi,36
pm,modi,jee,our,34
modi,jee,our,matter,34
ind,voters,reject,nota,24
country,scamfree,corruptionfree,fraudfree,16
prime,minister,shri,ji,16
corruptionfree,fraudfree,vote,thank,16
want,country,scamfree,corruptionfree,16
scamfree,corruptionfree,fraudfree,vote,16
voters,reject,nota,corrupt,15
reject,nota,corrupt,ahind,15
congi,commie,sp,jds,13
constitution,passed,passes,ayes,13
empowerment,shri,narendra,modi,13
gives,topmost,importance,women,13
commie,sp,jds,ncp,13
odia,culture,always,gives,13
culture,always,gives,topmost,13
inclusive,progress,reject,nota,13
historic,day,india,amendment,13
women,empowerment,shri,narendra,13
day,india,amendment,constitution,13
great,odia,culture,always,13
topmost,importance,women,empowerment,13
india,amendment,constitution,passed,13
amendment,constitution,passed,passes,13
importance,women,empowerment,shri,13
always,gives,topmost,importance,13
reject,nota,defeat,congi,12
pm,via,namo,app,12
historic,day,decisively,pass,12
nota,defeat,congi,commie,12
progress,reject,nota,defeat,12
defeat,congi,commie,sp,12
projects,worth,rs,crore,11
upper,class,approved,union,11
pledge,support,ji,nominate,11
historic,descision,modi,govt💪,11
descision,modi,govt💪,economicaly,11
pass,congratulating,government,led,11
decisively,pass,congratulating,government,11
economicaly,upper,class,approved,11
modi,govt💪,economicaly,upper,11
day,decisively,pass,congratulating,11
prime,minister,narendra,modi,10
modi,government,citizens,india,10
pm,modi,"jee🙏🇮🇳💪😇""for",our,10
step,taken,modi,government,10
hon,pm,modi,"jee🙏🇮🇳💪😇""for",10
passed,passes,ayes,noes,10
jd(u,contest,seats,ljp,10
transformation.our,hon,pm,modi,10
taken,modi,government,citizens,10
modi,"jee🙏🇮🇳💪😇""for",our,matter,10
congratulating,government,led,prime,10
reservation,economically,weaker,sections,10
support,ji,nominate,friends,10
economically,weaker,upper,castes,10
fraudfree,vote,thank,ji,9
govt💪,economicaly,upper,class,9
government,led,prime,minister,8
pm,ji,eagerly,waiting,8
weaker,upper,castes,government,8
led,prime,minister,shri,8
passes,ayes,noes,congratulations,8
dont,dont,dont,dont,8
congratulations,hon,pm,shri,7
rafale,case,congie,spreading,7
want,political,matters,talk,7
imagine,pappu,pm,morons,7
hon,pm,shri,ji,7
life,our,pm,ji,7
head,hindu,want,political,7
case,congie,spreading,canards,7
pappu,pm,morons,vote,7
movie,life,our,pm,7
shameless,telling,white,lies,7
lies,imagine,pappu,pm,7
religious,topic,elections,head,7
ncp,dmk,rjd,parties,7
pappu,piddis,shameless,telling,7
piddis,shameless,telling,white,7
telling,white,lies,imagine,7
tell,party,avoid,religious,7
jds,ncp,dmk,rjd,7
political,matters,talk,election,7
approves,economically,weaker,upper,7
elections,head,hindu,want,7
pm,shri,ji,passes,7
center,inclusive,progress,reject,7
parties,antihindu,corrupt,looters,7
rjd,parties,antihindu,corrupt,7
committee,prepare,manifesto,upcoming,7
slap,supreme,court,rafale,7
hindu,want,political,matters,7
sp,jds,ncp,dmk,7
upset,voters,gave,triple,7
upcoming,movie,life,our,7
worthy,pappu,piddis,shameless,7
think,think,year,tell,7
manifesto,committee,arun,jaitley,7
economically,weak,upper,castes,7
getting,stinging,slap,supreme,7
avoid,religious,topic,elections,7
congie,spreading,canards,worthy,7
dmk,rjd,parties,antihindu,7
strong,gvt,center,inclusive,7
topic,elections,head,hindu,7
year,tell,party,avoid,7
voters,gave,triple,talaaq,7
court,rafale,case,congie,7
look,upcoming,movie,life,7
party,avoid,religious,topic,7
think,year,tell,party,7
white,lies,imagine,pappu,7
ji,step,taken,modi,7
canards,worthy,pappu,piddis,7
supreme,court,rafale,case,7
spreading,canards,worthy,pappu,7
gvt,center,inclusive,progress,7
our,pm,ji,eagerly,7
stinging,slap,supreme,court,7
card,asks,vote,pm,6
lok,passes,constitution,amendment,6
congratulate,pm,ji,taking,6
pm,modi,via,namo,6
ensuring,gender,equality,gender,6
singh,head,manifesto,committee,6
pls,strong,gvt,center,6
gvt,inclusive,progress,reject,6
ppl,pls,strong,gvt,6
wedding,card,asks,vote,6
equality,gender,parity,dignity,6
ncp,secular,parties,antihindu,6
pm,ji,taking,historic,6
endeavour,towards,ensuring,equality,6
nota,defeat,corrupt,ahind,6
taking,historic,endeavour,towards,6
lok,passes,triple,talaq,6
secular,parties,antihindu,corrupt,6
appointed,tamil,nadu,puducherry,6
tamil,nadu,puducherry,election,6
rs,wil,proposed,quota,6
strong,gvt,inclusive,progress,6
modi,via,namo,app,6
towards,ensuring,equality,dignity,6
ji,taking,historic,endeavour,6
jds,ncp,secular,parties,6
historic,endeavour,towards,ensuring,6
gender,equality,gender,parity,6
voters,reject,nota,defeat,6
seatsharing,arrangement,elections,president,6
sp,jds,ncp,secular,6
reject,nota,defeat,corrupt,6
minister,shri,ji,ensuring,6
reservation,economically,weaker,section,6
appoints,committee,prepare,manifesto,6
ppl,strong,gvt,inclusive,6
matters,talk,election,promotion,6
age,matured,stand,maturity,5
must,rethink,yogi,adityanaths,5
ji,million,people,following,5
ahead,approves,economically,weak,5
our,pm,modi,ji,5
italian,mafia,mata,gang,5
million,people,following,worldwide,5
stoking,stupidity,overpower,people,5
would,ask,opposing,suraa,5
quota,unexpected,move,modi,5
workers,supporters,risk,propagating,5
rethink,yogi,adityanaths,hindutva,5
interview,vs,italian,mafia,5
seals,seatsharing,arrangement,elections,5
shri,ji,ensuring,gender,5
issues,whip,present,house,5
immediately,sack,arrogant,mla,5
worked/,works,hours,day,5
modi,indian,army,smashing,5
stupidity,overpower,people,want,5
election,think,think,year,5
nadu,puducherry,election,inchrage,5
teen,age,matured,stand,5
want,win,election,think,5
modi,ji,million,people,5
ji,prime,minister,india,5
noes,congratulations,pm,sh,5
allies,seals,seatsharing,arrangement,5
ji,pm,ji,ji,5
yojana,via,namo,app,5
us,pm,modi’,dial,5
heartiest,congratulations,modi,ji,5
pm,modi’,dial,india,5
ahead,polls,must,rethink,5
selfless,leader,worked/,works,5
tomorrow,issues,whip,present,5
dial,india,votes,polls,5
move,modi,ji,ahead,5
