W1,W2,W3,W4,F
committed,mighty,politicians,family,14
mighty,politicians,family,controlled,14
reason,great,crimes,committed,14
family,controlled,polity,touched,14
great,crimes,committed,mighty,14
crimes,committed,mighty,politicians,14
simple,reason,great,crimes,14
politicians,family,controlled,polity,14
epaper,detailed,version,please,8
detailed,version,please,log,8
nota,defeat,ahind,antinational,7
defeat,ahind,antinational,gali,7
ahind,antinational,gali,gali,7
indian,voters,reject,nota,7
antinational,gali,gali,shor,7
reject,nota,defeat,ahind,7
gali,gali,shor,hai,7
voters,reject,nota,defeat,7
perilous,post,poll,position,5
madhya,pradesh,seesaw,congress,5
detailed,election,results,analysis,5
parivar’s,perilous,post,poll,5
lessons,state,polls’,verdict,4
country,party,leading,states,4
polls’,verdict,impact,elections,4
verdict,impact,elections,narayan,4
gained,state,elections,impact,4
defeats,congress’,manvendra,singh,4
states,misses,majority,madhya,4
seats,track,live,updates,4
across,country,party,leading,4
misses,majority,madhya,pradesh,4
congress,gained,state,elections,4
madhya,pradesh,chief,minister,4
challenges,lessons,state,polls’,4
state,polls’,verdict,impact,4
loss,congress,gained,state,4
heartland,states,misses,majority,4
pradesh,seats,congress,managed,3
span,years,india,couldnt,3
admitting,congress,cant,solve,3
congress,cant,solve,kashmir,3
decided,support,congress,madhya,3
prime,minister,anticongress,propaganda,3
odisha,cm,naveen,patnaik,3
come,power,decided,support,3
done,span,years,india,3
secure,seats,seats,track,3
kashmir,need,pm,solve,3
ensure,come,power,decided,3
fight,heat,map,state,3
modi,vs,rahul,rahul,3
elections,ensure,come,power,3
managed,secure,seats,seats,3
congress,locked,tough,fight,3
govt,passed,mean,empowerment”,3
locked,tough,fight,heat,3
seats,seats,track,live,3
seats,congress,managed,secure,3
congress,track,live,updates,3
power,decided,support,congress,3
cant,solve,kashmir,need,3
track,live,updates,watch,3
party,leading,states,rajasthan,3
fought,elections,ensure,come,3
government,done,span,years,3
inside,counting,centre,madhya,3
mean,empowerment”,prove,congress,3
passed,mean,empowerment”,prove,3
shiv,sena,pounces,jpc,3
congress,managed,secure,seats,3
congress,shiv,sena,pounces,3
